Proceso,Etapa,Participacion
RES_XV_calef_electricidad,1,0.08628723842950216
RES_XV_refrigeracion,1,0.08628723842950216
RES_XV_iluminacion,1,0.08628723842950216
RES_XV_otros_electricos,1,0.08628723842950216
RES_XV_enfriamiento,1,0.08628723842950216
RES_I_coc_electricidad,1,0.08628723842950216
RES_I_refrigeracion,1,0.08628723842950216
RES_I_iluminacion,1,0.08628723842950216
RES_I_otros_electricos,1,0.08628723842950216
RES_I_enfriamiento,1,0.08628723842950216
RES_II_coc_electricidad,1,0.08628723842950216
RES_II_refrigeracion,1,0.08628723842950216
RES_II_iluminacion,1,0.08628723842950216
RES_II_otros_electricos,1,0.08628723842950216
RES_II_enfriamiento,1,0.08628723842950216
RES_III_coc_electricidad,1,0.08628723842950216
RES_III_refrigeracion,1,0.08628723842950216
RES_III_iluminacion,1,0.08628723842950216
RES_III_otros_electricos,1,0.08628723842950216
RES_III_enfriamiento,1,0.08628723842950216
RES_IV_coc_electricidad,1,0.08628723842950216
RES_IV_refrigeracion,1,0.08628723842950216
RES_IV_iluminacion,1,0.08628723842950216
RES_IV_otros_electricos,1,0.08628723842950216
RES_IV_enfriamiento,1,0.08628723842950216
RES_V_calef_electricidad,1,0.08628723842950216
RES_V_coc_electricidad,1,0.08628723842950216
RES_V_refrigeracion,1,0.08628723842950216
RES_V_iluminacion,1,0.08628723842950216
RES_V_otros_electricos,1,0.08628723842950216
RES_V_enfriamiento,1,0.08628723842950216
RES_RM_calef_biomasa_electricidad,1,0.08628723842950216
RES_RM_calef_electricidad,1,0.08628723842950216
RES_RM_coc_electricidad,1,0.08628723842950216
RES_RM_coc_gas_licuado_electricidad,1,0.08628723842950216
RES_RM_refrigeracion,1,0.08628723842950216
RES_RM_iluminacion,1,0.08628723842950216
RES_RM_otros_electricos,1,0.08628723842950216
RES_RM_enfriamiento,1,0.08628723842950216
RES_VI_calef_electricidad,1,0.08628723842950216
RES_VI_refrigeracion,1,0.08628723842950216
RES_VI_iluminacion,1,0.08628723842950216
RES_VI_otros_electricos,1,0.08628723842950216
RES_VI_enfriamiento,1,0.08628723842950216
RES_VII_calef_electricidad,1,0.08628723842950216
RES_VII_refrigeracion,1,0.08628723842950216
RES_VII_iluminacion,1,0.08628723842950216
RES_VII_otros_electricos,1,0.08628723842950216
RES_VII_enfriamiento,1,0.08628723842950216
RES_VIII_calef_electricidad,1,0.08628723842950216
RES_VIII_refrigeracion,1,0.08628723842950216
RES_VIII_iluminacion,1,0.08628723842950216
RES_VIII_otros_electricos,1,0.08628723842950216
RES_VIII_enfriamiento,1,0.08628723842950216
RES_IX_coc_electricidad,1,0.08628723842950216
RES_IX_refrigeracion,1,0.08628723842950216
RES_IX_iluminacion,1,0.08628723842950216
RES_IX_otros_electricos,1,0.08628723842950216
RES_XIV_calef_electricidad,1,0.08628723842950216
RES_XIV_refrigeracion,1,0.08628723842950216
RES_XIV_iluminacion,1,0.08628723842950216
RES_XIV_otros_electricos,1,0.08628723842950216
RES_XIV_enfriamiento,1,0.08628723842950216
RES_X_calef_electricidad,1,0.08628723842950216
RES_X_refrigeracion,1,0.08628723842950216
RES_X_iluminacion,1,0.08628723842950216
RES_X_otros_electricos,1,0.08628723842950216
RES_X_enfriamiento,1,0.08628723842950216
COM_electricidad,1,0.0381963564805625
PUB_electricidad,1,0.09237959869015103
RES_XV_calef_electricidad,2,0.08285596893363854
RES_XV_refrigeracion,2,0.08285596893363854
RES_XV_iluminacion,2,0.08285596893363854
RES_XV_otros_electricos,2,0.08285596893363854
RES_XV_enfriamiento,2,0.08285596893363854
RES_I_coc_electricidad,2,0.08285596893363854
RES_I_refrigeracion,2,0.08285596893363854
RES_I_iluminacion,2,0.08285596893363854
RES_I_otros_electricos,2,0.08285596893363854
RES_I_enfriamiento,2,0.08285596893363854
RES_II_coc_electricidad,2,0.08285596893363854
RES_II_refrigeracion,2,0.08285596893363854
RES_II_iluminacion,2,0.08285596893363854
RES_II_otros_electricos,2,0.08285596893363854
RES_II_enfriamiento,2,0.08285596893363854
RES_III_coc_electricidad,2,0.08285596893363854
RES_III_refrigeracion,2,0.08285596893363854
RES_III_iluminacion,2,0.08285596893363854
RES_III_otros_electricos,2,0.08285596893363854
RES_III_enfriamiento,2,0.08285596893363854
RES_IV_coc_electricidad,2,0.08285596893363854
RES_IV_refrigeracion,2,0.08285596893363854
RES_IV_iluminacion,2,0.08285596893363854
RES_IV_otros_electricos,2,0.08285596893363854
RES_IV_enfriamiento,2,0.08285596893363854
RES_V_calef_electricidad,2,0.08285596893363854
RES_V_coc_electricidad,2,0.08285596893363854
RES_V_refrigeracion,2,0.08285596893363854
RES_V_iluminacion,2,0.08285596893363854
RES_V_otros_electricos,2,0.08285596893363854
RES_V_enfriamiento,2,0.08285596893363854
RES_RM_calef_biomasa_electricidad,2,0.08285596893363854
RES_RM_calef_electricidad,2,0.08285596893363854
RES_RM_coc_electricidad,2,0.08285596893363854
