Proceso,Agno,Cinversion
ALMACENAMIENTO_XIII,2017,500
ALMACENAMIENTO_SING,2017,500
ALMACENAMIENTO_II-III,2017,500
ALMACENAMIENTO_XIII,2018,500
ALMACENAMIENTO_SING,2018,500
ALMACENAMIENTO_II-III,2018,500
ALMACENAMIENTO_XIII,2019,500
ALMACENAMIENTO_SING,2019,500
ALMACENAMIENTO_II-III,2019,500
ALMACENAMIENTO_XIII,2020,461
ALMACENAMIENTO_SING,2020,461
ALMACENAMIENTO_II-III,2020,461
ALMACENAMIENTO_XIII,2021,422
ALMACENAMIENTO_SING,2021,422
ALMACENAMIENTO_II-III,2021,422
ALMACENAMIENTO_XIII,2022,383
ALMACENAMIENTO_SING,2022,383
ALMACENAMIENTO_II-III,2022,383
ALMACENAMIENTO_XIII,2023,344
ALMACENAMIENTO_SING,2023,344
ALMACENAMIENTO_II-III,2023,344
ALMACENAMIENTO_XIII,2024,305
ALMACENAMIENTO_SING,2024,305
ALMACENAMIENTO_II-III,2024,305
ALMACENAMIENTO_XIII,2025,266
ALMACENAMIENTO_SING,2025,266
ALMACENAMIENTO_II-III,2025,266
ALMACENAMIENTO_XIII,2026,227
ALMACENAMIENTO_SING,2026,227
ALMACENAMIENTO_II-III,2026,227
ALMACENAMIENTO_XIII,2027,188
ALMACENAMIENTO_SING,2027,188
ALMACENAMIENTO_II-III,2027,188
ALMACENAMIENTO_XIII,2028,149
ALMACENAMIENTO_SING,2028,149
ALMACENAMIENTO_II-III,2028,149
ALMACENAMIENTO_XIII,2029,110
ALMACENAMIENTO_SING,2029,110
ALMACENAMIENTO_II-III,2029,110
ALMACENAMIENTO_XIII,2030,100
ALMACENAMIENTO_SING,2030,100
ALMACENAMIENTO_II-III,2030,100
ALMACENAMIENTO_XIII,2031,100
ALMACENAMIENTO_SING,2031,100
ALMACENAMIENTO_II-III,2031,100
ALMACENAMIENTO_XIII,2032,100
ALMACENAMIENTO_SING,2032,100
ALMACENAMIENTO_II-III,2032,100
ALMACENAMIENTO_XIII,2033,100
ALMACENAMIENTO_SING,2033,100
ALMACENAMIENTO_II-III,2033,100
ALMACENAMIENTO_XIII,2034,100
ALMACENAMIENTO_SING,2034,100
ALMACENAMIENTO_II-III,2034,100
ALMACENAMIENTO_XIII,2035,100
ALMACENAMIENTO_SING,2035,100
ALMACENAMIENTO_II-III,2035,100
ALMACENAMIENTO_XIII,2036,100
ALMACENAMIENTO_SING,2036,100
ALMACENAMIENTO_II-III,2036,100
ALMACENAMIENTO_XIII,2037,100
ALMACENAMIENTO_SING,2037,100
ALMACENAMIENTO_II-III,2037,100
ALMACENAMIENTO_XIII,2038,100
ALMACENAMIENTO_SING,2038,100
ALMACENAMIENTO_II-III,2038,100
ALMACENAMIENTO_XIII,2039,100
ALMACENAMIENTO_SING,2039,100
ALMACENAMIENTO_II-III,2039,100
ALMACENAMIENTO_XIII,2040,100
ALMACENAMIENTO_SING,2040,100
ALMACENAMIENTO_II-III,2040,100
ALMACENAMIENTO_XIII,2041,100
ALMACENAMIENTO_SING,2041,100
ALMACENAMIENTO_II-III,2041,100
ALMACENAMIENTO_XIII,2042,100
ALMACENAMIENTO_SING,2042,100
ALMACENAMIENTO_II-III,2042,100
ALMACENAMIENTO_XIII,2043,100
ALMACENAMIENTO_SING,2043,100
ALMACENAMIENTO_II-III,2043,100
ALMACENAMIENTO_XIII,2044,100
ALMACENAMIENTO_SING,2044,100
ALMACENAMIENTO_II-III,2044,100
ALMACENAMIENTO_XIII,2045,100
ALMACENAMIENTO_SING,2045,100
ALMACENAMIENTO_II-III,2045,100
ALMACENAMIENTO_XIII,2046,100
ALMACENAMIENTO_SING,2046,100
ALMACENAMIENTO_II-III,2046,100
ALMACENAMIENTO_XIII,2047,100
ALMACENAMIENTO_SING,2047,100
ALMACENAMIENTO_II-III,2047,100
ALMACENAMIENTO_XIII,2048,100
ALMACENAMIENTO_SING,2048,100
ALMACENAMIENTO_II-III,2048,100
ALMACENAMIENTO_XIII,2049,100
ALMACENAMIENTO_SING,2049,100
ALMACENAMIENTO_II-III,2049,100
ALMACENAMIENTO_XIII,2050,100
ALMACENAMIENTO_SING,2050,100
ALMACENAMIENTO_II-III,2050,100
ALMACENAMIENTO_IV,2017,500
