Proceso,Agno,COMA
Eolica_II-III,2020,32.655396794681856
Eolica_IV,2020,32.655396794681856
Eolica_V,2020,32.655396794681856
Eolica_VI,2020,32.655396794681856
Eolica_VIII,2020,32.655396794681856
Eolica_X-XIV,2020,32.655396794681856
Hidro_Pasada_XIII,2020,55.3159054168054
Hidro_Pasada_VI,2020,55.3159054168054
Hidro_Pasada_VII,2020,55.3159054168054
Hidro_Pasada_VIII,2020,55.3159054168054
Hidro_Pasada_X-XIV,2020,55.3159054168054
Solar_FV_SING,2020,19.935930409389904
Solar_FV_II-III,2020,19.935930409389904
Solar_FV_IV,2020,19.935930409389904
Solar_FV_V,2020,19.935930409389904
Solar_FV_XIII,2020,19.935930409389904
Solar_FV_VI,2020,19.935930409389904
Carbon_SING,2021,64.7516899049904
Carbon_II-III,2021,64.7516899049904
GNL_CC_SING,2021,31.410521080896306
GNL_CC_II-III,2021,31.410521080896306
GNL_CC_VIII,2021,31.410521080896306
GNL_CA_SING,2021,31.410521080896306
GNL_CA_II-III,2021,31.410521080896306
GNL_CA_VIII,2021,31.410521080896306
Diesel_SING,2021,22.5
Diesel_IV,2021,22.5
Diesel_X-XIV,2021,22.5
Biomasa_VII,2021,126.56879554274927
Biomasa_VIII,2021,126.56879554274927
Biomasa_X-XIV,2021,126.56879554274927
Geotermica_SING,2021,192.73204886121152
Geotermica_VI,2021,192.73204886121152
Geotermica_VII,2021,192.73204886121152
Geotermica_VIII,2021,192.73204886121152
Solar_CSP_SING,2021,30.0
Solar_CSP_II-III,2021,30.0
Eolica_SING,2021,32.298432730407825
Eolica_II-III,2021,32.298432730407825
Eolica_IV,2021,32.298432730407825
Eolica_V,2021,32.298432730407825
Eolica_VI,2021,32.298432730407825
Eolica_VIII,2021,32.298432730407825
Eolica_X-XIV,2021,32.298432730407825
Hidro_Pasada_XIII,2021,55.47029568672554
Hidro_Pasada_VI,2021,55.47029568672554
Hidro_Pasada_VII,2021,55.47029568672554
Hidro_Pasada_VIII,2021,55.47029568672554
Hidro_Pasada_X-XIV,2021,55.47029568672554
Solar_FV_SING,2021,19.535639372690717
Solar_FV_II-III,2021,19.535639372690717
Solar_FV_IV,2021,19.535639372690717
Solar_FV_V,2021,19.535639372690717
Solar_FV_XIII,2021,19.535639372690717
Solar_FV_VI,2021,19.535639372690717
Carbon_SING,2022,64.89851136495707
Carbon_II-III,2022,64.89851136495707
GNL_CC_SING,2022,31.734371717673906
GNL_CC_II-III,2022,31.734371717673906
GNL_CC_VIII,2022,31.734371717673906
GNL_CA_SING,2022,31.734371717673906
GNL_CA_II-III,2022,31.734371717673906
GNL_CA_VIII,2022,31.734371717673906
Diesel_SING,2022,22.5
Diesel_IV,2022,22.5
Diesel_X-XIV,2022,22.5
Biomasa_VII,2022,126.1887476700229
Biomasa_VIII,2022,126.1887476700229
Biomasa_X-XIV,2022,126.1887476700229
Geotermica_SING,2022,189.63498004661358
Geotermica_VI,2022,189.63498004661358
Geotermica_VII,2022,189.63498004661358
Geotermica_VIII,2022,189.63498004661358
Solar_CSP_SING,2022,30.0
Solar_CSP_II-III,2022,30.0
Eolica_SING,2022,32.14456524051567
Eolica_II-III,2022,32.14456524051567
Eolica_IV,2022,32.14456524051567
Eolica_V,2022,32.14456524051567
Eolica_VI,2022,32.14456524051567
Eolica_VIII,2022,32.14456524051567
Eolica_X-XIV,2022,32.14456524051567
Hidro_Pasada_XIII,2022,55.62468595664568
