Escenario,Agno,Energeticos,Precio
3,2044,carbon_generacion,61.69596958058045
3,2045,carbon_generacion,61.8334068060976
3,2046,carbon_generacion,61.997039525452095
3,2047,carbon_generacion,62.195150365550774
3,2048,carbon_generacion,62.39157620027815
3,2049,carbon_generacion,62.66753172299813
3,2050,carbon_generacion,62.92088664549864
4,2015,carbon_generacion,64.1
4,2016,carbon_generacion,64.1
4,2017,carbon_generacion,64.1
4,2018,carbon_generacion,64.1
4,2019,carbon_generacion,64.1
4,2020,carbon_generacion,56.13825488729602
4,2021,carbon_generacion,56.59851972573644
4,2022,carbon_generacion,56.96621480845061
4,2023,carbon_generacion,57.33957900474103
4,2024,carbon_generacion,56.170358980824474
4,2025,carbon_generacion,56.8714869564552
4,2026,carbon_generacion,57.36423716520453
4,2027,carbon_generacion,57.98005622272217
4,2028,carbon_generacion,58.59239978026214
4,2029,carbon_generacion,59.13184279521643
4,2030,carbon_generacion,59.663949128871934
4,2031,carbon_generacion,60.22735490823777
4,2032,carbon_generacion,60.654846556419585
4,2033,carbon_generacion,61.167100891126154
4,2034,carbon_generacion,61.597158426360224
4,2035,carbon_generacion,62.08281709276828
4,2036,carbon_generacion,62.577540106304326
4,2037,carbon_generacion,63.1531156008415
4,2038,carbon_generacion,63.662213100613826
4,2039,carbon_generacion,64.08266001048689
4,2040,carbon_generacion,64.39276073039508
4,2041,carbon_generacion,64.60725988958472
4,2042,carbon_generacion,64.97093077497385
4,2043,carbon_generacion,65.40348722818698
4,2044,carbon_generacion,65.9043495961657
4,2045,carbon_generacion,66.42547191206317
4,2046,carbon_generacion,66.94913340145696
4,2047,carbon_generacion,67.54421737402197
4,2048,carbon_generacion,68.15459883025525
4,2049,carbon_generacion,68.91530015292582
4,2050,carbon_generacion,69.592114932119
5,2015,carbon_generacion,64.1
5,2016,carbon_generacion,64.1
5,2017,carbon_generacion,64.1
5,2018,carbon_generacion,64.1
5,2019,carbon_generacion,64.1
5,2020,carbon_generacion,56.12661048565849
5,2021,carbon_generacion,56.55104206734641
5,2022,carbon_generacion,56.85888379983436
5,2023,carbon_generacion,57.148768323742445
5,2024,carbon_generacion,55.880655264994175
5,2025,carbon_generacion,56.45026337547071
5,2026,carbon_generacion,56.79090507055721
5,2027,carbon_generacion,57.22761410331268
5,2028,carbon_generacion,57.64009022452461
5,2029,carbon_generacion,57.950526665089114
5,2030,carbon_generacion,58.23455661383486
5,2031,carbon_generacion,58.51815923268922
5,2032,carbon_generacion,58.65842230507369
5,2033,carbon_generacion,58.82967004371787
5,2034,carbon_generacion,58.8885693050232
5,2035,carbon_generacion,59.00104458456488
5,2036,carbon_generacion,59.098507863887406
5,2037,carbon_generacion,59.21629522289271
5,2038,carbon_generacion,59.174280626213445
5,2039,carbon_generacion,59.06487913045362
5,2040,carbon_generacion,58.885464952879076
5,2041,carbon_generacion,58.59019806438102
5,2042,carbon_generacion,58.33491555665774
5,2043,carbon_generacion,58.14548094718457
5,2044,carbon_generacion,57.95859232189138
5,2045,carbon_generacion,57.75528657125738
5,2046,carbon_generacion,57.599185014563716
5,2047,carbon_generacion,57.444752036828525
5,2048,carbon_generacion,57.27355224834861
5,2049,carbon_generacion,57.11901482074779
5,2050,carbon_generacion,56.99630360081111
6,2015,carbon_generacion,64.1
6,2016,carbon_generacion,64.1
6,2017,carbon_generacion,64.1
6,2018,carbon_generacion,64.1
6,2019,carbon_generacion,64.1
6,2020,carbon_generacion,56.12346796269082
6,2021,carbon_generacion,56.53822907475253
6,2022,carbon_generacion,56.829917935359845
6,2023,carbon_generacion,57.09727345383158
6,2024,carbon_generacion,55.8024717215924
6,2025,carbon_generacion,56.33658602055184
6,2026,carbon_generacion,56.636177560152234
6,2027,carbon_generacion,57.02454942762644
6,2028,carbon_generacion,57.38308649480183
6,2029,carbon_generacion,57.63171998128001
6,2030,carbon_generacion,57.84880052707812
6,2031,carbon_generacion,58.05689150645935
6,2032,carbon_generacion,58.11963901174892
6,2033,carbon_generacion,58.19885788591297
6,2034,carbon_generacion,58.15759112437158
6,2035,carbon_generacion,58.169353855438445
6,2036,carbon_generacion,58.159607002565565
6,2037,carbon_generacion,58.153849178656685
6,2038,carbon_generacion,57.96310367464791
6,2039,carbon_generacion,57.71070979199572
6,2040,carbon_generacion,57.39918819866549
6,2041,carbon_generacion,56.9663486325098
6,2042,carbon_generacion,56.544026605340264
6,2043,carbon_generacion,56.186732687933535
6,2044,carbon_generacion,55.81423784948571
6,2045,carbon_generacion,55.41542769181016
6,2046,carbon_generacion,55.0758756624003
6,2047,carbon_generacion,54.719167436499184
