Proceso,Agno,Cinversion
Diesel_IV,2044,685.0
Diesel_IV,2045,685.0
Diesel_IV,2046,685.0
Diesel_IV,2047,685.0
Diesel_IV,2048,685.0
Diesel_IV,2049,685.0
Diesel_IV,2050,685.0
Diesel_SING,2017,685.0
Diesel_SING,2018,685.0
Diesel_SING,2019,685.0
Diesel_SING,2020,685.0
Diesel_SING,2021,685.0
Diesel_SING,2022,685.0
Diesel_SING,2023,685.0
Diesel_SING,2024,685.0
Diesel_SING,2025,685.0
Diesel_SING,2026,685.0
Diesel_SING,2027,685.0
Diesel_SING,2028,685.0
Diesel_SING,2029,685.0
Diesel_SING,2030,685.0
Diesel_SING,2031,685.0
Diesel_SING,2032,685.0
Diesel_SING,2033,685.0
Diesel_SING,2034,685.0
Diesel_SING,2035,685.0
Diesel_SING,2036,685.0
Diesel_SING,2037,685.0
Diesel_SING,2038,685.0
Diesel_SING,2039,685.0
Diesel_SING,2040,685.0
Diesel_SING,2041,685.0
Diesel_SING,2042,685.0
Diesel_SING,2043,685.0
Diesel_SING,2044,685.0
Diesel_SING,2045,685.0
Diesel_SING,2046,685.0
Diesel_SING,2047,685.0
Diesel_SING,2048,685.0
Diesel_SING,2049,685.0
Diesel_SING,2050,685.0
Diesel_X-XIV,2017,685.0
Diesel_X-XIV,2018,685.0
Diesel_X-XIV,2019,685.0
Diesel_X-XIV,2020,685.0
Diesel_X-XIV,2021,685.0
Diesel_X-XIV,2022,685.0
Diesel_X-XIV,2023,685.0
Diesel_X-XIV,2024,685.0
Diesel_X-XIV,2025,685.0
Diesel_X-XIV,2026,685.0
Diesel_X-XIV,2027,685.0
Diesel_X-XIV,2028,685.0
Diesel_X-XIV,2029,685.0
Diesel_X-XIV,2030,685.0
Diesel_X-XIV,2031,685.0
Diesel_X-XIV,2032,685.0
Diesel_X-XIV,2033,685.0
Diesel_X-XIV,2034,685.0
Diesel_X-XIV,2035,685.0
Diesel_X-XIV,2036,685.0
Diesel_X-XIV,2037,685.0
Diesel_X-XIV,2038,685.0
Diesel_X-XIV,2039,685.0
Diesel_X-XIV,2040,685.0
Diesel_X-XIV,2041,685.0
Diesel_X-XIV,2042,685.0
Diesel_X-XIV,2043,685.0
Diesel_X-XIV,2044,685.0
Diesel_X-XIV,2045,685.0
Diesel_X-XIV,2046,685.0
Diesel_X-XIV,2047,685.0
Diesel_X-XIV,2048,685.0
Diesel_X-XIV,2049,685.0
Diesel_X-XIV,2050,685.0
Eolica_II-III,2017,1365.0
Eolica_II-III,2018,1365.0
Eolica_II-III,2019,1365.0
Eolica_II-III,2020,1351.8511606909792
Eolica_II-III,2021,1321.5782173090897
Eolica_II-III,2022,1284.7156924893197
Eolica_II-III,2023,1251.300143128064
Eolica_II-III,2024,1216.445648160382
Eolica_II-III,2025,1180.2662865223274
Eolica_II-III,2026,1142.8761371483095
Eolica_II-III,2027,1104.3892789746394
Eolica_II-III,2028,1064.9197909356194
Eolica_II-III,2029,1013.2963784044259
Eolica_II-III,2030,994.7714485878676
Eolica_II-III,2031,974.0052145585568
Eolica_II-III,2032,966.306140978543
Eolica_II-III,2033,958.6070673985291
Eolica_II-III,2034,950.9079938185153
Eolica_II-III,2035,943.2089202385014
Eolica_II-III,2036,935.5098466584876
Eolica_II-III,2037,932.8107730784739
Eolica_II-III,2038,930.11169949846
Eolica_II-III,2039,927.4126259184461
Eolica_II-III,2040,919.7135523384324
Eolica_II-III,2041,917.0144787584185
Eolica_II-III,2042,914.3154051784047
Eolica_II-III,2043,906.6163315983908
Eolica_II-III,2044,903.9172580183771
Eolica_II-III,2045,901.2181844383633
Eolica_II-III,2046,893.5191108583494
Eolica_II-III,2047,890.8200372783356
Eolica_II-III,2048,888.1209636983218
Eolica_II-III,2049,885.421890118308
Eolica_II-III,2050,877.7228165382942
Eolica_IV,2017,1365.0
Eolica_IV,2018,1365.0
Eolica_IV,2019,1365.0
Eolica_IV,2020,1351.8511606909792
Eolica_IV,2021,1321.5782173090897
Eolica_IV,2022,1284.7156924893197
Eolica_IV,2023,1251.300143128064
Eolica_IV,2024,1216.445648160382
Eolica_IV,2025,1180.2662865223274
Eolica_IV,2026,1142.8761371483095
Eolica_IV,2027,1104.3892789746394
Eolica_IV,2028,1064.9197909356194
Eolica_IV,2029,1013.2963784044259
Eolica_IV,2030,994.7714485878676
Eolica_IV,2031,974.0052145585568
Eolica_IV,2032,966.306140978543
Eolica_IV,2033,958.6070673985291
Eolica_IV,2034,950.9079938185153
Eolica_IV,2035,943.2089202385014
Eolica_IV,2036,935.5098466584876
Eolica_IV,2037,932.8107730784739
Eolica_IV,2038,930.11169949846
Eolica_IV,2039,927.4126259184461
Eolica_IV,2040,919.7135523384324
Eolica_IV,2041,917.0144787584185
Eolica_IV,2042,914.3154051784047
Eolica_IV,2043,906.6163315983908
Eolica_IV,2044,903.9172580183771
Eolica_IV,2045,901.2181844383633
Eolica_IV,2046,893.5191108583494
Eolica_IV,2047,890.8200372783356
Eolica_IV,2048,888.1209636983218
Eolica_IV,2049,885.421890118308
Eolica_IV,2050,877.7228165382942
Eolica_SING,2017,1365.0
Eolica_SING,2018,1365.0
Eolica_SING,2019,1365.0
Eolica_SING,2020,1351.8511606909792
Eolica_SING,2021,1321.5782173090897
Eolica_SING,2022,1284.7156924893197
Eolica_SING,2023,1251.300143128064
Eolica_SING,2024,1216.445648160382
Eolica_SING,2025,1180.2662865223274
Eolica_SING,2026,1142.8761371483095
Eolica_SING,2027,1104.3892789746394
Eolica_SING,2028,1064.9197909356194
Eolica_SING,2029,1013.2963784044259
Eolica_SING,2030,994.7714485878676
Eolica_SING,2031,974.0052145585568
Eolica_SING,2032,966.306140978543
Eolica_SING,2033,958.6070673985291
Eolica_SING,2034,950.9079938185153
Eolica_SING,2035,943.2089202385014
Eolica_SING,2036,935.5098466584876
Eolica_SING,2037,932.8107730784739
Eolica_SING,2038,930.11169949846
Eolica_SING,2039,927.4126259184461
Eolica_SING,2040,919.7135523384324
Eolica_SING,2041,917.0144787584185
Eolica_SING,2042,914.3154051784047
Eolica_SING,2043,906.6163315983908
Eolica_SING,2044,903.9172580183771
Eolica_SING,2045,901.2181844383633
Eolica_SING,2046,893.5191108583494
Eolica_SING,2047,890.8200372783356
Eolica_SING,2048,888.1209636983218
Eolica_SING,2049,885.421890118308
Eolica_SING,2050,877.7228165382942
Eolica_V,2017,1365.0
Eolica_V,2018,1365.0
Eolica_V,2019,1365.0
Eolica_V,2020,1351.8511606909792
Eolica_V,2021,1321.5782173090897
Eolica_V,2022,1284.7156924893197
Eolica_V,2023,1251.300143128064
Eolica_V,2024,1216.445648160382
Eolica_V,2025,1180.2662865223274
Eolica_V,2026,1142.8761371483095
Eolica_V,2027,1104.3892789746394
Eolica_V,2028,1064.9197909356194
Eolica_V,2029,1013.2963784044259
Eolica_V,2030,994.7714485878676
Eolica_V,2031,974.0052145585568
Eolica_V,2032,966.306140978543
Eolica_V,2033,958.6070673985291
Eolica_V,2034,950.9079938185153
Eolica_V,2035,943.2089202385014
Eolica_V,2036,935.5098466584876
Eolica_V,2037,932.8107730784739
Eolica_V,2038,930.11169949846
Eolica_V,2039,927.4126259184461
Eolica_V,2040,919.7135523384324
Eolica_V,2041,917.0144787584185
Eolica_V,2042,914.3154051784047
Eolica_V,2043,906.6163315983908
Eolica_V,2044,903.9172580183771
Eolica_V,2045,901.2181844383633
Eolica_V,2046,893.5191108583494
Eolica_V,2047,890.8200372783356
Eolica_V,2048,888.1209636983218
Eolica_V,2049,885.421890118308
Eolica_V,2050,877.7228165382942
Eolica_VI,2017,1365.0
Eolica_VI,2018,1365.0
Eolica_VI,2019,1365.0
Eolica_VI,2020,1351.8511606909792
Eolica_VI,2021,1321.5782173090897
Eolica_VI,2022,1284.7156924893197
Eolica_VI,2023,1251.300143128064
Eolica_VI,2024,1216.445648160382
Eolica_VI,2025,1180.2662865223274
Eolica_VI,2026,1142.8761371483095
Eolica_VI,2027,1104.3892789746394
Eolica_VI,2028,1064.9197909356194
Eolica_VI,2029,1013.2963784044259
Eolica_VI,2030,994.7714485878676
Eolica_VI,2031,974.0052145585568
Eolica_VI,2032,966.306140978543
Eolica_VI,2033,958.6070673985291
Eolica_VI,2034,950.9079938185153
Eolica_VI,2035,943.2089202385014
Eolica_VI,2036,935.5098466584876
Eolica_VI,2037,932.8107730784739
Eolica_VI,2038,930.11169949846
Eolica_VI,2039,927.4126259184461
Eolica_VI,2040,919.7135523384324
Eolica_VI,2041,917.0144787584185
Eolica_VI,2042,914.3154051784047
Eolica_VI,2043,906.6163315983908
Eolica_VI,2044,903.9172580183771
Eolica_VI,2045,901.2181844383633
Eolica_VI,2046,893.5191108583494
Eolica_VI,2047,890.8200372783356
Eolica_VI,2048,888.1209636983218
Eolica_VI,2049,885.421890118308
Eolica_VI,2050,877.7228165382942
Eolica_VIII,2017,1365.0
Eolica_VIII,2018,1365.0
Eolica_VIII,2019,1365.0
Eolica_VIII,2020,1351.8511606909792
Eolica_VIII,2021,1321.5782173090897
Eolica_VIII,2022,1284.7156924893197
Eolica_VIII,2023,1251.300143128064
Eolica_VIII,2024,1216.445648160382
Eolica_VIII,2025,1180.2662865223274
Eolica_VIII,2026,1142.8761371483095
Eolica_VIII,2027,1104.3892789746394
Eolica_VIII,2028,1064.9197909356194
Eolica_VIII,2029,1013.2963784044259
Eolica_VIII,2030,994.7714485878676
Eolica_VIII,2031,974.0052145585568
Eolica_VIII,2032,966.306140978543
Eolica_VIII,2033,958.6070673985291
Eolica_VIII,2034,950.9079938185153
Eolica_VIII,2035,943.2089202385014
Eolica_VIII,2036,935.5098466584876
Eolica_VIII,2037,932.8107730784739
Eolica_VIII,2038,930.11169949846
Eolica_VIII,2039,927.4126259184461
Eolica_VIII,2040,919.7135523384324
Eolica_VIII,2041,917.0144787584185
Eolica_VIII,2042,914.3154051784047
Eolica_VIII,2043,906.6163315983908
Eolica_VIII,2044,903.9172580183771
Eolica_VIII,2045,901.2181844383633
Eolica_VIII,2046,893.5191108583494
Eolica_VIII,2047,890.8200372783356
Eolica_VIII,2048,888.1209636983218
Eolica_VIII,2049,885.421890118308
Eolica_VIII,2050,877.7228165382942
Eolica_X-XIV,2017,1365.0
Eolica_X-XIV,2018,1365.0
Eolica_X-XIV,2019,1365.0
Eolica_X-XIV,2020,1351.8511606909792
Eolica_X-XIV,2021,1321.5782173090897
Eolica_X-XIV,2022,1284.7156924893197
Eolica_X-XIV,2023,1251.300143128064
Eolica_X-XIV,2024,1216.445648160382
Eolica_X-XIV,2025,1180.2662865223274
Eolica_X-XIV,2026,1142.8761371483095
Eolica_X-XIV,2027,1104.3892789746394
Eolica_X-XIV,2028,1064.9197909356194
Eolica_X-XIV,2029,1013.2963784044259
Eolica_X-XIV,2030,994.7714485878676
Eolica_X-XIV,2031,974.0052145585568
Eolica_X-XIV,2032,966.306140978543
Eolica_X-XIV,2033,958.6070673985291
Eolica_X-XIV,2034,950.9079938185153
Eolica_X-XIV,2035,943.2089202385014
Eolica_X-XIV,2036,935.5098466584876
Eolica_X-XIV,2037,932.8107730784739
Eolica_X-XIV,2038,930.11169949846
Eolica_X-XIV,2039,927.4126259184461
Eolica_X-XIV,2040,919.7135523384324
Eolica_X-XIV,2041,917.0144787584185
Eolica_X-XIV,2042,914.3154051784047
Eolica_X-XIV,2043,906.6163315983908
Eolica_X-XIV,2044,903.9172580183771
Eolica_X-XIV,2045,901.2181844383633
Eolica_X-XIV,2046,893.5191108583494
Eolica_X-XIV,2047,890.8200372783356
Eolica_X-XIV,2048,888.1209636983218
Eolica_X-XIV,2049,885.421890118308
Eolica_X-XIV,2050,877.7228165382942
Geotermica_SING,2017,6461.030719459175
Geotermica_SING,2018,6445.384297660744
Geotermica_SING,2019,6429.841142246184
Geotermica_SING,2020,6414.40057165736
Geotermica_SING,2021,6399.061908834421
Geotermica_SING,2022,6383.824481186115
Geotermica_SING,2023,6368.687620560286
Geotermica_SING,2024,6317.02553643396
