Proceso,Agno,Retiro
TRANS_VEH_MEDIANO_DIESEL_1999,2024,19990
TRANS_VEH_MEDIANO_DIESEL_2000,2025,23146
TRANS_VEH_MEDIANO_DIESEL_2001,2026,22094
TRANS_VEH_MEDIANO_DIESEL_2002,2027,22094
TRANS_VEH_MEDIANO_DIESEL_2003,2028,25251
TRANS_VEH_MEDIANO_DIESEL_2004,2029,30512
TRANS_VEH_MEDIANO_DIESEL_2005,2030,38928
TRANS_VEH_MEDIANO_DIESEL_2006,2031,43137
TRANS_VEH_MEDIANO_DIESEL_2007,2032,46293
TRANS_VEH_MEDIANO_DIESEL_2008,2033,55763
TRANS_VEH_MEDIANO_DIESEL_2009,2034,39981
TRANS_VEH_MEDIANO_DIESEL_2010,2035,53658
TRANS_VEH_MEDIANO_DIESEL_2011,2036,73648
TRANS_VEH_MEDIANO_DIESEL_2012,2037,75752
TRANS_VEH_MEDIANO_DIESEL_2013,2038,86273
TRANS_VEH_MEDIANO_DIESEL_2014,2039,84170
TRANS_VEH_MEDIANO_DIESEL_2015,2040,59187
TRANS_VEH_MEDIANO_DIESEL_2016,2041,66967
TRANS_VEH_MEDIANO_DIESEL_2017,2042,73421
TRANS_VEH_MEDIANO_DIESEL_2018,2043,77796
TRANS_VEH_MEDIANO_DIESEL_NUEVO_2020,2044,30000
TRANS_VEH_MEDIANO_DIESEL_NUEVO_2020,2045,30000
TRANS_VEH_MEDIANO_DIESEL_NUEVO_2020,2046,30000
TRANS_VEH_MEDIANO_DIESEL_NUEVO_2020,2047,30000
TRANS_VEH_MEDIANO_DIESEL_NUEVO_2020,2048,30000
TRANS_VEH_MEDIANO_DIESEL_NUEVO_2020,2049,30000
TRANS_VEH_MEDIANO_DIESEL_NUEVO_2020,2050,30000
