Energeticos,Agno,Precio
carbon,2017,64.08655595339914
carbon,2018,64.08655595339914
carbon,2019,64.08655595339914
carbon,2020,76.50250463847634
carbon,2021,76.99209094554101
carbon,2022,77.0705970777137
carbon,2023,77.07623491511404
carbon,2024,75.01934114412344
carbon,2025,75.5113290244425
carbon,2026,75.6401177629286
carbon,2027,75.89186719864354
carbon,2028,76.12674213833326
carbon,2029,76.26581895467058
carbon,2030,76.39369203228132
carbon,2031,76.56689149562061
carbon,2032,76.53911570885639
carbon,2033,76.67109057511361
carbon,2034,76.77331854233161
carbon,2035,76.79663500380514
carbon,2036,76.82599563661688
carbon,2037,77.03790708651783
carbon,2038,77.27815203215208
carbon,2039,77.31043262338619
carbon,2040,76.983355318112
carbon,2041,76.63957216535155
carbon,2042,76.49173006092097
carbon,2043,76.44435102395994
carbon,2044,76.4479840441357
carbon,2045,76.38953614453189
carbon,2046,76.3403389891767
carbon,2047,76.27585281386669
carbon,2048,76.33834556866348
carbon,2049,76.47550067271253
carbon,2050,76.47583180469805
electricidad,2017,100.0
electricidad,2018,100.0
electricidad,2019,99.6
electricidad,2020,99.6
electricidad,2021,99.6
electricidad,2022,99.6
electricidad,2023,99.6
electricidad,2024,99.6
electricidad,2025,99.6
electricidad,2026,99.6
electricidad,2027,99.6
electricidad,2028,99.6
electricidad,2029,99.6
electricidad,2030,99.6
electricidad,2031,99.6
electricidad,2032,99.6
electricidad,2033,99.6
electricidad,2034,99.6
electricidad,2035,99.6
electricidad,2036,99.6
electricidad,2037,99.6
electricidad,2038,99.6
electricidad,2039,99.6
electricidad,2040,99.6
electricidad,2041,99.6
electricidad,2042,99.6
electricidad,2043,99.6
electricidad,2044,99.6
electricidad,2045,99.6
electricidad,2046,99.6
electricidad,2047,99.6
electricidad,2048,99.6
electricidad,2049,99.6
electricidad,2050,99.6
diesel,2017,571.6156608910005
diesel,2018,571.6156608910005
diesel,2019,571.6156608910005
diesel,2020,600.7102443801183
diesel,2021,623.7424730347822
diesel,2022,630.9990338751503
diesel,2023,650.4140917646123
diesel,2024,679.534813519757
diesel,2025,701.0079633318743
diesel,2026,727.8099889386065
diesel,2027,753.3353448489114
diesel,2028,772.4500194576945
diesel,2029,790.6000049052868
diesel,2030,808.1753055048662
diesel,2031,822.9891840661005
diesel,2032,837.3942681091233
diesel,2033,850.5424261208216
diesel,2034,863.6077839094863
diesel,2035,876.7672508553508
diesel,2036,887.8258410501529
diesel,2037,896.8134364332868
diesel,2038,907.135990030811
diesel,2039,915.6542949245488
diesel,2040,923.9029153486399
diesel,2041,931.8541207133007
diesel,2042,937.5376578335906
diesel,2043,942.7679549499222
diesel,2044,949.0266425850228
diesel,2045,952.8461381314655
diesel,2046,957.9829661628661
diesel,2047,960.3868398681605
diesel,2048,961.9667053674118
diesel,2049,964.3581155222801
diesel,2050,965.6717942035394
gas_natural,2017,8.032040980392157
gas_natural,2018,8.032040980392157
gas_natural,2019,8.032040980392157
gas_natural,2020,8.371372279691329
gas_natural,2021,8.419851385005044
gas_natural,2022,8.458930015307326
gas_natural,2023,8.634481093825798
gas_natural,2024,8.848778637752192
gas_natural,2025,9.148321749973773
gas_natural,2026,9.331194406722501
gas_natural,2027,9.402357076675429
gas_natural,2028,9.603675868180787
gas_natural,2029,9.658426381265112
gas_natural,2030,9.720029531894854
gas_natural,2031,9.718322283911334
gas_natural,2032,9.910345250434164
gas_natural,2033,9.986637494031662
gas_natural,2034,10.112062964164956
gas_natural,2035,10.190373567526313
gas_natural,2036,10.314424388977166
gas_natural,2037,10.374696463423007
gas_natural,2038,10.426130778923016
gas_natural,2039,10.453333851832964
gas_natural,2040,10.609853731076235
gas_natural,2041,10.627058222320366
gas_natural,2042,10.730184568583551
gas_natural,2043,10.881169679301578
gas_natural,2044,10.983688871608203
gas_natural,2045,11.077083610839075
gas_natural,2046,11.17965603028694
gas_natural,2047,11.354663848885245
gas_natural,2048,11.591906338405865
gas_natural,2049,11.769990663449796
gas_natural,2050,11.943005911872737
petroleo_combustible,2017,395.7485423717181
petroleo_combustible,2018,395.7485423717181
petroleo_combustible,2019,395.7485423717181
petroleo_combustible,2020,419.8190164692009
petroleo_combustible,2021,438.8739949825295
petroleo_combustible,2022,444.8774787516034
petroleo_combustible,2023,460.9399065984987
petroleo_combustible,2024,485.0320053552789
petroleo_combustible,2025,502.7971297997399
petroleo_combustible,2026,524.9709293789024
petroleo_combustible,2027,546.0885170734583
petroleo_combustible,2028,561.9024324101263
petroleo_combustible,2029,576.9182429904483
petroleo_combustible,2030,591.4586064225585
petroleo_combustible,2031,603.7143955568082
petroleo_combustible,2032,615.6319816071234
petroleo_combustible,2033,626.5096900633578
petroleo_combustible,2034,637.3188964004764
petroleo_combustible,2035,648.2059609420803
petroleo_combustible,2036,657.3549322252824
petroleo_combustible,2037,664.7905321179322
petroleo_combustible,2038,673.3305670382473
petroleo_combustible,2039,680.3779144380085
petroleo_combustible,2040,687.2021470080439
petroleo_combustible,2041,693.7803227308692
petroleo_combustible,2042,698.4824155821792
petroleo_combustible,2043,702.8095347969256
petroleo_combustible,2044,707.9874600509945
