Proceso,Hidrologia,Etapa,Factor_Planta
ABANICO,15,6,0.397875817
ABANICO,15,7,0.298564991
ABANICO,15,8,0.521920462
ABANICO,15,9,0.562704248
ABANICO,15,10,0.306965528
ABANICO,15,11,0.410743464
ABANICO,15,12,0.482685009
ABANICO,16,1,0.31279649
ABANICO,16,2,0.299041492
ABANICO,16,3,0.991263441
ABANICO,16,4,1.0
ABANICO,16,5,0.246679317
ABANICO,16,6,0.236723856
ABANICO,16,7,0.255574004
ABANICO,16,8,0.286211259
ABANICO,16,9,0.384701797
ABANICO,16,10,0.844995256
ABANICO,16,11,0.694035948
ABANICO,16,12,0.664927261
ABANICO,17,1,0.301826376
ABANICO,17,2,0.305606618
ABANICO,17,3,0.831257906
ABANICO,17,4,0.929534314
ABANICO,17,5,0.336713314
ABANICO,17,6,0.359987745
ABANICO,17,7,0.354008539
ABANICO,17,8,0.343038425
ABANICO,17,9,0.624387255
ABANICO,17,10,0.919908286
ABANICO,17,11,0.861008987
ABANICO,17,12,0.657613852
ABANICO,18,1,0.931669039
ABANICO,18,2,0.999868697
ABANICO,18,3,0.999960468
ABANICO,18,4,1.0
ABANICO,18,5,0.311314042
ABANICO,18,6,0.297589869
ABANICO,18,7,0.291449241
ABANICO,18,8,0.275735294
ABANICO,18,9,0.350796569
ABANICO,18,10,0.923564991
ABANICO,18,11,0.88939951
ABANICO,18,12,0.503933428
ABANICO,19,1,0.276921252
ABANICO,19,2,0.249584209
ABANICO,19,3,0.248557084
ABANICO,19,4,0.608353758
ABANICO,19,5,0.242923782
ABANICO,19,6,0.280841503
ABANICO,19,7,0.297280202
ABANICO,19,8,0.27850253
ABANICO,19,9,0.369893791
ABANICO,19,10,0.42150933
ABANICO,19,11,0.53002451
ABANICO,19,12,0.466773403
ABANICO,20,1,0.969422043
ABANICO,20,2,0.999868697
ABANICO,20,3,0.999960468
ABANICO,20,4,1.0
ABANICO,20,5,0.26466635
ABANICO,20,6,0.295547386
ABANICO,20,7,0.279194339
ABANICO,20,8,0.253202087
ABANICO,20,9,0.238051471
ABANICO,20,10,0.751601044
ABANICO,20,11,0.79810049
ABANICO,20,12,0.564516129
ABANICO,21,1,0.270299652
ABANICO,21,2,0.208989846
ABANICO,21,3,0.232052498
ABANICO,21,4,0.630004085
ABANICO,21,5,0.197857369
ABANICO,21,6,0.361621732
ABANICO,21,7,0.219599937
ABANICO,21,8,0.743398166
ABANICO,21,9,0.679125817
ABANICO,21,10,0.290362113
ABANICO,21,11,0.451082516
ABANICO,21,12,0.612745098
ABANICO,22,1,0.444339026
ABANICO,22,2,0.243128501
ABANICO,22,3,0.288978495
ABANICO,22,4,0.784109477
ABANICO,22,5,0.243319102
ABANICO,22,6,0.253880719
ABANICO,22,7,0.269607843
ABANICO,22,8,0.602763283
ABANICO,22,9,0.919934641
ABANICO,22,10,0.783621917
ABANICO,22,11,0.792790033
ABANICO,22,12,0.642888204
ABANICO,23,1,0.340271189
ABANICO,23,2,0.235688025
ABANICO,23,3,0.293722328
ABANICO,23,4,0.720179739
ABANICO,23,5,0.248260595
ABANICO,23,6,0.298713235
ABANICO,23,7,0.269805503
ABANICO,23,8,0.270497312
ABANICO,23,9,0.893280229
ABANICO,23,10,0.661270557
ABANICO,23,11,0.688316993
ABANICO,23,12,0.675996205
ABANICO,24,1,0.21762334
ABANICO,24,2,0.208114496
ABANICO,24,3,0.198252688
ABANICO,24,4,0.629289216
ABANICO,24,5,0.60483871
ABANICO,24,6,0.323631536
ABANICO,24,7,0.21762334
ABANICO,24,8,0.298564991
ABANICO,24,9,0.748570261
ABANICO,24,10,0.393540481
ABANICO,24,11,0.652879902
ABANICO,24,12,0.639330329
ABANICO,25,1,0.242923782
ABANICO,25,2,0.233718487
ABANICO,25,3,0.221971853
ABANICO,25,4,0.566482843
ABANICO,25,5,0.201612903
ABANICO,25,6,0.210171569
ABANICO,25,7,0.436136148
ABANICO,25,8,0.225925047
ABANICO,25,9,0.888684641
ABANICO,25,10,0.724916983
ABANICO,25,11,0.614685458
ABANICO,25,12,0.806056293
ABANICO,26,1,0.324063093
ABANICO,26,2,0.175179447
ABANICO,26,3,0.198450348
ABANICO,26,4,0.616830065
ABANICO,26,5,0.015615117
ABANICO,26,6,0.402165033
ABANICO,26,7,0.374070999
ABANICO,26,8,0.411329855
ABANICO,26,9,0.315257353
ABANICO,26,10,0.26476518
ABANICO,26,11,0.232230392
ABANICO,26,12,0.184021189
ABANICO,27,1,0.174533523
ABANICO,27,2,0.166207108
ABANICO,27,3,0.07451771
ABANICO,27,4,0.515114379
ABANICO,27,5,0.38701771
ABANICO,27,6,0.495710784
ABANICO,27,7,0.372588552
ABANICO,27,8,0.402435168
ABANICO,27,9,0.269812092
ABANICO,27,10,0.446414453
ABANICO,27,11,0.195465686
ABANICO,27,12,0.182538741
ABANICO,28,1,0.179277356
ABANICO,28,2,0.174194678
ABANICO,28,3,0.076889627
ABANICO,28,4,0.491830065
ABANICO,28,5,0.269805503
ABANICO,28,6,0.202001634
ABANICO,28,7,0.212484187
ABANICO,28,8,0.590014231
ABANICO,28,9,0.656760621
ABANICO,28,10,0.7537753
ABANICO,28,11,0.730800654
ABANICO,28,12,0.752194023
ABANICO,29,1,0.343829064
ABANICO,29,2,0.176820728
ABANICO,29,3,0.236104522
ABANICO,29,4,0.689031863
ABANICO,29,5,0.26506167
ABANICO,29,6,0.213235294
ABANICO,29,7,0.340567679
ABANICO,29,8,0.595647533
ABANICO,29,9,0.770833333
ABANICO,29,10,0.623912872
