Proceso,Agno,Cinversion
generacion_biomasa,2017,3100
generacion_biomasa,2018,3100
generacion_biomasa,2019,3100
generacion_biomasa,2020,3077
generacion_biomasa,2021,3035
generacion_biomasa,2022,3021
generacion_biomasa,2023,3013
generacion_biomasa,2024,2999
generacion_biomasa,2025,2988
generacion_biomasa,2026,2972
generacion_biomasa,2027,2963
generacion_biomasa,2028,2954
generacion_biomasa,2029,2943
generacion_biomasa,2030,2930
generacion_biomasa,2031,2921
generacion_biomasa,2032,2909
generacion_biomasa,2033,2898
generacion_biomasa,2034,2885
generacion_biomasa,2035,2873
generacion_biomasa,2036,2864
generacion_biomasa,2037,2850
generacion_biomasa,2038,2838
generacion_biomasa,2039,2826
generacion_biomasa,2040,2814
generacion_biomasa,2041,2804
generacion_biomasa,2042,2792
generacion_biomasa,2043,2782
generacion_biomasa,2044,2770
generacion_biomasa,2045,2758
generacion_biomasa,2046,2746
generacion_biomasa,2047,2735
generacion_biomasa,2048,2724
generacion_biomasa,2049,2711
generacion_biomasa,2050,2676
generacion_carbon,2017,4154
generacion_carbon,2018,4145
generacion_carbon,2019,4135
generacion_carbon,2020,4126
generacion_carbon,2021,4117
generacion_carbon,2022,4107
generacion_carbon,2023,4098
generacion_carbon,2024,4088
generacion_carbon,2025,4079
generacion_carbon,2026,4070
generacion_carbon,2027,4060
generacion_carbon,2028,4051
generacion_carbon,2029,4042
generacion_carbon,2030,4032
generacion_carbon,2031,4023
generacion_carbon,2032,4014
generacion_carbon,2033,4004
generacion_carbon,2034,3995
generacion_carbon,2035,3986
generacion_carbon,2036,3977
generacion_carbon,2037,3968
generacion_carbon,2038,3959
generacion_carbon,2039,3951
generacion_carbon,2040,3942
generacion_carbon,2041,3933
generacion_carbon,2042,3924
generacion_carbon,2043,3916
generacion_carbon,2044,3907
generacion_carbon,2045,3898
generacion_carbon,2046,3890
generacion_carbon,2047,3881
generacion_carbon,2048,3872
generacion_carbon,2049,3863
generacion_carbon,2050,3863
generacion_diesel,2017,685
generacion_diesel,2018,685
generacion_diesel,2019,685
generacion_diesel,2020,685
generacion_diesel,2021,685
generacion_diesel,2022,685
generacion_diesel,2023,685
generacion_diesel,2024,685
generacion_diesel,2025,685
generacion_diesel,2026,685
generacion_diesel,2027,685
generacion_diesel,2028,685
generacion_diesel,2029,685
generacion_diesel,2030,685
generacion_diesel,2031,685
generacion_diesel,2032,685
generacion_diesel,2033,685
generacion_diesel,2034,685
generacion_diesel,2035,685
generacion_diesel,2036,685
generacion_diesel,2037,685
generacion_diesel,2038,685
generacion_diesel,2039,685
generacion_diesel,2040,685
generacion_diesel,2041,685
generacion_diesel,2042,685
generacion_diesel,2043,685
generacion_diesel,2044,685
generacion_diesel,2045,685
generacion_diesel,2046,685
generacion_diesel,2047,685
generacion_diesel,2048,685
generacion_diesel,2049,685
generacion_diesel,2050,685
generacion_eolica,2017,1365
generacion_eolica,2018,1365
generacion_eolica,2019,1365
generacion_eolica,2020,1352
generacion_eolica,2021,1322
generacion_eolica,2022,1285
generacion_eolica,2023,1251
generacion_eolica,2024,1216
generacion_eolica,2025,1180
generacion_eolica,2026,1143
generacion_eolica,2027,1104
generacion_eolica,2028,1065
generacion_eolica,2029,1013
generacion_eolica,2030,995
generacion_eolica,2031,974
generacion_eolica,2032,966
generacion_eolica,2033,959
generacion_eolica,2034,951
generacion_eolica,2035,943
generacion_eolica,2036,936
generacion_eolica,2037,933
generacion_eolica,2038,930
generacion_eolica,2039,927
generacion_eolica,2040,920
generacion_eolica,2041,917
generacion_eolica,2042,914
generacion_eolica,2043,907
generacion_eolica,2044,904
generacion_eolica,2045,901
generacion_eolica,2046,894
generacion_eolica,2047,891
generacion_eolica,2048,888
generacion_eolica,2049,885
generacion_eolica,2050,878
generacion_geotermia,2017,5660
generacion_geotermia,2018,5660
generacion_geotermia,2019,5660
generacion_geotermia,2020,5646
generacion_geotermia,2021,5632
generacion_geotermia,2022,5619
generacion_geotermia,2023,5605
generacion_geotermia,2024,5592
generacion_geotermia,2025,5579
generacion_geotermia,2026,5533
generacion_geotermia,2027,5488
generacion_geotermia,2028,5443
generacion_geotermia,2029,5430
generacion_geotermia,2030,5418
generacion_geotermia,2031,5405
generacion_geotermia,2032,5392
generacion_geotermia,2033,5380
generacion_geotermia,2034,5367
generacion_geotermia,2035,5355
generacion_geotermia,2036,5342
generacion_geotermia,2037,5330
generacion_geotermia,2038,5318
generacion_geotermia,2039,5306
generacion_geotermia,2040,5294
generacion_geotermia,2041,5282
generacion_geotermia,2042,5270
generacion_geotermia,2043,5258
generacion_geotermia,2044,5247
generacion_geotermia,2045,5235
generacion_geotermia,2046,5223
generacion_geotermia,2047,5212
generacion_geotermia,2048,5201
generacion_geotermia,2049,5189
generacion_geotermia,2050,5178
generacion_gas_natural_ca,2017,800
generacion_gas_natural_ca,2018,800
generacion_gas_natural_ca,2019,800
generacion_gas_natural_ca,2020,803
generacion_gas_natural_ca,2021,801
generacion_gas_natural_ca,2022,797
generacion_gas_natural_ca,2023,794
generacion_gas_natural_ca,2024,790
generacion_gas_natural_ca,2025,784
generacion_gas_natural_ca,2026,777
generacion_gas_natural_ca,2027,774
generacion_gas_natural_ca,2028,770
generacion_gas_natural_ca,2029,767
generacion_gas_natural_ca,2030,764
generacion_gas_natural_ca,2031,761
generacion_gas_natural_ca,2032,758
generacion_gas_natural_ca,2033,755
generacion_gas_natural_ca,2034,752
generacion_gas_natural_ca,2035,749
