Proceso,Agno,Pmax
I_COB_calderas_solar,2043,188.0
I_COB_calderas_solar,2044,202.0
I_COB_calderas_solar,2045,215.0
I_COB_calderas_solar,2046,229.0
I_COB_calderas_solar,2047,242.0
I_COB_calderas_solar,2048,255.0
I_COB_calderas_solar,2049,269.0
I_COB_calderas_solar,2050,282.0
I_COB_caldera_imp_solar,2017,0.0
I_COB_caldera_imp_solar,2018,0.0
I_COB_caldera_imp_solar,2019,0.0
I_COB_caldera_imp_solar,2020,0.0
I_COB_caldera_imp_solar,2021,0.0
I_COB_caldera_imp_solar,2022,0.0
I_COB_caldera_imp_solar,2023,0.0
I_COB_caldera_imp_solar,2024,0.0
I_COB_caldera_imp_solar,2025,0.0
I_COB_caldera_imp_solar,2026,0.0
I_COB_caldera_imp_solar,2027,0.0
I_COB_caldera_imp_solar,2028,0.0
I_COB_caldera_imp_solar,2029,0.0
I_COB_caldera_imp_solar,2030,2.0
I_COB_caldera_imp_solar,2031,4.0
I_COB_caldera_imp_solar,2032,5.0
I_COB_caldera_imp_solar,2033,7.0
I_COB_caldera_imp_solar,2034,9.0
I_COB_caldera_imp_solar,2035,11.0
I_COB_caldera_imp_solar,2036,12.0
I_COB_caldera_imp_solar,2037,14.0
I_COB_caldera_imp_solar,2038,16.0
I_COB_caldera_imp_solar,2039,18.0
I_COB_caldera_imp_solar,2040,19.0
I_COB_caldera_imp_solar,2041,21.0
I_COB_caldera_imp_solar,2042,23.0
I_COB_caldera_imp_solar,2043,25.0
I_COB_caldera_imp_solar,2044,26.0
I_COB_caldera_imp_solar,2045,28.0
I_COB_caldera_imp_solar,2046,30.0
I_COB_caldera_imp_solar,2047,32.0
I_COB_caldera_imp_solar,2048,33.0
I_COB_caldera_imp_solar,2049,35.0
I_COB_caldera_imp_solar,2050,37.0
I_COB_nuevo_caldera_solar,2017,0.0
I_COB_nuevo_caldera_solar,2018,0.0
I_COB_nuevo_caldera_solar,2019,0.0
I_COB_nuevo_caldera_solar,2020,0.0
I_COB_nuevo_caldera_solar,2021,0.0
I_COB_nuevo_caldera_solar,2022,0.0
I_COB_nuevo_caldera_solar,2023,0.0
I_COB_nuevo_caldera_solar,2024,0.0
I_COB_nuevo_caldera_solar,2025,0.0
I_COB_nuevo_caldera_solar,2026,0.0
I_COB_nuevo_caldera_solar,2027,0.0
I_COB_nuevo_caldera_solar,2028,0.0
I_COB_nuevo_caldera_solar,2029,0.0
I_COB_nuevo_caldera_solar,2030,3.0
I_COB_nuevo_caldera_solar,2031,7.0
I_COB_nuevo_caldera_solar,2032,12.0
