Curva,Etapa,Bloque,Distribucion
curva_cobre,12,5,0.082198748
curva_comercial,1,1,0.281447444
curva_comercial,1,2,0.11774842
curva_comercial,1,3,0.436530729
curva_comercial,1,4,0.083285468
curva_comercial,1,5,0.080987938
curva_comercial,2,1,0.281447444
curva_comercial,2,2,0.11774842
curva_comercial,2,3,0.436530729
curva_comercial,2,4,0.083285468
curva_comercial,2,5,0.080987938
curva_comercial,3,1,0.281447444
curva_comercial,3,2,0.11774842
curva_comercial,3,3,0.436530729
curva_comercial,3,4,0.083285468
curva_comercial,3,5,0.080987938
curva_comercial,4,1,0.281447444
curva_comercial,4,2,0.11774842
curva_comercial,4,3,0.436530729
curva_comercial,4,4,0.083285468
curva_comercial,4,5,0.080987938
curva_comercial,5,1,0.281447444
curva_comercial,5,2,0.11774842
curva_comercial,5,3,0.436530729
curva_comercial,5,4,0.083285468
curva_comercial,5,5,0.080987938
curva_comercial,6,1,0.281447444
curva_comercial,6,2,0.11774842
curva_comercial,6,3,0.436530729
curva_comercial,6,4,0.083285468
curva_comercial,6,5,0.080987938
curva_comercial,7,1,0.281447444
curva_comercial,7,2,0.11774842
curva_comercial,7,3,0.436530729
curva_comercial,7,4,0.083285468
curva_comercial,7,5,0.080987938
curva_comercial,8,1,0.281447444
curva_comercial,8,2,0.11774842
curva_comercial,8,3,0.436530729
curva_comercial,8,4,0.083285468
curva_comercial,8,5,0.080987938
curva_comercial,9,1,0.281447444
curva_comercial,9,2,0.11774842
curva_comercial,9,3,0.436530729
curva_comercial,9,4,0.083285468
curva_comercial,9,5,0.080987938
curva_comercial,10,1,0.281447444
curva_comercial,10,2,0.11774842
curva_comercial,10,3,0.436530729
curva_comercial,10,4,0.083285468
curva_comercial,10,5,0.080987938
curva_comercial,11,1,0.281447444
curva_comercial,11,2,0.11774842
curva_comercial,11,3,0.436530729
curva_comercial,11,4,0.083285468
curva_comercial,11,5,0.080987938
curva_comercial,12,1,0.281447444
curva_comercial,12,2,0.11774842
curva_comercial,12,3,0.436530729
curva_comercial,12,4,0.083285468
curva_comercial,12,5,0.080987938
curva_petroquim,1,1,0.288738535
curva_petroquim,1,2,0.120097484
curva_petroquim,1,3,0.422710065
curva_petroquim,1,4,0.084549897
curva_petroquim,1,5,0.083904018
curva_petroquim,2,1,0.288811956
curva_petroquim,2,2,0.123308811
curva_petroquim,2,3,0.418829946
curva_petroquim,2,4,0.085490497
curva_petroquim,2,5,0.083558789
curva_petroquim,3,1,0.294708251
curva_petroquim,3,2,0.122821279
curva_petroquim,3,3,0.409946683
curva_petroquim,3,4,0.084677402
curva_petroquim,3,5,0.087846385
curva_petroquim,4,1,0.287690648
curva_petroquim,4,2,0.123936414
curva_petroquim,4,3,0.421370074
curva_petroquim,4,4,0.083836122
curva_petroquim,4,5,0.083166742
curva_petroquim,5,1,0.293358117
curva_petroquim,5,2,0.121255863
curva_petroquim,5,3,0.416004182
curva_petroquim,5,4,0.083448589
curva_petroquim,5,5,0.085933249
curva_petroquim,6,1,0.293675014
curva_petroquim,6,2,0.124377526
curva_petroquim,6,3,0.418201757
curva_petroquim,6,4,0.081356714
curva_petroquim,6,5,0.082388989
curva_petroquim,7,1,0.297863246
curva_petroquim,7,2,0.126525211
curva_petroquim,7,3,0.40808364
curva_petroquim,7,4,0.082795507
curva_petroquim,7,5,0.084732396
curva_petroquim,8,1,0.290856062
curva_petroquim,8,2,0.127025884
curva_petroquim,8,3,0.416392147
curva_petroquim,8,4,0.082020511
curva_petroquim,8,5,0.083705397
curva_petroquim,9,1,0.292076594
curva_petroquim,9,2,0.124025908
curva_petroquim,9,3,0.412021615
curva_petroquim,9,4,0.085431267
curva_petroquim,9,5,0.086444616
curva_petroquim,10,1,0.297657009
curva_petroquim,10,2,0.123223759
curva_petroquim,10,3,0.413841239
curva_petroquim,10,4,0.082341725
curva_petroquim,10,5,0.082936268
curva_petroquim,11,1,0.284701203
curva_petroquim,11,2,0.12095067
curva_petroquim,11,3,0.420229931
curva_petroquim,11,4,0.086811566
curva_petroquim,11,5,0.08730663
curva_petroquim,12,1,0.299674966
curva_petroquim,12,2,0.12263649
curva_petroquim,12,3,0.416370893
curva_petroquim,12,4,0.080250972
curva_petroquim,12,5,0.081066678
curva_residencial,1,1,0.302863428
curva_residencial,1,2,0.136894599
curva_residencial,1,3,0.381031147
curva_residencial,1,4,0.083908195
curva_residencial,1,5,0.095302632
curva_residencial,2,1,0.313659358
curva_residencial,2,2,0.131330023
curva_residencial,2,3,0.385492613
curva_residencial,2,4,0.093991205
curva_residencial,2,5,0.075526801
curva_residencial,3,1,0.296263152
curva_residencial,3,2,0.127425609
curva_residencial,3,3,0.40649018
curva_residencial,3,4,0.085186582
curva_residencial,3,5,0.084634478
curva_residencial,4,1,0.311216447
curva_residencial,4,2,0.122405059
curva_residencial,4,3,0.401360653
curva_residencial,4,4,0.080444085
curva_residencial,4,5,0.084573756
curva_residencial,5,1,0.300829353
curva_residencial,5,2,0.138399701
curva_residencial,5,3,0.386552282
curva_residencial,5,4,0.082062926
curva_residencial,5,5,0.092155738
curva_residencial,6,1,0.29224436
curva_residencial,6,2,0.1225773
curva_residencial,6,3,0.430993795
curva_residencial,6,4,0.068148629
curva_residencial,6,5,0.086035916
curva_residencial,7,1,0.305830464
curva_residencial,7,2,0.131632383
curva_residencial,7,3,0.396540989
curva_residencial,7,4,0.081010391
curva_residencial,7,5,0.084985774
curva_residencial,8,1,0.282975673
curva_residencial,8,2,0.140889565
curva_residencial,8,3,0.449218125
curva_residencial,8,4,0.065261317
curva_residencial,8,5,0.061655319
curva_residencial,9,1,0.282393334
curva_residencial,9,2,0.137982131
curva_residencial,9,3,0.433577823
curva_residencial,9,4,0.072536198
curva_residencial,9,5,0.073510513
curva_residencial,10,1,0.278589272
curva_residencial,10,2,0.137368956
curva_residencial,10,3,0.408748372
curva_residencial,10,4,0.087140325
curva_residencial,10,5,0.088153076
curva_residencial,11,1,0.273375988
curva_residencial,11,2,0.123710104
curva_residencial,11,3,0.443238792
curva_residencial,11,4,0.087212767
curva_residencial,11,5,0.072462349
curva_residencial,12,1,0.272452435
curva_residencial,12,2,0.127022399
curva_residencial,12,3,0.433780625
curva_residencial,12,4,0.080536379
curva_residencial,12,5,0.086208162
curva_siderurgia,1,1,0.225531915
curva_siderurgia,1,2,0.106382979
curva_siderurgia,1,3,0.434042553
curva_siderurgia,1,4,0.106382979
curva_siderurgia,1,5,0.127659574
curva_siderurgia,2,1,0.225531915
curva_siderurgia,2,2,0.106382979
curva_siderurgia,2,3,0.434042553
curva_siderurgia,2,4,0.106382979
curva_siderurgia,2,5,0.127659574
curva_siderurgia,3,1,0.225531915
curva_siderurgia,3,2,0.106382979
curva_siderurgia,3,3,0.434042553
curva_siderurgia,3,4,0.106382979
curva_siderurgia,3,5,0.127659574
curva_siderurgia,4,1,0.225531915
curva_siderurgia,4,2,0.106382979
curva_siderurgia,4,3,0.434042553
curva_siderurgia,4,4,0.106382979
curva_siderurgia,4,5,0.127659574
curva_siderurgia,5,1,0.225531915
curva_siderurgia,5,2,0.106382979
curva_siderurgia,5,3,0.434042553
curva_siderurgia,5,4,0.106382979
curva_siderurgia,5,5,0.127659574
curva_siderurgia,6,1,0.225531915
curva_siderurgia,6,2,0.106382979
curva_siderurgia,6,3,0.434042553
curva_siderurgia,6,4,0.106382979
curva_siderurgia,6,5,0.127659574
