Producto,Agno,Demanda
celulosa_existente,2017,5193.0
celulosa_existente,2018,5193.0
celulosa_existente,2019,5193.0
celulosa_existente,2020,5193.0
celulosa_existente,2021,5193.0
celulosa_existente,2022,5193.0
celulosa_existente,2023,5193.0
celulosa_existente,2024,5193.0
celulosa_existente,2025,5193.0
celulosa_existente,2026,5193.0
celulosa_existente,2027,5193.0
celulosa_existente,2028,5193.0
celulosa_existente,2029,5193.0
celulosa_existente,2030,5193.0
celulosa_existente,2031,5193.0
celulosa_existente,2032,5193.0
celulosa_existente,2033,5193.0
celulosa_existente,2034,5193.0
celulosa_existente,2035,5193.0
celulosa_existente,2036,5193.0
celulosa_existente,2037,5193.0
celulosa_existente,2038,5193.0
celulosa_existente,2039,5193.0
celulosa_existente,2040,5193.0
celulosa_existente,2041,5193.0
celulosa_existente,2042,5193.0
celulosa_existente,2043,5193.0
celulosa_existente,2044,5193.0
celulosa_existente,2045,5193.0
celulosa_existente,2046,5193.0
celulosa_existente,2047,5193.0
celulosa_existente,2048,5193.0
celulosa_existente,2049,5193.0
celulosa_existente,2050,5193.0
azucar_existente,2017,1770.5
azucar_existente,2018,1770.5
azucar_existente,2019,1770.5
azucar_existente,2020,1770.5
azucar_existente,2021,1770.5
azucar_existente,2022,1770.5
azucar_existente,2023,1770.5
azucar_existente,2024,1770.5
azucar_existente,2025,1770.5
azucar_existente,2026,1770.5
azucar_existente,2027,1770.5
azucar_existente,2028,1770.5
azucar_existente,2029,1770.5
azucar_existente,2030,1770.5
azucar_existente,2031,1770.5
azucar_existente,2032,1770.5
azucar_existente,2033,1770.5
azucar_existente,2034,1770.5
azucar_existente,2035,1770.5
azucar_existente,2036,1770.5
azucar_existente,2037,1770.5
azucar_existente,2038,1770.5
azucar_existente,2039,1770.5
azucar_existente,2040,1770.5
azucar_existente,2041,1770.5
azucar_existente,2042,1770.5
azucar_existente,2043,1770.5
azucar_existente,2044,1770.5
azucar_existente,2045,1770.5
azucar_existente,2046,1770.5
azucar_existente,2047,1770.5
azucar_existente,2048,1770.5
azucar_existente,2049,1770.5
azucar_existente,2050,1770.5
cemento_existente,2017,3995.0
cemento_existente,2018,3995.0
cemento_existente,2019,3995.0
cemento_existente,2020,3995.0
cemento_existente,2021,3995.0
cemento_existente,2022,3995.0
cemento_existente,2023,3995.0
cemento_existente,2024,3995.0
cemento_existente,2025,3995.0
cemento_existente,2026,3995.0
cemento_existente,2027,3995.0
cemento_existente,2028,3995.0
cemento_existente,2029,3995.0
cemento_existente,2030,3995.0
cemento_existente,2031,3995.0
cemento_existente,2032,3995.0
cemento_existente,2033,3995.0
cemento_existente,2034,3995.0
cemento_existente,2035,3995.0
cemento_existente,2036,3995.0
cemento_existente,2037,3995.0
cemento_existente,2038,3995.0
cemento_existente,2039,3995.0
cemento_existente,2040,3995.0
cemento_existente,2041,3995.0
cemento_existente,2042,3995.0
cemento_existente,2043,3995.0
cemento_existente,2044,3995.0
cemento_existente,2045,3995.0
cemento_existente,2046,3995.0
cemento_existente,2047,3995.0
cemento_existente,2048,3995.0
cemento_existente,2049,3995.0
cemento_existente,2050,3995.0
hierro_existente,2017,9.549299999999999
hierro_existente,2018,9.549299999999999
hierro_existente,2019,9.549299999999999
hierro_existente,2020,9.549299999999999
hierro_existente,2021,9.549299999999999
hierro_existente,2022,9.549299999999999
hierro_existente,2023,9.549299999999999
hierro_existente,2024,9.549299999999999
hierro_existente,2025,9.549299999999999
hierro_existente,2026,9.549299999999999
