Proceso,Agno,Etapa,Factor_Planta
BLANCO,2017,8,0.309847199
BLANCO,2017,9,0.580409357
BLANCO,2017,10,0.692793812
BLANCO,2017,11,0.929824561
BLANCO,2017,12,0.929541596
BOQUIAMARGO,2017,1,0.195503421
BOQUIAMARGO,2017,2,0.135281385
BOQUIAMARGO,2017,3,0.073313783
BOQUIAMARGO,2017,4,0.202020202
BOQUIAMARGO,2017,5,0.757575758
BOQUIAMARGO,2017,6,0.808080808
BOQUIAMARGO,2017,7,0.708699902
BOQUIAMARGO,2017,8,0.513196481
BOQUIAMARGO,2017,9,0.833333333
BOQUIAMARGO,2017,10,0.879765396
BOQUIAMARGO,2017,11,0.909090909
BOQUIAMARGO,2017,12,0.89198436
BUREO,2017,1,0.146627566
BUREO,2017,2,0.121753247
BUREO,2017,3,0.097751711
BUREO,2017,4,0.23989899
BUREO,2017,5,0.98973607
BUREO,2017,6,0.997474747
BUREO,2017,7,0.98973607
BUREO,2017,8,0.598729228
BUREO,2017,9,0.845959596
BUREO,2017,10,0.623167155
BUREO,2017,11,0.555555556
BUREO,2017,12,0.439882698
CALIBORO,2017,1,0.886101155
CALIBORO,2017,2,0.881834215
CALIBORO,2017,3,0.886101155
CALIBORO,2017,4,0.884773663
CALIBORO,2017,5,0.886101155
CALIBORO,2017,6,0.884773663
CALIBORO,2017,7,0.886101155
CALIBORO,2017,8,0.886101155
CALIBORO,2017,9,0.884773663
CALIBORO,2017,10,0.886101155
CALIBORO,2017,11,0.884773663
CALIBORO,2017,12,0.886101155
CALLAO,2017,1,0.195503421
CALLAO,2017,2,0.135281385
CALLAO,2017,3,0.154773542
CALLAO,2017,4,0.260942761
CALLAO,2017,5,0.708699902
CALLAO,2017,6,0.345117845
CALLAO,2017,7,0.448028674
CALLAO,2017,8,0.476539589
CALLAO,2017,9,0.471380471
CALLAO,2017,10,0.391006843
CALLAO,2017,11,0.378787879
CALLAO,2017,12,0.268817204
CANUTILLAR,2017,1,0.633742087
CANUTILLAR,2017,2,0.396941973
CANUTILLAR,2017,3,0.685389106
CANUTILLAR,2017,4,0.669800235
