Proceso,Barra,Participacion,Perdidas
I_AZU_nuevo_electricidad,VIII,0.6960616905367507,0.0
I_AZU_nuevo_electricidad,XIII,0.20492326832255728,0.0
I_AZU_nuevo_electricidad,X-XIV,0.0030483068929060423,0.0
I_AZU_nuevo_motriz_electricidad_norm,II-III,0.0,0.0
I_AZU_nuevo_motriz_electricidad_norm,IV,0.0,0.0
I_AZU_nuevo_motriz_electricidad_norm,SING,0.0,0.0
I_AZU_nuevo_motriz_electricidad_norm,V,0.0,0.0
I_AZU_nuevo_motriz_electricidad_norm,VI,0.0,0.0
I_AZU_nuevo_motriz_electricidad_norm,VII,0.09596673424778583,0.0
I_AZU_nuevo_motriz_electricidad_norm,VIII,0.6960616905367507,0.0
I_AZU_nuevo_motriz_electricidad_norm,XIII,0.20492326832255728,0.0
I_AZU_nuevo_motriz_electricidad_norm,X-XIV,0.0030483068929060423,0.0
I_AZU_nuevo_motriz_electricidad_prem,II-III,0.0,0.0
I_AZU_nuevo_motriz_electricidad_prem,IV,0.0,0.0
I_AZU_nuevo_motriz_electricidad_prem,SING,0.0,0.0
I_AZU_nuevo_motriz_electricidad_prem,V,0.0,0.0
I_AZU_nuevo_motriz_electricidad_prem,VI,0.0,0.0
I_AZU_nuevo_motriz_electricidad_prem,VII,0.09596673424778583,0.0
I_AZU_nuevo_motriz_electricidad_prem,VIII,0.6960616905367507,0.0
I_AZU_nuevo_motriz_electricidad_prem,XIII,0.20492326832255728,0.0
I_AZU_nuevo_motriz_electricidad_prem,X-XIV,0.0030483068929060423,0.0
I_CEL_calor_electricidad,II-III,0.0,0.0
I_CEL_calor_electricidad,IV,0.0,0.0
I_CEL_calor_electricidad,SING,0.0,0.0
I_CEL_calor_electricidad,V,9.551812819093703e-05,0.0
I_CEL_calor_electricidad,VI,0.00976571136818671,0.0
I_CEL_calor_electricidad,VII,0.13556481085468772,0.0
I_CEL_calor_electricidad,VIII,0.6672306706129442,0.0
I_CEL_calor_electricidad,XIII,0.08713088194054722,0.0
I_CEL_calor_electricidad,X-XIV,0.1002124070954434,0.0
I_CEL_electricidad,II-III,0.0,0.0
I_CEL_electricidad,IV,0.0,0.0
I_CEL_electricidad,SING,0.0,0.0
I_CEL_electricidad,V,9.551812819093703e-05,0.0
I_CEL_electricidad,VI,0.00976571136818671,0.0
I_CEL_electricidad,VII,0.13556481085468772,0.0
I_CEL_electricidad,VIII,0.6672306706129442,0.0
I_CEL_electricidad,XIII,0.08713088194054722,0.0
I_CEL_electricidad,X-XIV,0.1002124070954434,0.0
I_CEL_impuesto_calor_electricidad,II-III,0.0,0.0
I_CEL_impuesto_calor_electricidad,IV,0.0,0.0
I_CEL_impuesto_calor_electricidad,SING,0.0,0.0
I_CEL_impuesto_calor_electricidad,V,9.551812819093703e-05,0.0
I_CEL_impuesto_calor_electricidad,VI,0.00976571136818671,0.0
I_CEL_impuesto_calor_electricidad,VII,0.13556481085468772,0.0
I_CEL_impuesto_calor_electricidad,VIII,0.6672306706129442,0.0
I_CEL_impuesto_calor_electricidad,XIII,0.08713088194054722,0.0
I_CEL_impuesto_calor_electricidad,X-XIV,0.1002124070954434,0.0
I_CEL_impuesto_electricidad,II-III,0.0,0.0
I_CEL_impuesto_electricidad,IV,0.0,0.0
I_CEL_impuesto_electricidad,SING,0.0,0.0
I_CEL_impuesto_electricidad,V,9.551812819093703e-05,0.0
I_CEL_impuesto_electricidad,VI,0.00976571136818671,0.0
I_CEL_impuesto_electricidad,VII,0.13556481085468772,0.0
I_CEL_impuesto_electricidad,VIII,0.6672306706129442,0.0
I_CEL_impuesto_electricidad,XIII,0.08713088194054722,0.0
I_CEL_impuesto_electricidad,X-XIV,0.1002124070954434,0.0
I_CEL_impuesto_motriz_electricidad,II-III,0.0,0.0
I_CEL_impuesto_motriz_electricidad,IV,0.0,0.0
I_CEL_impuesto_motriz_electricidad,SING,0.0,0.0
I_CEL_impuesto_motriz_electricidad,V,9.551812819093703e-05,0.0
I_CEL_impuesto_motriz_electricidad,VI,0.00976571136818671,0.0
I_CEL_impuesto_motriz_electricidad,VII,0.13556481085468772,0.0
I_CEL_impuesto_motriz_electricidad,VIII,0.6672306706129442,0.0
I_CEL_impuesto_motriz_electricidad,XIII,0.08713088194054722,0.0
I_CEL_impuesto_motriz_electricidad,X-XIV,0.1002124070954434,0.0
I_CEL_motriz_electricidad,II-III,0.0,0.0
I_CEL_motriz_electricidad,IV,0.0,0.0
I_CEL_motriz_electricidad,SING,0.0,0.0
I_CEL_motriz_electricidad,V,9.551812819093703e-05,0.0
I_CEL_motriz_electricidad,VI,0.00976571136818671,0.0
I_CEL_motriz_electricidad,VII,0.13556481085468772,0.0
I_CEL_motriz_electricidad,VIII,0.6672306706129442,0.0
I_CEL_motriz_electricidad,XIII,0.08713088194054722,0.0
I_CEL_motriz_electricidad,X-XIV,0.1002124070954434,0.0
I_CEL_nuevo_calor_electricidad,II-III,0.0,0.0
I_CEL_nuevo_calor_electricidad,IV,0.0,0.0
I_CEL_nuevo_calor_electricidad,SING,0.0,0.0
I_CEL_nuevo_calor_electricidad,V,9.551812819093703e-05,0.0
I_CEL_nuevo_calor_electricidad,VI,0.00976571136818671,0.0
I_CEL_nuevo_calor_electricidad,VII,0.13556481085468772,0.0
I_CEL_nuevo_calor_electricidad,VIII,0.6672306706129442,0.0
I_CEL_nuevo_calor_electricidad,XIII,0.08713088194054722,0.0
I_CEL_nuevo_calor_electricidad,X-XIV,0.1002124070954434,0.0
I_CEL_nuevo_electricidad,II-III,0.0,0.0
I_CEL_nuevo_electricidad,IV,0.0,0.0
I_CEL_nuevo_electricidad,SING,0.0,0.0
I_CEL_nuevo_electricidad,V,9.551812819093703e-05,0.0
I_CEL_nuevo_electricidad,VI,0.00976571136818671,0.0
I_CEL_nuevo_electricidad,VII,0.13556481085468772,0.0
I_CEL_nuevo_electricidad,VIII,0.6672306706129442,0.0
I_CEL_nuevo_electricidad,XIII,0.08713088194054722,0.0
I_CEL_nuevo_electricidad,X-XIV,0.1002124070954434,0.0
I_CEL_nuevo_motriz_electricidad_norm,II-III,0.0,0.0
I_CEL_nuevo_motriz_electricidad_norm,IV,0.0,0.0
I_CEL_nuevo_motriz_electricidad_norm,SING,0.0,0.0
I_CEL_nuevo_motriz_electricidad_norm,V,9.551812819093703e-05,0.0
I_CEL_nuevo_motriz_electricidad_norm,VI,0.00976571136818671,0.0
I_CEL_nuevo_motriz_electricidad_norm,VII,0.13556481085468772,0.0
I_CEL_nuevo_motriz_electricidad_norm,VIII,0.6672306706129442,0.0
I_CEL_nuevo_motriz_electricidad_norm,XIII,0.08713088194054722,0.0
I_CEL_nuevo_motriz_electricidad_norm,X-XIV,0.1002124070954434,0.0
I_CEL_nuevo_motriz_electricidad_prem,II-III,0.0,0.0
I_CEL_nuevo_motriz_electricidad_prem,IV,0.0,0.0
I_CEL_nuevo_motriz_electricidad_prem,SING,0.0,0.0
I_CEL_nuevo_motriz_electricidad_prem,V,9.551812819093703e-05,0.0
I_CEL_nuevo_motriz_electricidad_prem,VI,0.00976571136818671,0.0
I_CEL_nuevo_motriz_electricidad_prem,VII,0.13556481085468772,0.0
I_CEL_nuevo_motriz_electricidad_prem,VIII,0.6672306706129442,0.0
I_CEL_nuevo_motriz_electricidad_prem,XIII,0.08713088194054722,0.0
I_CEL_nuevo_motriz_electricidad_prem,X-XIV,0.1002124070954434,0.0
I_CEM_calor_electricidad,II-III,0.0,0.0
I_CEM_calor_electricidad,IV,0.0,0.0
I_CEM_calor_electricidad,SING,0.1209341826002123,0.0
I_CEM_calor_electricidad,V,0.2820116416315517,0.0
I_CEM_calor_electricidad,VI,0.0,0.0
I_CEM_calor_electricidad,VII,0.1298802045755818,0.0
I_CEM_calor_electricidad,VIII,0.12824406707867697,0.0
I_CEM_calor_electricidad,XIII,0.3077127864191227,0.0
I_CEM_calor_electricidad,X-XIV,0.031217117694854617,0.0
I_CEM_electricidad,II-III,0.0,0.0
I_CEM_electricidad,IV,0.0,0.0
I_CEM_electricidad,SING,0.1209341826002123,0.0
I_CEM_electricidad,V,0.2820116416315517,0.0
I_CEM_electricidad,VI,0.0,0.0
I_CEM_electricidad,VII,0.1298802045755818,0.0
I_CEM_electricidad,VIII,0.12824406707867697,0.0
I_CEM_electricidad,XIII,0.3077127864191227,0.0
I_CEM_electricidad,X-XIV,0.031217117694854617,0.0
I_CEM_motriz_electricidad,II-III,0.0,0.0
I_CEM_motriz_electricidad,IV,0.0,0.0
I_CEM_motriz_electricidad,SING,0.1209341826002123,0.0
I_CEM_motriz_electricidad,V,0.2820116416315517,0.0
I_CEM_motriz_electricidad,VI,0.0,0.0
I_CEM_motriz_electricidad,VII,0.1298802045755818,0.0
I_CEM_motriz_electricidad,VIII,0.12824406707867697,0.0
I_CEM_motriz_electricidad,XIII,0.3077127864191227,0.0
I_CEM_motriz_electricidad,X-XIV,0.031217117694854617,0.0
I_CEM_nuevo_electricidad,II-III,0.0,0.0
I_CEM_nuevo_electricidad,IV,0.0,0.0
I_CEM_nuevo_electricidad,SING,0.1209341826002123,0.0
I_CEM_nuevo_electricidad,V,0.2820116416315517,0.0
I_CEM_nuevo_electricidad,VI,0.0,0.0
I_CEM_nuevo_electricidad,VII,0.1298802045755818,0.0
I_CEM_nuevo_electricidad,VIII,0.12824406707867697,0.0
I_CEM_nuevo_electricidad,XIII,0.3077127864191227,0.0
I_CEM_nuevo_electricidad,X-XIV,0.031217117694854617,0.0
I_CEM_nuevo_motriz_electricidad_norm,II-III,0.0,0.0
I_CEM_nuevo_motriz_electricidad_norm,IV,0.0,0.0
I_CEM_nuevo_motriz_electricidad_norm,SING,0.1209341826002123,0.0
I_CEM_nuevo_motriz_electricidad_norm,V,0.2820116416315517,0.0
I_CEM_nuevo_motriz_electricidad_norm,VI,0.0,0.0
I_CEM_nuevo_motriz_electricidad_norm,VII,0.1298802045755818,0.0
I_CEM_nuevo_motriz_electricidad_norm,VIII,0.12824406707867697,0.0
I_CEM_nuevo_motriz_electricidad_norm,XIII,0.3077127864191227,0.0
I_CEM_nuevo_motriz_electricidad_norm,X-XIV,0.031217117694854617,0.0
I_CEM_nuevo_motriz_electricidad_prem,II-III,0.0,0.0
I_CEM_nuevo_motriz_electricidad_prem,IV,0.0,0.0
I_CEM_nuevo_motriz_electricidad_prem,SING,0.1209341826002123,0.0
I_CEM_nuevo_motriz_electricidad_prem,V,0.2820116416315517,0.0
I_CEM_nuevo_motriz_electricidad_prem,VI,0.0,0.0
I_CEM_nuevo_motriz_electricidad_prem,VII,0.1298802045755818,0.0
I_CEM_nuevo_motriz_electricidad_prem,VIII,0.12824406707867697,0.0
I_CEM_nuevo_motriz_electricidad_prem,XIII,0.3077127864191227,0.0
I_CEM_nuevo_motriz_electricidad_prem,X-XIV,0.031217117694854617,0.0
I_COB_calor_electricidad,II-III,0.11041894282381826,0.0
I_COB_calor_electricidad,IV,0.0793200838559416,0.0
I_COB_calor_electricidad,SING,0.5696432937059425,0.0
I_COB_calor_electricidad,V,0.07288044312205225,0.0
I_COB_calor_electricidad,VI,0.09620629011132595,0.0
I_COB_calor_electricidad,VII,0.0,0.0
I_COB_calor_electricidad,VIII,0.0,0.0
I_COB_calor_electricidad,XIII,0.07153094638091947,0.0
I_COB_calor_electricidad,X-XIV,0.0,0.0
I_COB_electricidad,II-III,0.11041894282381826,0.0
I_COB_electricidad,IV,0.0793200838559416,0.0
I_COB_electricidad,SING,0.5696432937059425,0.0
I_COB_electricidad,V,0.07288044312205225,0.0
I_COB_electricidad,VI,0.09620629011132595,0.0
I_COB_electricidad,VII,0.0,0.0
I_COB_electricidad,VIII,0.0,0.0
I_COB_electricidad,XIII,0.07153094638091947,0.0
I_COB_electricidad,X-XIV,0.0,0.0
I_COB_impuesto_calor_electricidad,II-III,0.11041894282381826,0.0
I_COB_impuesto_calor_electricidad,IV,0.0793200838559416,0.0
I_COB_impuesto_calor_electricidad,SING,0.5696432937059425,0.0
I_COB_impuesto_calor_electricidad,V,0.07288044312205225,0.0
I_COB_impuesto_calor_electricidad,VI,0.09620629011132595,0.0
I_COB_impuesto_calor_electricidad,VII,0.0,0.0
I_COB_impuesto_calor_electricidad,VIII,0.0,0.0
