Proceso,Gas,Factor_emision
ANTILHUE_TG_2,CH4,0.037
ANTILHUE_TG_2,N2O,0.007
CALLECALLE,CO2,771.004
CALLECALLE,CH4,0.031
CALLECALLE,N2O,0.006
CHUYACA,CO2,856.672
CHUYACA,CH4,0.035
CHUYACA,N2O,0.007
TRAPEN,CO2,741.097
TRAPEN,CH4,0.03
TRAPEN,N2O,0.006
QUELLON2,CO2,856.672
QUELLON2,CH4,0.035
QUELLON2,N2O,0.007
CHILOE,CO2,952.125
CHILOE,CH4,0.039
CHILOE,N2O,0.008
DEGAN,CO2,739.217
DEGAN,CH4,0.03
DEGAN,N2O,0.006
YUNGAY_1_DIE,CO2,946.225
YUNGAY_1_DIE,CH4,0.038
YUNGAY_1_DIE,N2O,0.008
YUNGAY_2_DIE,CO2,851.602
YUNGAY_2_DIE,CH4,0.034
YUNGAY_2_DIE,N2O,0.007
YUNGAY_3_DIE,CO2,925.949
YUNGAY_3_DIE,CH4,0.037
YUNGAY_3_DIE,N2O,0.007
YUNGAY_4_DIE,CO2,723.186
YUNGAY_4_DIE,CH4,0.029
YUNGAY_4_DIE,N2O,0.006
YUNGAY_4_CC_DIE,CO2,844.844
YUNGAY_4_CC_DIE,CH4,0.034
YUNGAY_4_CC_DIE,N2O,0.007
San_Lorenzo_3,CO2,976.639
San_Lorenzo_3,CH4,0.04
San_Lorenzo_3,N2O,0.008
LOS_GUINDOS,CO2,825.581
LOS_GUINDOS,CH4,0.033
LOS_GUINDOS,N2O,0.007
DONA_CARMEN,CO2,844.844
DONA_CARMEN,CH4,0.034
DONA_CARMEN,N2O,0.007
CURAUMA,CO2,844.844
CURAUMA,CH4,0.034
CURAUMA,N2O,0.007
CASABLANCA1,CO2,844.844
CASABLANCA1,CH4,0.034
CASABLANCA1,N2O,0.007
CASABLANCA2,CO2,844.844
CASABLANCA2,CH4,0.034
CASABLANCA2,N2O,0.007
CANETE,CO2,844.844
CANETE,CH4,0.034
CANETE,N2O,0.007
LOSSAUCES,CO2,844.844
LOSSAUCES,CH4,0.034
LOSSAUCES,N2O,0.007
CHUFKEN,CO2,844.844
CHUFKEN,CH4,0.034
CHUFKEN,N2O,0.007
CURACAUTIN,CO2,844.844
CURACAUTIN,CH4,0.034
CURACAUTIN,N2O,0.007
QUELLON,CO2,844.844
QUELLON,CH4,0.034
QUELLON,N2O,0.007
PUNITAQUI,CO2,844.844
PUNITAQUI,CH4,0.034
PUNITAQUI,N2O,0.007
SKRETTING,CO2,844.844
SKRETTING,CH4,0.034
SKRETTING,N2O,0.007
MONTEPATRIA,CO2,844.844
MONTEPATRIA,CH4,0.034
MONTEPATRIA,N2O,0.007
GMAR_SING,CO2,846.871
GMAR_SING,CH4,0.034
GMAR_SING,N2O,0.007
M1AR,CO2,866.472
M1AR,CH4,0.035
M1AR,N2O,0.007
M2AR,CO2,863.768
M2AR,CH4,0.035
M2AR,N2O,0.007
TGIQ_SING,CO2,1093.566
TGIQ_SING,CH4,0.044
TGIQ_SING,N2O,0.009
MAIQ,CO2,868.499
MAIQ,CH4,0.035
MAIQ,N2O,0.007
MIIQ,CO2,866.134
MIIQ,CH4,0.035
MIIQ,N2O,0.007
MSIQ,CO2,769.146
MSIQ,CH4,0.031
MSIQ,N2O,0.006
SUIQ,CO2,936.425
SUIQ,CH4,0.038
SUIQ,N2O,0.008
MIMB_SING,CO2,858.699
MIMB_SING,CH4,0.035
MIMB_SING,N2O,0.007
U10_SING,CO2,0.001
U10_SING,CH4,0.0
U10_SING,N2O,0.0
U11_SING,CO2,0.001
U11_SING,CH4,0.0
U11_SING,N2O,0.0
TG1_SING,CO2,1094.308
TG1_SING,CH4,0.044
TG1_SING,N2O,0.009
TG2_SING,CO2,1094.308
TG2_SING,CH4,0.044
TG2_SING,N2O,0.009
TG3_SING,CO2,905.384
TG3_SING,CH4,0.037
TG3_SING,N2O,0.007
CUMMINS,CO2,1013.812
CUMMINS,CH4,0.041
CUMMINS,N2O,0.008
