Offset,ID_Sector,ID_Gas,Agno_ini,Agno_fin,Abatimiento_max,Costo
offset_infraestructura_bicicletas,27,1,2020,2050,0.47,1.0
offset_mejora_tech_aereo,27,1,2020,2050,0.29,90.3
offset_infraestructura_trans_pub,27,1,2020,2050,0.16,261.0
offset_mejora_tech_camiones,27,1,2020,2050,0.11,1.0
offset_subvencion_bici_elec,27,1,2020,2050,0.04,1.0
offset_renovacion_camiones,27,1,2020,2050,0.03,1.0
offset_programa_bici_publica,27,1,2020,2050,0.01,3948.0
offset_conduccion_eficiente,27,1,2020,2050,0.01,1.0
offset_calif_viv_existente,27,1,2020,2050,0.23,202.4
offset_calif_viv_nueva,27,1,2020,2050,0.13,303.4
offset_recambio_aireadores,27,1,2020,2050,0.18,1.0
offset_solar_termico_residencial,27,1,2020,2050,0.29,50.0
offset_mejora_alimen_bovinos,27,1,2020,2050,0.2,25.2
offset_inhibidoresN2_fert,27,1,2020,2050,0.1,1.0
offset_agricultura_organica,27,1,2020,2050,0.1,14.3
offset_secuestro_CO2,27,1,2020,2050,0.04,2.0
offset_biodigestores,27,1,2020,2050,0.1,20.3
offset_mejor_genetico_veg,27,1,2020,2050,0.04,62.2
offset_secuestro_CO2_organico,27,1,2020,2050,0.1,1.0
offset_ERNC_riego,27,1,2020,2050,0.1,1.0
offset_capturaCO2_bosquenativo,27,1,2020,2050,0.01,587.0
offset_fomento_forestacion,27,1,2020,2050,4.4,5.0
offset_captura_biogas,27,1,2020,2050,0.9,9.1
offset_generacion_biogas,27,1,2020,2050,0.28,3.9
offset_termico_biogas,27,1,2020,2050,0.13,6.5
offset_compostaje_planta,27,1,2020,2050,0.11,17.0
offset_compostaje_ferias,27,1,2020,2050,0.06,1.0
offset_compostaje_domiciliario,27,1,2020,2050,0.01,1.0
