Sector,Energetico,GEI,FE
cemento,nafta,CH4,3.0
cemento,gas_refineria,CH4,1.0
cemento,coque_petroleo,CH4,1.0
cemento,derivados_industria_petroleo,CH4,0.0
cemento,electricidad,CH4,0.0
cemento,carbon,CH4,1.0
cemento,coque_mineral,CH4,1.0
cemento,alquitran,CH4,3.0
cemento,gas_corriente,CH4,0.0
cemento,gas_coque,CH4,0.0
cemento,gas_alto_horno,CH4,1.0
cemento,gas_natural,CH4,1.0
cemento,metano,CH4,1.0
cemento,biogas,CH4,1.0
cemento,biomasa,CH4,0.0
cemento,solar,CH4,0.0
cemento,diesel,N2O,0.6
cemento,petroleo_combustible,N2O,0.6
cemento,gasolina,N2O,0.6
cemento,kerenose,N2O,0.6
cemento,gas_licuado,N2O,0.1
cemento,gasolina_aviacion,N2O,0.6
cemento,kerosene_aviacion,N2O,0.6
cemento,nafta,N2O,0.6
cemento,gas_refineria,N2O,0.1
cemento,coque_petroleo,N2O,1.5
cemento,derivados_industria_petroleo,N2O,0.0
cemento,electricidad,N2O,0.0
cemento,carbon,N2O,1.5
cemento,coque_mineral,N2O,1.5
cemento,alquitran,N2O,0.6
cemento,gas_corriente,N2O,0.0
cemento,gas_coque,N2O,0.0
cemento,gas_alto_horno,N2O,0.1
cemento,gas_natural,N2O,0.1
cemento,metano,N2O,0.1
cemento,biogas,N2O,0.1
cemento,biomasa,N2O,0.0
cemento,solar,N2O,0.0
hierro,diesel,CO2,74100.0
hierro,petroleo_combustible,CO2,74100.0
hierro,gasolina,CO2,69300.0
hierro,kerenose,CO2,71900.0
hierro,gas_licuado,CO2,63100.0
hierro,gasolina_aviacion,CO2,70000.0
hierro,kerosene_aviacion,CO2,71500.0
hierro,nafta,CO2,73300.0
hierro,gas_refineria,CO2,57600.0
hierro,coque_petroleo,CO2,107000.0
hierro,derivados_industria_petroleo,CO2,0.0
hierro,electricidad,CO2,0.0
hierro,carbon,CO2,94600.0
hierro,coque_mineral,CO2,107000.0
hierro,alquitran,CO2,80700.0
hierro,gas_corriente,CO2,0.0
hierro,gas_coque,CO2,0.0
hierro,gas_alto_horno,CO2,260000.0
hierro,gas_natural,CO2,56100.0
hierro,metano,CO2,54600.0
hierro,biogas,CO2,54600.0
hierro,biomasa,CO2,0.0
hierro,solar,CO2,0.0
hierro,diesel,CH4,3.0
hierro,petroleo_combustible,CH4,3.0
hierro,gasolina,CH4,3.0
hierro,kerenose,CH4,3.0
hierro,gas_licuado,CH4,1.0
hierro,gasolina_aviacion,CH4,3.0
hierro,kerosene_aviacion,CH4,3.0
hierro,nafta,CH4,3.0
hierro,gas_refineria,CH4,1.0
hierro,coque_petroleo,CH4,1.0
hierro,derivados_industria_petroleo,CH4,0.0
hierro,electricidad,CH4,0.0
hierro,carbon,CH4,1.0
hierro,coque_mineral,CH4,1.0
hierro,alquitran,CH4,3.0
hierro,gas_corriente,CH4,0.0
hierro,gas_coque,CH4,0.0
hierro,gas_alto_horno,CH4,1.0
hierro,gas_natural,CH4,1.0
hierro,metano,CH4,1.0
hierro,biogas,CH4,1.0
hierro,biomasa,CH4,0.0
hierro,solar,CH4,0.0
hierro,diesel,N2O,0.6
hierro,petroleo_combustible,N2O,0.6
hierro,gasolina,N2O,0.6
hierro,kerenose,N2O,0.6
hierro,gas_licuado,N2O,0.1
hierro,gasolina_aviacion,N2O,0.6
hierro,kerosene_aviacion,N2O,0.6
hierro,nafta,N2O,0.6
hierro,gas_refineria,N2O,0.1
hierro,coque_petroleo,N2O,1.5
hierro,derivados_industria_petroleo,N2O,0.0
hierro,electricidad,N2O,0.0
hierro,carbon,N2O,1.5
hierro,coque_mineral,N2O,1.5
hierro,alquitran,N2O,0.6
hierro,gas_corriente,N2O,0.0
hierro,gas_coque,N2O,0.0
hierro,gas_alto_horno,N2O,0.1
hierro,gas_natural,N2O,0.1
hierro,metano,N2O,0.1
hierro,biogas,N2O,0.1
hierro,biomasa,N2O,0.0
hierro,solar,N2O,0.0
pesca,diesel,CO2,74100.0
pesca,petroleo_combustible,CO2,74100.0
pesca,gasolina,CO2,69300.0
pesca,kerenose,CO2,71900.0
pesca,gas_licuado,CO2,63100.0
pesca,gasolina_aviacion,CO2,70000.0
pesca,kerosene_aviacion,CO2,71500.0
pesca,nafta,CO2,73300.0
pesca,gas_refineria,CO2,57600.0
pesca,coque_petroleo,CO2,107000.0
pesca,derivados_industria_petroleo,CO2,0.0
pesca,electricidad,CO2,0.0
pesca,carbon,CO2,94600.0
pesca,coque_mineral,CO2,107000.0
pesca,alquitran,CO2,80700.0
pesca,gas_corriente,CO2,0.0
pesca,gas_coque,CO2,0.0
pesca,gas_alto_horno,CO2,260000.0
pesca,gas_natural,CO2,56100.0
pesca,metano,CO2,54600.0
pesca,biogas,CO2,54600.0
pesca,biomasa,CO2,0.0
pesca,solar,CO2,0.0
pesca,diesel,CH4,3.0
pesca,petroleo_combustible,CH4,3.0
pesca,gasolina,CH4,3.0
pesca,kerenose,CH4,3.0
pesca,gas_licuado,CH4,1.0
pesca,gasolina_aviacion,CH4,3.0
pesca,kerosene_aviacion,CH4,3.0
pesca,nafta,CH4,3.0
pesca,gas_refineria,CH4,1.0
pesca,coque_petroleo,CH4,1.0
pesca,derivados_industria_petroleo,CH4,0.0
pesca,electricidad,CH4,0.0
pesca,carbon,CH4,1.0
pesca,coque_mineral,CH4,1.0
pesca,alquitran,CH4,3.0
pesca,gas_corriente,CH4,0.0
pesca,gas_coque,CH4,0.0
pesca,gas_alto_horno,CH4,1.0
pesca,gas_natural,CH4,1.0
pesca,metano,CH4,1.0
pesca,biogas,CH4,1.0
pesca,biomasa,CH4,0.0
pesca,solar,CH4,0.0
pesca,diesel,N2O,0.6
pesca,petroleo_combustible,N2O,0.6
pesca,gasolina,N2O,0.6
pesca,kerenose,N2O,0.6
pesca,gas_licuado,N2O,0.1
pesca,gasolina_aviacion,N2O,0.6
pesca,kerosene_aviacion,N2O,0.6
