Producto,ID,Tipo
azucar,1,1
celulosa,2,1
diesel,3,2
petroleo_combustible,4,2
gasolina,5,2
kerosene,6,2
gas_licuado,7,2
gasolina_aviacion,8,2
kerosene_aviacion,9,2
nafta,10,2
gas_refineria,11,2
coque_petroleo,12,2
derivados_industria_petroleo,13,2
electricidad,14,2
carbon,15,2
coque_mineral,16,2
alquitran,17,2
gas_corriente,18,2
gas_coque,19,2
gas_alto_horno,20,2
gas_natural,21,2
metano,22,2
biogas,23,2
biomasa,24,2
solar,25,2
calor,26,3
electricidad_motriz,27,3
electricidad_otros,28,3
cemento,29,1
hierro,30,1
pesca,31,1
diesel_motriz,32,3
acero,33,1
petroquimica,34,1
eolica,35,2
hidro,36,2
mineral,37,1
manufactura,38,1
cobre,39,1
calor_calderas,40,3
hidrogeno,41,2
calefaccion_biomasa_XV,42,1
calefaccion_electricidad_XV,43,1
calefaccion_gas_licuado_XV,44,1
calefaccion_gas_natural_XV,45,1
calefaccion_kerosene_XV,46,1
ACS_gas_licuado_XV,47,1
ACS_gas_natural_XV,48,1
coccion_electricidad_XV,49,1
coccion_gas_licuado_XV,50,1
coccion_gas_natural_XV,51,1
coccion_biomasa_XV,52,1
refrigeracion_XV,53,1
iluminacion_XV,54,1
enfriamiento_XV,55,1
XV_solar,56,1
otros_electricos_XV,57,1
calefaccion_biomasa_I,58,1
calefaccion_electricidad_I,59,1
calefaccion_gas_licuado_I,60,1
calefaccion_gas_natural_I,61,1
calefaccion_kerosene_I,62,1
ACS_gas_licuado_I,63,1
ACS_gas_natural_I,64,1
coccion_electricidad_I,65,1
coccion_gas_licuado_I,66,1
coccion_gas_natural_I,67,1
refrigeracion_I,68,1
iluminacion_I,69,1
enfriamiento_I,70,1
I_solar,71,1
otros_electricos_I,72,1
calefaccion_biomasa_II,73,1
calefaccion_electricidad_II,74,1
calefaccion_gas_licuado_II,75,1
calefaccion_gas_natural_II,76,1
calefaccion_kerosene_II,77,1
ACS_gas_licuado_II,78,1
ACS_gas_natural_II,79,1
coccion_electricidad_II,80,1
coccion_gas_licuado_II,81,1
coccion_gas_natural_II,82,1
refrigeracion_II,83,1
iluminacion_II,84,1
enfriamiento_II,85,1
II_solar,86,1
otros_electricos_II,87,1
calefaccion_biomasa_III,88,1
calefaccion_electricidad_III,89,1
calefaccion_gas_licuado_III,90,1
calefaccion_gas_natural_III,91,1
calefaccion_kerosene_III,92,1
ACS_gas_licuado_III,93,1
ACS_gas_natural_III,94,1
coccion_electricidad_III,95,1
coccion_gas_licuado_III,96,1
coccion_gas_natural_III,97,1
refrigeracion_III,98,1
iluminacion_III,99,1
enfriamiento_III,100,1
otros_electricos_III,101,1
III_solar,102,1
calefaccion_biomasa_IV,103,1
calefaccion_electricidad_IV,104,1
calefaccion_gas_licuado_IV,105,1
calefaccion_gas_natural_IV,106,1
calefaccion_kerosene_IV,107,1
ACS_gas_licuado_IV,108,1
ACS_gas_natural_IV,109,1
coccion_electricidad_IV,110,1
coccion_gas_licuado_IV,111,1
coccion_gas_natural_IV,112,1
refrigeracion_IV,113,1
iluminacion_IV,114,1
enfriamiento_IV,115,1
otros_electricos_IV,116,1
IV_solar,117,1
calefaccion_biomasa_V,118,1
calefaccion_electricidad_V,119,1
calefaccion_gas_licuado_V,120,1
calefaccion_gas_natural_V,121,1
calefaccion_kerosene_V,122,1
ACS_gas_licuado_V,123,1
ACS_gas_natural_V,124,1
coccion_electricidad_V,125,1
coccion_gas_licuado_V,126,1
coccion_gas_natural_V,127,1
refrigeracion_V,128,1
iluminacion_V,129,1
enfriamiento_V,130,1
V_solar,131,1
otros_electricos_V,132,1
calefaccion_biomasa_RM,133,1
calefaccion_electricidad_RM,134,1
calefaccion_gas_licuado_RM,135,1
calefaccion_gas_licuado_RM_aux,136,1
calefaccion_gas_natural_RM,137,1
calefaccion_kerosene_RM,138,1
ACS_gas_licuado_RM,139,1
ACS_gas_natural_RM,140,1
coccion_electricidad_RM,141,1
coccion_gas_licuado_RM,142,1
coccion_gas_natural_RM,143,1
refrigeracion_RM,144,1
iluminacion_RM,145,1
enfriamiento_RM,146,1
RM_solar,147,1
otros_electricos_RM,148,1
calefaccion_biomasa_VI,149,1
calefaccion_electricidad_VI,150,1
calefaccion_gas_licuado_VI,151,1
calefaccion_gas_natural_VI,152,1
calefaccion_kerosene_VI,153,1
ACS_gas_licuado_VI,154,1
ACS_gas_natural_VI,155,1
coccion_electricidad_VI,156,1
coccion_gas_licuado_VI,157,1
coccion_gas_natural_VI,158,1
coccion_biomasa_VI,159,1
refrigeracion_VI,160,1
iluminacion_VI,161,1
enfriamiento_VI,162,1
VI_solar,163,1
otros_electricos_VI,164,1
calefaccion_biomasa_VII,165,1
calefaccion_electricidad_VII,166,1
calefaccion_gas_licuado_VII,167,1
calefaccion_gas_natural_VII,168,1
calefaccion_kerosene_VII,169,1
ACS_gas_licuado_VII,170,1
ACS_gas_natural_VII,171,1
coccion_electricidad_VII,172,1
coccion_gas_licuado_VII,173,1
coccion_gas_natural_VII,174,1
coccion_biomasa_VII,175,1
refrigeracion_VII,176,1
iluminacion_VII,177,1
enfriamiento_VII,178,1
otros_electricos_VII,179,1
calefaccion_biomasa_VIII,180,1
calefaccion_electricidad_VIII,181,1
calefaccion_gas_licuado_VIII,182,1
calefaccion_gas_natural_VIII,183,1
calefaccion_kerosene_VIII,184,1
ACS_gas_licuado_VIII,185,1
ACS_gas_natural_VIII,186,1
coccion_electricidad_VIII,187,1
coccion_gas_licuado_VIII,188,1
coccion_gas_natural_VIII,189,1
coccion_biomasa_VIII,190,1
refrigeracion_VIII,191,1
iluminacion_VIII,192,1
enfriamiento_VIII,193,1
otros_electricos_VIII,194,1
calefaccion_biomasa_IX,195,1
calefaccion_electricidad_IX,196,1
calefaccion_gas_licuado_IX,197,1
calefaccion_gas_natural_IX,198,1
calefaccion_kerosene_IX,199,1
ACS_gas_licuado_IX,200,1
ACS_gas_natural_IX,201,1
coccion_electricidad_IX,202,1
coccion_gas_licuado_IX,203,1
coccion_gas_natural_IX,204,1
refrigeracion_IX,205,1
iluminacion_IX,206,1
enfriamiento_IX,207,1
otros_electricos_IX,208,1
calefaccion_biomasa_XIV,209,1
calefaccion_electricidad_XIV,210,1
calefaccion_gas_licuado_XIV,211,1
calefaccion_gas_natural_XIV,212,1
calefaccion_kerosene_XIV,213,1
ACS_gas_licuado_XIV,214,1
ACS_gas_natural_XIV,215,1
coccion_electricidad_XIV,216,1
coccion_gas_licuado_XIV,217,1
coccion_gas_natural_XIV,218,1
coccion_biomasa_XIV,219,1
refrigeracion_XIV,220,1
iluminacion_XIV,221,1
enfriamiento_XIV,222,1
otros_electricos_XIV,223,1
calefaccion_biomasa_X,224,1
calefaccion_electricidad_X,225,1
calefaccion_gas_licuado_X,226,1
calefaccion_gas_natural_X,227,1
calefaccion_kerosene_X,228,1
ACS_gas_licuado_X,229,1
ACS_gas_natural_X,230,1
coccion_electricidad_X,231,1
