sector,output,scale_factor_mt,scale_factor_co2e,subset_keep,agg_by,notes
ippu,Emisiones,0.001,1,Escenario':['Medida'],year,KT_CO2e
forestry,Tierras_a_X_por_gas,1,1,,year,MT_CO2e
forestry,X_perm_como_Tales,1,1,,year,MT_CO2e
forestry,EM_tierras_conv,1,1,,year,MT_CO2e
forestry,EM_TF_que_permanecen,1,1,,year,MT_CO2e
agriculture,E_N2O_SA_2,0.000000001,310,,year,Kg_N2O
agriculture,Emisiones_Totales_CH4,0.001,310,Escenarios':['Descarbonización'];;'PIB':['Escenario WEO IMF 13 OCT'],year,KT_CH4
agriculture,Emisiones_Totales_N2O,0.001,21,Escenarios':['Descarbonización'];;'PIB':['Escenario WEO IMF 13 OCT'],year,KT_N2O
waste,GHG_Emission,0.000001,1,,year,T_CO2e
waste,CO2_Emission,0.000001,1,,year,T_CO2e
