master_id,strategy_id,cement_production,copper_production,cumplimiento_metas,especies_exoticas,especies_nativas,fishing_production,incendio_bosque_nativo,incendio_plantaciones_forestales,iron_production,medida_biodigestores,medida_cambio_dieta_bovina,medida_captura_c_suelos,medida_uso_eficiente_fertilizante,nueva_cap_recuperacion,pib,poblacion,pqe_vehicular,precio_bovino,precio_cerdo,precio_leche,precio_maiz,precio_pollo,ptas_antofa,ptas_biobio,ptas_valpo,ptasls_coq,public_frac_biomass,public_frac_electric,public_frac_natural_gas,public_frac_pliqgas,public_intensity,pulp_frac_biomass,pulp_frac_electric,pulp_intensity,pulp_production,recuperacion_bn,saltpeter_production,steel_production,sugar_production,sustitucion_degradacion,tierras_convertidas_a_bn,tierras_convertidas_a_plantaciones,transport_bus_veh_km,transport_intensity_aviation_kerosene,transport_intensity_bus_diesel,transport_intensity_bus_electric,transport_intensity_pkm_train,transport_intensity_private_diesel,transport_intensity_private_electric,transport_intensity_private_gasoline,transport_intensity_taxi_electric,transport_intensity_taxi_gasoline,transport_intensity_train_electric,transport_occupancy_rate_bus,transport_occupancy_rate_private,transport_occupancy_rate_taxi,transport_occupancy_rate_train,transport_pkm_aviation,transport_tkm_freight_train,transport_train13_pkm,transport_train5_pkm,transport_train8_pkm,transport_trip_distance_private,fuel_price_coal,fuel_price_diesel,fuel_price_fuel_oil,fuel_price_natural_gas,investment_cost_csp_solar,investment_cost_geothermal,investment_cost_natural_gas_cc,investment_cost_pv_solar,investment_cost_wind,co-emissions_total-mtco2e,im-emissions_total-mtco2e,pu-emissions_total-mtco2e,re-emissions_total-mtco2e,tx-emissions_total-mtco2e,ag-emissions_total-mtco2e,fo-emissions_total-mtco2e,ip-emissions_total-mtco2e,wa-emissions_total-mtco2e,el-emissions_total-mtco2e
0,0,4956.645407,9940.92261,1.0,6604014.747,6593289.488,4752.855,0.0,0.0,16000.0,0.0,0.0,0.0,0.0,0.0,510.4844248,21626079.0,9306403.859,2451.674153,1921.392804,3331.987457,157.8074746,1440.987114,0.0,0.0,0.0,0.0,0.02,0.69,0.06,0.07,0.2,0.621354611,0.203039919,4.453744221,6424.329897,0.0,3253.135641,1253.0,1703.7500899999998,0.0,0.0,0.0,2139421604.0,0.375213944,1.79,0.6,0.064949909,9.2,6.21,9.2,6.21,9.2,0.37,30.0,1.1,1.0,100.0,74049630.79,3861920403.0,10321713448.0,1928812635.0,86537415.78,7.0,64.85,767.1410435500002,557.4,9.95,4891.5,6617.5,1733.0,513.5,1121.5,5.553362822910156,16.170395869359282,0.16444135861498554,6.174162970718387,27.798260030566077,10.338088334511216,-61.90282795618752,7.134724388799776,6.738647028634975,5.55
1,0,4993.648726390954,9613.373913349697,1.027677646094331,7703720.913267343,6387344.086298512,4816.662561043299,0.0,0.0,16435.288297654166,0.0,0.0,0.0,0.0,0.0,502.82348878321517,19952360.7997036,10302011.194105158,2799.131932369517,1775.7339734360114,3855.4637530962673,127.54416600529312,1455.3861428796756,0.0,0.0,0.0,0.0,0.02058222370383337,0.6586547966873713,0.061655887034340225,0.07292683058375463,0.21069499020258292,0.5931639706996259,0.2020141727816821,4.398198449331884,6006.149824013586,0.0,3550.646235299449,1205.738291338422,1587.0596541400034,0.0,0.0,0.0,2054825472.6012983,0.3907320573732563,1.7642291409865742,0.5782386172221228,0.06259761635820826,9.228016032429792,6.2293233860792325,8.87031495422774,6.433763088845861,8.81658047971825,0.3880783732797642,30.156116470023488,1.0737789135741485,0.9849354083217712,102.3860800351918,80950990.64881252,3818989290.673112,10456080360.47283,2014777587.8634892,83592414.5769153,7.463411987777571,75.5957250149723,938.0141216284725,579.4666389443274,10.327945879552765,4278.887608107523,5185.642462993893,1732.9999999999998,606.339788921028,921.3292473238594,5.409909381408545,15.898821941330972,0.17035299931671305,5.696322815982644,27.704407511269373,10.55535097439149,-59.769187639959,7.0716122398061,6.7149122700222446,4.18
2,0,5403.867789183236,10847.452438846982,0.842706021579532,5955067.252469513,7551210.368921777,4338.2489577790475,0.0,0.0,15147.669595693827,0.0,0.0,0.0,0.0,0.0,552.9961143987603,22788082.19276126,7918906.749276514,2672.2724982754253,2108.825547783655,3494.7527436594396,142.6748743607296,1262.701684216526,0.0,0.0,0.0,0.0,0.01925522237421673,0.7035954001822873,0.057479061166822464,0.07183919098500266,0.2167448775713257,0.6168355315199149,0.1969868264877079,4.333163013702151,7754.642852130005,0.0,3394.6858775589844,1304.14841235598,1650.329813131531,0.0,0.0,0.0,2235380935.5814857,0.35969197059286745,1.8661854368382669,0.6275355846551921,0.0676799231843976,9.06734955598143,5.968917286196881,9.397820015199578,5.9803660301189945,9.055771705544434,0.36863730605194667,31.078932669443766,1.0960650692450402,1.0312686347742868,104.72937987040049,77337987.65444815,3779387050.139383,10361016411.915407,1853066802.3354607,87131186.02776256,7.168810774433607,58.85594251700161,722.535499798449,408.4621766634672,10.855905495664771,6363.508752402484,6961.193427532484,1733.0,411.34580003321236,1214.9654539454946,6.377982453068134,17.05460715227784,0.1842804003672088,6.505910444895427,29.816857680300284,10.504466557895284,-63.161910227359506,7.485956246827255,6.87760064429155,8.68
3,0,4804.843522399515,11359.058415043704,0.8525054965021857,5527153.737016043,7698711.910519544,5211.004529292649,0.0,0.0,17543.58357619606,0.0,0.0,0.0,0.0,0.0,514.1656165449351,24244624.61670289,10748552.446401753,2866.630123412093,1566.124407850018,3442.800716794046,185.5447794206987,1625.5936317463666,0.0,0.0,0.0,0.0,0.019882299623702075,0.6836715608199521,0.05882719448624656,0.07003739027173518,0.2067358819906823,0.611307640413822,0.21137668445014596,4.25647054738161,8611.915388845557,0.0,3163.818826124312,1287.9429179632375,1676.1382723579345,0.0,0.0,0.0,2108276841.0682926,0.37660533994621065,1.8313595296864733,0.6124706212377987,0.06539927940150474,9.62345000137898,5.943373634814641,9.301065479165997,5.908756239832273,9.450847242781052,0.3782374078877365,30.625287682619852,1.0884965829011566,1.002503098899281,100.55986347732129,68969399.83596465,3699854687.2779436,9876196284.16623,1851127602.4003966,88226516.63933961,6.599936118186972,62.92088664549864,672.4334376952232,649.6454890893027,9.455073719600897,3936.7971031076618,7484.230651240624,1733.0,694.4921668558542,1061.7043327345466,5.6228574112120295,17.4098814060785,0.19046730769222325,6.921747744813771,28.032009322129337,10.645823534360725,-63.99214429936582,7.1665039536822475,6.749798322312574,4.67
4,0,4523.0349945026865,9074.915750895103,0.9959997510296412,7301030.545399077,6918553.954014875,4497.9838141159935,0.0,0.0,15857.924803516711,0.0,0.0,0.0,0.0,0.0,595.8372414327961,21427956.58810332,9701417.216655198,2196.4785648640113,2026.1902228246915,3686.081458158801,155.88357536449223,1726.8999393625918,0.0,0.0,0.0,0.0,0.01913187024571817,0.6927219362668798,0.06058703077242952,0.06894217425639634,0.21311730648270036,0.6010183419581888,0.20697643300563265,4.471421445067028,7007.873916139614,0.0,2941.8642746232977,1267.8574034289536,1802.9690208397906,0.0,0.0,0.0,1982678322.7434773,0.4059893414819308,1.859812728025462,0.5878815602509442,0.06621470669176516,8.935999211492733,6.277603049557978,9.179011255271396,6.5014719394434275,9.623782034660005,0.3575642315103341,29.324411524697968,1.1410972716903278,1.015175943579922,97.78924401540505,70580783.77750002,3930821412.634093,9983883250.253242,1884123599.1801946,82775337.49459782,7.666259795946045,69.592114932119,600.3481024381769,614.5478869494211,11.607829976355607,5374.735575343189,7334.329388683653,1733.0,488.12695877103226,929.3308217236347,7.257229732600986,16.21892022918838,0.1727484651578754,6.117599778694447,33.59099714218033,10.02047025996658,-60.55048398092339,7.839049969075974,7.0151451518872365,6.05
5,0,5124.266428988946,9995.115103714495,1.0175796425539378,5719107.777173253,6071895.349895304,4418.797331075328,0.0,0.0,16719.892745986723,0.0,0.0,0.0,0.0,0.0,425.03927245362803,18951623.032352507,8775412.733674899,1966.770307332554,2182.979541098403,2973.791341546733,136.4042339356603,1575.4061738962052,0.0,0.0,0.0,0.0,0.02016173386999576,0.6642112186437689,0.06279716698510414,0.06820542115779507,0.19594406514340726,0.6451582533269319,0.20855176054835348,4.676296379670816,7155.8137816946155,0.0,3047.791711246468,1330.3736832368077,1757.3837934620135,0.0,0.0,0.0,2301919991.7223487,0.38802601675218695,1.814091484043881,0.6065465435003983,0.06338446657641872,8.765365378150243,6.462162886372077,9.01332367873553,6.223172407960282,9.561450959986708,0.37637882753280144,30.386764711150178,1.1468216148644437,0.9953846405534564,98.56348855011028,75443293.02873474,3537556090.2898345,10559872260.497131,1965313258.9989786,85254941.97954705,6.875174348715568,56.99630360081111,770.6160228379604,703.2966521193347,10.4535404278124,6692.247691559427,6200.868822451999,1733.0,671.80021984172,1169.114871713985,4.044501125778696,16.02622250128324,0.1462736196992792,5.410616004933885,23.34043782971322,10.043008123349255,-63.619716744164855,6.422644753633969,6.435411168728911,9.78
6,0,5305.923473092089,12774.7252675509,0.8826579121219642,6462245.643595185,5972189.651705341,4990.283520474809,0.0,0.0,14512.175500263898,0.0,0.0,0.0,0.0,0.0,443.91666704258364,21711752.336693007,7589469.51353374,2621.9848181057173,1951.8347628579975,3330.349345401289,179.78739482106255,1433.4209270473957,0.0,0.0,0.0,0.0,0.02091817317654257,0.7123245790938386,0.0606090979981797,0.06705173887654346,0.18449814644804705,0.6479139662056911,0.20423269373107744,4.422395119728207,5214.381467527639,0.0,3331.3818805944898,1230.1416507397482,1813.7545505195653,0.0,0.0,0.0,2344843179.5968237,0.4045719112308777,1.7833224868196975,0.604674510544455,0.0664652117837586,8.91304576995673,6.037318460220879,9.213992234711425,6.106110697910756,8.858790835125774,0.3518507501435595,29.82864400319214,1.1212434886894984,0.9574157804975614,101.90334732076451,79371337.10657127,3940644558.3600187,10162752613.27447,1978343198.5714538,84218803.24039699,6.479387396183075,53.597019752899314,617.6480967715803,670.8503956110403,9.562060323445934,5250.843987892417,5653.219491863295,1733.0,463.7438719672081,1107.3757686864303,4.3604297695932415,16.931335372594184,0.1462313601883488,6.198622381182388,24.665459678413626,10.069487463573397,-62.177887134628584,6.573712640907337,6.509139944307032,6.35
7,0,4950.929924744776,8259.992744918318,0.9125521968668012,7586024.078468518,6625010.136391172,4645.894755421627,0.0,0.0,16123.852681149248,0.0,0.0,0.0,0.0,0.0,585.6163885480623,17986882.87279288,8500628.668664947,2539.2585270937225,2230.2639675577125,2910.3539762795062,159.32794398738,1205.4661848670974,0.0,0.0,0.0,0.0,0.019624129947933416,0.6700672231729679,0.05797893182192205,0.0672268156455473,0.18306286482685646,0.6372577196838761,0.1969097424763335,4.278231667381831,5751.504107932673,0.0,3461.5404066127285,1145.6627539613166,1709.5989365767216,0.0,0.0,0.0,2168395193.723028,0.3713759148698991,1.741733686351577,0.5965468753112161,0.0639556335305613,9.149537442666832,6.432722216028467,9.082626386184328,6.204892361275627,9.216753427276958,0.38337114790200455,29.079932547287694,1.1045917041492022,0.9645392991691452,103.80690228331709,75759891.20869985,4114366695.616146,10016559266.708513,1905364681.1548321,86218256.57357827,6.807974857465288,67.10381561296707,839.309085056992,503.09212637194196,8.766231883197483,3592.399158395972,6451.283520234879,1733.0,553.5252259540445,1306.4586442334505,7.04311709961936,15.374084364105927,0.12399394181178335,5.1351863734450705,32.00547624583065,10.823918823350894,-59.99754201271989,7.754471079864889,6.979826016132496,4.08
8,0,4723.847143596444,13747.451868132908,0.8085626516716342,6173330.4256904535,7337702.756563711,4737.932878755562,0.0,0.0,14823.488248183818,0.0,0.0,0.0,0.0,0.0,536.6344123435453,23729386.52945221,9449196.910391878,2125.995359748172,1656.3897357105475,3079.640232857996,168.51928026820747,1280.7508188439904,0.0,0.0,0.0,0.0,0.0194423584792468,0.7226895187361112,0.059823395721351084,0.06987887053607296,0.2037050002146556,0.6300390482350452,0.2099748899122158,4.544906544838902,8166.133608513697,0.0,3270.5777640459114,1160.3573888337198,1550.9420128093507,0.0,0.0,0.0,2218061838.15763,0.3653237114109155,1.7101897708253282,0.6180045931706779,0.06444232526509842,9.435537800908929,6.141221661802814,8.81264348633719,6.076913419733487,8.940025756326834,0.3625048786628421,31.44984216569859,1.0610475626120088,0.9776409987390008,95.80826770629702,73177128.90817682,3611480342.4340296,10789531761.129707,1996775484.5952823,89809045.29096314,7.085653172776501,72.22759064931401,890.753933147825,544.7299305964757,8.173763748607497,4795.655833751418,6780.090851165736,1733.0,306.64171483073903,1235.7211031183047,6.0549076682535325,18.38292464803811,0.1771578415692016,6.774649238449907,29.031154062790783,10.500808915426301,-62.738437921559076,7.351971314154255,6.827238698276925,8.57
9,0,5157.478672566501,12607.51909178066,0.9587936182677936,6934166.608228908,5548289.057139711,5119.106034912311,0.0,0.0,15486.658396224353,0.0,0.0,0.0,0.0,0.0,455.962018283936,25307011.36126955,11143298.854132678,2413.1353611728327,1852.2151731011593,3965.772736715755,171.937322862342,1536.1014042101756,0.0,0.0,0.0,0.0,0.02064790198286809,0.6812927774636526,0.06218995848743696,0.07091675444882019,0.19674112182953105,0.6088242415345066,0.1930844522137604,4.5238973394988475,6553.912631445939,0.0,3199.9354033019013,1357.9933923550325,1620.4832495689982,0.0,0.0,0.0,1945417463.3849301,0.3406810855771204,1.7904156960804591,0.5929796377117499,0.06223685182427555,9.380421842587939,6.391984582732705,9.602818851724404,6.3633216435969615,9.307816211328355,0.3702614599254905,29.421286035578923,1.047771462512316,1.0291036281855983,99.02867730739773,66797698.4107269,4023213018.0979095,10661616395.081469,1916346714.6108718,90673409.15121298,7.400508255244452,60.7042729808161,752.6526835948048,435.13326866595565,11.438797441623334,3208.6802821417314,6003.5295113554175,1733.0,558.1169162694371,1004.0215649868378,4.567238404955986,17.429757409508973,0.1948985536259445,7.225055103437843,24.163237182331706,9.602113013733911,-61.26227019339271,6.678583754305785,6.552192100233643,3.22
