field,BAU_nominal,BAU_min,BAU_max,LTS_nominal,LTS_min,LTS_max
cement_frac_biomass,-0.30487804878048774,-0.30487804878048774,-0.30487804878048774,-0.30487804878048774,-0.30487804878048774,-0.30487804878048774
cement_frac_coal,-0.36720381492159493,-0.36720381492159493,-0.36720381492159493,-0.36720381492159493,-0.36720381492159493,-0.36720381492159493
cement_frac_diesel,-0.01131217300508569,-0.01131217300508569,-0.01131217300508569,-0.01131217300508569,-0.01131217300508569,-0.01131217300508569
cement_frac_electric,-0.18733290382006218,-0.18733290382006218,-0.18733290382006218,-0.18733290382006218,-0.18733290382006218,-0.18733290382006218
cement_frac_hydrogen,,,,,,
cement_frac_kerosene,-0.30570574114388105,-0.30570574114388105,-0.30570574114388105,-0.30570574114388105,-0.30570574114388105,-0.30570574114388105
cement_frac_natural_gas,-0.3119100171025103,-0.3119100171025103,-0.3119100171025103,-0.3119100171025103,-0.3119100171025103,-0.3119100171025103
cement_frac_thermal_solar,,,,,,
cement_intensity,-0.1996260970018744,-0.1996260970018744,-0.1996260970018744,-0.1996260970018744,-0.1996260970018744,-0.1996260970018744
cement_production,0.24059548012502452,0.11765881260446864,0.36322316252598497,0.24059548012502452,0.11765881260446864,0.36322316252598497
commercial_elasticity,0.44768232230317095,0.44768232230317095,0.7365203411712897,0.44768232230317095,0.44768232230317095,0.7365203411712897
commercial_frac_biomass,0.33155420242709654,0.33155420242709654,0.33155420242709654,0.33155420242709654,0.33155420242709654,0.33155420242709654
commercial_frac_diesel,-0.5927808446336545,-0.5927808446336545,-0.5927808446336545,-0.5927808446336545,-0.5927808446336545,-0.5927808446336545
commercial_frac_electric,0.44609455466337744,0.44609455466337744,0.44609455466337744,0.44609455466337744,0.44609455466337744,0.44609455466337744
commercial_frac_kerosene,0.331554729383448,0.331554729383448,0.331554729383448,0.331554729383448,0.331554729383448,0.331554729383448
commercial_frac_natural_gas,-0.11295953081510801,-0.11295953081510801,-0.11295953081510801,-0.11295953081510801,-0.11295953081510801,-0.11295953081510801
commercial_frac_pliqgas,-0.16633714908338815,-0.16633714908338815,-0.16633714908338815,-0.16633714908338815,-0.16633714908338815,-0.16633714908338815
copper_heat_diesel,0.7199586188954474,0.7199586188954474,0.7199586188954474,0.7199586188954474,0.7199586188954474,0.7199586188954474
copper_heat_electricitiy,-0.45288050053579176,-0.45288050053579176,-0.45288050053579176,-0.45288050053579176,-0.45288050053579176,-0.45288050053579176
copper_heat_natural_gas,1.1160778265338003,1.1160778265338003,1.1160778265338003,1.1160778265338003,1.1160778265338003,1.1160778265338003
copper_heat_plqgas,1.0454031567179576,1.0454031567179576,1.0454031567179576,1.0454031567179576,1.0454031567179576,1.0454031567179576
copper_heat_solar,154.27166719070854,154.27166719070854,154.27166719070854,154.27166719070854,154.27166719070854,154.27166719070854
copper_intensity_useful_energy,0.6087167034362717,0.45013679873952084,0.6887173515412726,0.6087167034362717,0.45013679873952084,0.6887173515412726
copper_motor_diesel,-0.009382690567807384,-0.009382690567807384,-0.009382690567807384,-0.009382690567807384,-0.009382690567807384,-0.009382690567807384
copper_motor_electricitiy,0.0006611991701244158,0.0006611991701244158,0.0006611991701244158,0.0006611991701244158,0.0006611991701244158,0.0006611991701244158
copper_open_pit_mine_diesel,-0.9685311499729932,-0.9685311499729932,-0.9685311499729932,-0.9685311499729932,-0.9685311499729932,-0.9685311499729932
copper_open_pit_mine_electricitiy,2.8923356110662968,2.8923356110662968,2.8923356110662968,2.8923356110662968,2.8923356110662968,2.8923356110662968
copper_open_pit_mine_hydrogen,,,,,,
copper_other_diesel,-0.9469374838562875,-0.9469374838562875,-0.9469374838562875,-0.9469374838562875,-0.9469374838562875,-0.9469374838562875
copper_other_electricity,0.10053816131738302,0.10053816131738302,0.10053816131738302,0.10053816131738302,0.10053816131738302,0.10053816131738302
copper_other_natural_gas,-0.8437091262712655,-0.8437091262712655,-0.8437091262712655,-0.8437091262712655,-0.8437091262712655,-0.8437091262712655
copper_share_heat,-0.7390028251741103,-0.7390028251741103,-0.7390028251741103,-0.7390028251741103,-0.7390028251741103,-0.7390028251741103
copper_share_motor,0.24969749499565874,0.24969749499565874,0.24969749499565874,0.24969749499565874,0.24969749499565874,0.24969749499565874
copper_share_open_pit_mine,-0.2209113091799062,-0.2209113091799062,-0.2209113091799062,-0.2209113091799062,-0.2209113091799062,-0.2209113091799062
copper_share_other,0.833231320944513,0.833231320944513,0.833231320944513,0.833231320944513,0.833231320944513,0.833231320944513
copper_share_subt_mine,-0.16505388434353951,-0.16505388434353951,-0.16505388434353951,-0.16505388434353951,-0.16505388434353951,-0.16505388434353951
copper_subt_mine_diesel,-0.5347653214193611,-0.5347653214193611,-0.5347653214193611,-0.5347653214193611,-0.5347653214193611,-0.5347653214193611
copper_subt_mine_electricitiy,0.04785930628134971,0.04785930628134971,0.04785930628134971,0.04785930628134971,0.04785930628134971,0.04785930628134971
copper_subt_mine_hydrogen,,,,,,
cumplimiento_metas,,,,,,
ef_captura,,,,,,
elast_res_ind_pib,0.0,-0.9853117978809139,0.9992809180026008,0.0,-0.9853117978809139,0.9992809180026008
fishing_frac_biomass,-0.4057912023924608,-0.4057912023924608,-0.4057912023924608,-0.4057912023924608,-0.4057912023924608,-0.4057912023924608
fishing_frac_coal,-0.48144986158564895,-0.48144986158564895,-0.48144986158564895,-0.48144986158564895,-0.48144986158564895,-0.48144986158564895
fishing_frac_diesel,0.006580827578281712,0.006580827578281712,0.006580827578281712,0.006580827578281712,0.006580827578281712,0.006580827578281712
