field,BAU_base
saltpeter_production,2768.66
steel_frac_biomass,0.0
steel_frac_coal,0.894142597
steel_frac_diesel,0.011825981999999999
steel_frac_electric,0.082267391
steel_frac_hydrogen,0.0
steel_frac_kerosene,0.000162199
steel_frac_natural_gas,0.011601832
steel_frac_thermal_solar,0.0
steel_intensity,5.1096500030000005
steel_production,1253.0
sugar_frac_biomass,0.0
sugar_frac_coal,0.948890473
sugar_frac_diesel,0.008536119
sugar_frac_electric,0.024168132999999998
sugar_frac_hydrogen,0.0
sugar_frac_natural_gas,0.015801089
sugar_frac_thermal_solar,0.0
sugar_intensity,0.6836299159999999
sugar_production,1325.44554
supuestos_mma_waste,0.0
sustitucion_degradacion,0.0
tasa_fuga,0.15
tierras_convertidas_a_bn,0.0
tierras_convertidas_a_plantaciones,0.0
transport_bus_investment_cost_electric,575000.0
transport_bus_veh_km,2073963484.0
transport_frac_bus_diesel,1.0
transport_frac_bus_electric,0.0
transport_frac_private_electric,0.0
transport_frac_private_gasoline,1.0
transport_frac_taxi_electric,0.0
transport_frac_taxi_gasoline,1.0
transport_frac_truck_diesel,1.0
transport_frac_truck_hydrogen,0.0
transport_fuel_price_diesel,108055.0459
transport_fuel_price_gasoline,127537.2773
transport_fuel_price_hydrogen,172907.9498
transport_intensity_aviation_kerosene,0.37521394399999997
transport_intensity_bus_diesel,1.79
transport_intensity_bus_electric,0.6
transport_intensity_pkm_train,0.064949909
transport_intensity_private_diesel,9.2
transport_intensity_private_electric,6.21
transport_intensity_private_gasoline,9.2
transport_intensity_taxi_electric,6.21
transport_intensity_taxi_gasoline,9.2
transport_intensity_train_electric,0.37
transport_modal_split_private_to_taxi,0.053800492000000005
transport_occupancy_rate_bus,30.0
transport_occupancy_rate_private,1.1
transport_occupancy_rate_taxi,1.0
transport_occupancy_rate_train,100.0
transport_pkm_aviation,11252433.1
transport_private_investment_cost_electric,47882.61538
transport_saturation_aviation,17000.0
transport_tkm_freight_train,4085725000.0
transport_tkm_maritime,16269710.07
transport_train13_pkm,6024200000.0
transport_train5_pkm,373455400.0
transport_train8_pkm,21095000.0
transport_trip_distance_private,7.0
var_demanda_legna,1.0
copper_production,5504.0
fuel_price_coal,64.1
fuel_price_diesel,571.6
fuel_price_fuel_oil,395.7
fuel_price_natural_gas,8.0
investment_cost_csp_solar,7332.0
investment_cost_geothermal,5660.0
investment_cost_natural_gas_cc,2222.0
investment_cost_pv_solar,970.0
investment_cost_wind,1365.0
iron_production,9549.0
pulp_production,5193.0
gr_pib,0.01711089309216307
