flujo,agnos,producto,flujo
2           ,2035        ,calor       ,      444.41
2           ,2036        ,calor       ,      444.41
2           ,2037        ,calor       ,      444.41
2           ,2038        ,calor       ,      444.41
2           ,2039        ,calor       ,      444.41
2           ,2040        ,calor       ,      444.41
2           ,2041        ,calor       ,      444.41
2           ,2042        ,calor       ,      444.41
2           ,2043        ,calor       ,      444.41
2           ,2044        ,calor       ,      444.41
2           ,2045        ,calor       ,      444.41
2           ,2046        ,calor       ,      444.41
2           ,2047        ,calor       ,      444.41
2           ,2048        ,calor       ,      444.41
2           ,2049        ,calor       ,      444.41
2           ,2050        ,calor       ,      444.41
3           ,2017        ,electricidad,       19.57
3           ,2018        ,electricidad,       19.57
3           ,2019        ,electricidad,       19.57
3           ,2020        ,electricidad,       19.57
3           ,2021        ,electricidad,       19.57
3           ,2022        ,electricidad,       19.57
3           ,2023        ,electricidad,       19.57
3           ,2024        ,electricidad,       19.57
3           ,2025        ,electricidad,       19.57
3           ,2026        ,electricidad,       19.57
3           ,2027        ,electricidad,       19.57
3           ,2028        ,electricidad,       19.57
3           ,2029        ,electricidad,       19.57
3           ,2030        ,electricidad,       19.57
3           ,2031        ,electricidad,       19.57
3           ,2032        ,electricidad,       19.57
3           ,2033        ,electricidad,       19.57
3           ,2034        ,electricidad,       19.57
3           ,2035        ,electricidad,       19.57
3           ,2036        ,electricidad,       19.57
3           ,2037        ,electricidad,       19.57
3           ,2038        ,electricidad,       19.57
3           ,2039        ,electricidad,       19.57
3           ,2040        ,electricidad,       19.57
3           ,2041        ,electricidad,       19.57
3           ,2042        ,electricidad,       19.57
3           ,2043        ,electricidad,       19.57
3           ,2044        ,electricidad,       19.57
3           ,2045        ,electricidad,       19.57
3           ,2046        ,electricidad,       19.57
3           ,2047        ,electricidad,       19.57
3           ,2048        ,electricidad,       19.57
3           ,2049        ,electricidad,       19.57
3           ,2050        ,electricidad,       19.57
4           ,2017        ,electricidad,        2.35
4           ,2018        ,electricidad,        2.35
4           ,2019        ,electricidad,        2.35
4           ,2020        ,electricidad,        2.35
4           ,2021        ,electricidad,        2.35
4           ,2022        ,electricidad,        2.35
4           ,2023        ,electricidad,        2.35
4           ,2024        ,electricidad,        2.35
4           ,2025        ,electricidad,        2.35
4           ,2026        ,electricidad,        2.35
4           ,2027        ,electricidad,        2.35
4           ,2028        ,electricidad,        2.35
4           ,2029        ,electricidad,        2.35
4           ,2030        ,electricidad,        2.35
4           ,2031        ,electricidad,        2.35
4           ,2032        ,electricidad,        2.35
4           ,2033        ,electricidad,        2.35
4           ,2034        ,electricidad,        2.35
4           ,2035        ,electricidad,        2.35
4           ,2036        ,electricidad,        2.35
4           ,2037        ,electricidad,        2.35
4           ,2038        ,electricidad,        2.35
4           ,2039        ,electricidad,        2.35
4           ,2040        ,electricidad,        2.35
4           ,2041        ,electricidad,        2.35
4           ,2042        ,electricidad,        2.35
4           ,2043        ,electricidad,        2.35
4           ,2044        ,electricidad,        2.35
4           ,2045        ,electricidad,        2.35
4           ,2046        ,electricidad,        2.35
4           ,2047        ,electricidad,        2.35
4           ,2048        ,electricidad,        2.35
4           ,2049        ,electricidad,        2.35
4           ,2050        ,electricidad,        2.35
5           ,2017        ,calor_calder,        4.05
5           ,2018        ,calor_calder,        4.05
5           ,2019        ,calor_calder,        4.05
5           ,2020        ,calor_calder,        4.05
5           ,2021        ,calor_calder,        4.05
5           ,2022        ,calor_calder,        4.05
5           ,2023        ,calor_calder,        4.05
5           ,2024        ,calor_calder,        4.05
5           ,2025        ,calor_calder,        4.05
5           ,2026        ,calor_calder,        4.05
5           ,2027        ,calor_calder,        4.05
5           ,2028        ,calor_calder,        4.05
5           ,2029        ,calor_calder,        4.05
5           ,2030        ,calor_calder,        4.05
5           ,2031        ,calor_calder,        4.05
5           ,2032        ,calor_calder,        4.05
5           ,2033        ,calor_calder,        4.05
5           ,2034        ,calor_calder,        4.05
5           ,2035        ,calor_calder,        4.05
5           ,2036        ,calor_calder,        4.05
5           ,2037        ,calor_calder,        4.05
5           ,2038        ,calor_calder,        4.05
5           ,2039        ,calor_calder,        4.05
5           ,2040        ,calor_calder,        4.05
5           ,2041        ,calor_calder,        4.05
5           ,2042        ,calor_calder,        4.05
5           ,2043        ,calor_calder,        4.05
5           ,2044        ,calor_calder,        4.05
5           ,2045        ,calor_calder,        4.05
5           ,2046        ,calor_calder,        4.05
5           ,2047        ,calor_calder,        4.05
5           ,2048        ,calor_calder,        4.05
5           ,2049        ,calor_calder,        4.05
5           ,2050        ,calor_calder,        4.05
6           ,2017        ,calor_calder,        0.00
6           ,2018        ,calor_calder,        0.00
6           ,2019        ,calor_calder,        0.00
6           ,2020        ,calor_calder,        0.00
6           ,2021        ,calor_calder,        0.00
6           ,2022        ,calor_calder,        0.00
6           ,2023        ,calor_calder,        0.00
6           ,2024        ,calor_calder,        0.00
6           ,2025        ,calor_calder,        4.05
6           ,2026        ,calor_calder,        4.05
6           ,2027        ,calor_calder,        4.05
6           ,2028        ,calor_calder,        4.05
6           ,2029        ,calor_calder,        4.05
6           ,2030        ,calor_calder,        4.05
6           ,2031        ,calor_calder,        4.05
6           ,2032        ,calor_calder,        4.05
6           ,2033        ,calor_calder,        4.05
6           ,2034        ,calor_calder,        4.05
6           ,2035        ,calor_calder,        4.05
6           ,2036        ,calor_calder,        4.05
6           ,2037        ,calor_calder,        4.05
6           ,2038        ,calor_calder,        4.05
6           ,2039        ,calor_calder,        4.05
6           ,2040        ,calor_calder,        4.05
6           ,2041        ,calor_calder,        4.05
6           ,2042        ,calor_calder,        4.05
6           ,2043        ,calor_calder,        4.05
6           ,2044        ,calor_calder,        4.05
6           ,2045        ,calor_calder,        4.05
6           ,2046        ,calor_calder,        4.05
6           ,2047        ,calor_calder,        4.05
6           ,2048        ,calor_calder,        4.05
6           ,2049        ,calor_calder,        4.05
6           ,2050        ,calor_calder,        4.05
7           ,2017        ,calor_calder,        0.00
7           ,2018        ,calor_calder,        0.00
7           ,2019        ,calor_calder,        0.00
7           ,2020        ,calor_calder,        0.00
7           ,2021        ,calor_calder,        0.00
7           ,2022        ,calor_calder,        0.00
7           ,2023        ,calor_calder,        0.00
7           ,2024        ,calor_calder,        0.00
7           ,2025        ,calor_calder,        3.44
7           ,2026        ,calor_calder,        3.44
7           ,2027        ,calor_calder,        3.44
7           ,2028        ,calor_calder,        3.44
7           ,2029        ,calor_calder,        3.44
7           ,2030        ,calor_calder,        3.44
7           ,2031        ,calor_calder,        3.44
7           ,2032        ,calor_calder,        3.44
7           ,2033        ,calor_calder,        3.44
7           ,2034        ,calor_calder,        3.44
7           ,2035        ,calor_calder,        3.44
7           ,2036        ,calor_calder,        3.44
7           ,2037        ,calor_calder,        3.44
7           ,2038        ,calor_calder,        3.44
7           ,2039        ,calor_calder,        3.44
7           ,2040        ,calor_calder,        3.44
7           ,2041        ,calor_calder,        3.44
7           ,2042        ,calor_calder,        3.44
7           ,2043        ,calor_calder,        3.44
7           ,2044        ,calor_calder,        3.44
7           ,2045        ,calor_calder,        3.44
7           ,2046        ,calor_calder,        3.44
7           ,2047        ,calor_calder,        3.44
7           ,2048        ,calor_calder,        3.44
7           ,2049        ,calor_calder,        3.44
7           ,2050        ,calor_calder,        3.44
8           ,2017        ,calor_calder,        4.05
8           ,2018        ,calor_calder,        4.05
8           ,2019        ,calor_calder,        4.05
8           ,2020        ,calor_calder,        4.05
8           ,2021        ,calor_calder,        4.05
8           ,2022        ,calor_calder,        4.05
8           ,2023        ,calor_calder,        4.05
8           ,2024        ,calor_calder,        4.05
8           ,2025        ,calor_calder,        0.00
8           ,2026        ,calor_calder,        0.00
8           ,2027        ,calor_calder,        0.00
8           ,2028        ,calor_calder,        0.00
8           ,2029        ,calor_calder,        0.00
8           ,2030        ,calor_calder,        0.00
8           ,2031        ,calor_calder,        0.00
8           ,2032        ,calor_calder,        0.00
8           ,2033        ,calor_calder,        0.00
8           ,2034        ,calor_calder,        0.00
8           ,2035        ,calor_calder,        0.00
8           ,2036        ,calor_calder,        0.00
8           ,2037        ,calor_calder,        0.00
8           ,2038        ,calor_calder,        0.00
8           ,2039        ,calor_calder,        0.00
8           ,2040        ,calor_calder,        0.00
8           ,2041        ,calor_calder,        0.00
8           ,2042        ,calor_calder,        0.00
8           ,2043        ,calor_calder,        0.00
8           ,2044        ,calor_calder,        0.00
8           ,2045        ,calor_calder,        0.00
8           ,2046        ,calor_calder,        0.00
8           ,2047        ,calor_calder,        0.00
8           ,2048        ,calor_calder,        0.00
8           ,2049        ,calor_calder,        0.00
8           ,2050        ,calor_calder,        0.00
9           ,2017        ,calor_calder,        4.05
9           ,2018        ,calor_calder,        4.05
9           ,2019        ,calor_calder,        4.05
9           ,2020        ,calor_calder,        4.05
9           ,2021        ,calor_calder,        4.05
9           ,2022        ,calor_calder,        4.05
9           ,2023        ,calor_calder,        4.05
9           ,2024        ,calor_calder,        4.05
9           ,2025        ,calor_calder,        0.00
9           ,2026        ,calor_calder,        0.00
9           ,2027        ,calor_calder,        0.00
9           ,2028        ,calor_calder,        0.00
9           ,2029        ,calor_calder,        0.00
9           ,2030        ,calor_calder,        0.00
9           ,2031        ,calor_calder,        0.00
9           ,2032        ,calor_calder,        0.00
9           ,2033        ,calor_calder,        0.00
9           ,2034        ,calor_calder,        0.00
9           ,2035        ,calor_calder,        0.00
9           ,2036        ,calor_calder,        0.00
9           ,2037        ,calor_calder,        0.00
9           ,2038        ,calor_calder,        0.00
9           ,2039        ,calor_calder,        0.00
9           ,2040        ,calor_calder,        0.00
9           ,2041        ,calor_calder,        0.00
9           ,2042        ,calor_calder,        0.00
9           ,2043        ,calor_calder,        0.00
9           ,2044        ,calor_calder,        0.00
