Escenario,agno,emission,CAPEX,OPEX
4,2033,21.96,1538.74,1284.47
4,2034,20.43,1912.36,1353.85
4,2035,19.71,1601.77,1191.64
4,2036,19.01,1608.09,1156.85
4,2037,18.08,1392.08,1077.43
4,2038,16.44,1598.16,1146.32
4,2039,14.85,1260.88,1105.34
4,2040,9.07,2496.53,1481.05
4,2041,4.59,1477.56,1143.76
4,2042,4.66,586.73,885.98
4,2043,4.71,598.56,882.94
4,2044,4.82,420.01,841.29
4,2045,4.92,438.19,857.71
4,2046,5.08,326.03,847.75
4,2047,5.24,260.57,857.34
4,2048,5.28,245.23,880.06
4,2049,5.36,193.71,870.92
4,2050,5.34,126.64,836.16
5,2017,34.74,0.0,819.37
5,2018,36.82,0.0,882.98
5,2019,36.07,0.0,843.2
5,2020,38.88,0.0,869.49
5,2021,32.28,0.0,722.46
5,2022,36.2,0.0,834.92
5,2023,37.63,805.27,1187.6
5,2024,32.81,1512.74,1367.32
5,2025,31.0,1525.82,1388.49
5,2026,29.82,510.21,1053.29
5,2027,28.07,1079.28,1323.45
5,2028,28.29,331.83,1086.65
5,2029,26.5,3157.62,1927.26
5,2030,25.15,1880.59,1459.33
5,2031,22.0,3196.56,1815.34
5,2032,21.53,1634.73,1241.96
5,2033,21.04,1529.16,1212.7
5,2034,20.17,1623.13,1205.94
5,2035,19.65,1470.66,1133.27
5,2036,18.81,1674.98,1159.03
5,2037,17.63,1664.69,1200.45
5,2038,16.26,1488.7,1150.98
5,2039,15.08,1167.49,1084.29
5,2040,8.79,2958.19,1656.89
5,2041,4.64,1342.25,1173.06
5,2042,4.79,599.61,960.45
5,2043,4.87,629.45,979.04
5,2044,4.96,529.02,956.73
5,2045,5.11,487.55,960.65
5,2046,5.22,424.31,960.91
5,2047,5.3,367.85,961.51
5,2048,5.33,298.62,990.38
5,2049,6.56,293.97,929.01
5,2050,7.06,106.51,941.53
6,2017,34.74,0.0,819.36
6,2018,36.82,0.0,882.93
6,2019,36.31,0.0,848.72
6,2020,38.51,609.61,1206.14
6,2021,32.11,0.0,855.37
6,2022,33.64,1800.67,1440.29
6,2023,34.48,1606.01,1422.22
6,2024,31.14,1327.78,1274.31
6,2025,30.58,1299.28,1315.98
6,2026,29.56,697.45,1199.25
6,2027,28.48,1389.4,1505.63
6,2028,27.87,1974.79,1664.52
6,2029,25.24,3769.7,2121.22
6,2030,23.1,2741.62,1716.97
6,2031,20.12,3403.59,1839.18
6,2032,19.84,1812.34,1293.76
6,2033,19.47,1664.8,1254.76
6,2034,18.36,2077.9,1397.78
6,2035,17.85,1780.31,1296.09
6,2036,17.04,1870.38,1313.46
6,2037,16.79,1461.8,1177.3
6,2038,15.55,1884.28,1276.52
6,2039,14.46,1705.1,1200.1
6,2040,8.27,3401.54,1631.09
6,2041,4.16,2304.29,1172.43
6,2042,4.17,1091.14,934.93
6,2043,4.1,932.04,998.74
6,2044,4.15,719.04,921.05
6,2045,4.15,851.97,923.1
6,2046,4.02,799.59,865.52
6,2047,3.95,629.99,810.92
6,2048,3.77,439.22,830.49
6,2049,4.0,236.9,864.08
6,2050,3.98,185.43,841.01
7,2017,34.74,0.0,819.37
7,2018,36.82,0.0,882.93
7,2019,36.07,0.0,843.54
7,2020,38.63,0.0,1098.46
7,2021,32.29,0.0,911.67
7,2022,35.49,121.24,1082.46
7,2023,34.55,2420.04,1854.78
7,2024,31.01,1053.4,1301.38
7,2025,29.52,1498.73,1473.65
7,2026,28.68,481.19,1147.41
7,2027,27.47,868.84,1342.34
7,2028,27.17,622.79,1283.4
7,2029,25.75,3124.84,1878.29
7,2030,24.56,2017.41,1542.0
7,2031,23.06,2347.82,1596.01
7,2032,23.06,1426.63,1319.7
7,2033,22.64,1598.31,1382.79
7,2034,20.9,2506.2,1553.97
7,2035,19.84,1962.08,1399.96
7,2036,19.23,1499.21,1299.97
7,2037,18.61,1265.97,1268.65
7,2038,17.22,1943.3,1452.36
7,2039,15.72,1788.8,1288.16
7,2040,8.03,4749.62,1346.53
7,2041,4.71,1860.76,1238.65
7,2042,4.77,829.73,958.5
7,2043,4.83,801.46,980.37
7,2044,4.7,912.02,895.83
7,2045,4.82,647.25,928.16
7,2046,4.82,557.73,917.32
7,2047,4.95,435.7,898.76
7,2048,4.8,472.51,889.9
7,2049,4.72,354.95,852.72
7,2050,4.78,148.73,850.09
8,2017,34.74,0.0,819.41
8,2018,36.82,0.0,883.0
8,2019,36.39,0.0,850.87
8,2020,39.49,0.0,850.64
8,2021,33.25,0.0,714.16
8,2022,37.38,0.0,838.49
8,2023,37.98,1436.31,1374.57
8,2024,33.63,1605.62,1367.71
8,2025,32.22,1463.98,1360.83
8,2026,30.15,1102.35,1273.23
8,2027,29.01,871.72,1283.48
8,2028,29.43,460.4,1204.32
8,2029,26.55,5047.15,2430.13
8,2030,25.57,1858.8,1416.8
8,2031,23.48,3169.13,1758.39
8,2032,23.84,1541.2,1249.13
8,2033,22.43,2378.47,1503.47
8,2034,20.64,2722.2,1499.24
8,2035,20.18,1908.58,1239.71
8,2036,19.46,1898.15,1241.61
8,2037,18.58,1841.43,1236.66
8,2038,16.91,1978.19,1346.83
8,2039,15.78,1409.5,1205.5
8,2040,9.47,3568.45,1836.1
8,2041,5.2,1783.78,1389.43
8,2042,5.33,927.8,1154.19
8,2043,5.45,834.21,1146.82
8,2044,5.29,1093.04,1093.29
8,2045,4.95,1263.0,1012.44
8,2046,4.89,704.6,967.47
8,2047,5.07,459.3,969.42
8,2048,4.61,671.56,925.84
8,2049,4.81,278.82,946.26
8,2050,4.76,197.2,925.73
9,2017,34.74,0.0,819.36
9,2018,36.82,0.0,882.93
9,2019,36.58,0.0,855.4
9,2020,39.49,0.0,1091.95
9,2021,33.75,0.0,921.77
9,2022,36.98,235.95,1145.74
9,2023,35.88,2965.35,2049.5
9,2024,32.41,1187.1,1383.49
9,2025,31.25,1432.33,1516.82
9,2026,29.48,1018.6,1409.16
9,2027,28.47,982.45,1470.04
9,2028,28.32,1243.04,1547.9
9,2029,25.44,5051.47,2513.24
9,2030,24.99,1899.47,1510.99
9,2031,22.23,3818.38,2028.04
9,2032,22.16,1790.69,1408.48
9,2033,21.51,2241.65,1440.62
9,2034,20.56,2199.78,1487.24
9,2035,19.74,2278.22,1528.2
9,2036,18.71,2495.96,1549.35
9,2037,18.2,1872.32,1397.83
9,2038,16.86,2145.51,1490.03
9,2039,15.95,1314.8,1310.4
9,2040,9.9,3820.29,1963.4
9,2041,5.58,2180.99,1528.81
9,2042,5.75,1045.74,1229.43
9,2043,5.88,1033.35,1244.32
9,2044,6.07,799.91,1215.5
9,2045,6.04,1076.41,1253.14
9,2046,5.91,902.63,1188.25
9,2047,5.85,790.33,1139.12
9,2048,5.51,648.94,1106.49
9,2049,5.73,341.15,1087.08
9,2050,6.08,185.92,1102.01
10,2017,34.74,0.0,819.39
10,2018,36.82,0.0,883.0
10,2019,36.21,0.0,847.17
10,2020,39.2,0.0,845.77
10,2021,32.71,0.0,706.08
10,2022,36.84,0.0,822.6
10,2023,37.68,1241.06,1289.2
10,2024,33.31,1510.04,1310.93
10,2025,31.65,1560.31,1351.55
10,2026,30.3,628.23,1079.39
10,2027,29.02,853.28,1230.77
10,2028,29.37,309.38,1092.33
10,2029,27.48,3776.69,2017.76
10,2030,26.43,1754.24,1387.71
10,2031,24.9,2191.96,1505.63
10,2032,25.61,1085.03,1161.91
10,2033,24.45,1903.89,1419.62
10,2034,22.2,2344.25,1554.42
10,2035,21.45,1747.83,1293.76
10,2036,20.56,1963.77,1363.28
10,2037,19.34,1951.96,1351.08
10,2038,17.76,1856.74,1279.63
10,2039,16.09,1761.11,1261.7
10,2040,9.88,3082.91,1694.71
10,2041,5.21,2146.69,1384.63
10,2042,5.37,740.86,995.7
10,2043,5.27,996.38,1044.96
10,2044,4.82,1308.86,852.69
10,2045,4.87,685.41,890.49
10,2046,4.94,559.38,869.44
10,2047,4.68,651.87,794.21
10,2048,4.58,394.19,818.73
10,2049,4.76,228.64,811.32
10,2050,4.93,117.12,827.31
11,2017,34.74,0.0,819.36
11,2018,36.82,0.0,882.93
11,2019,36.14,0.0,845.41
11,2020,39.09,0.0,835.34
11,2021,32.54,0.0,696.35
11,2022,36.56,0.0,808.54
11,2023,37.48,1256.44,1254.51
11,2024,33.07,1595.98,1290.24
11,2025,31.63,1558.46,1303.23
11,2026,30.25,754.81,1093.34
11,2027,29.35,671.51,1157.7
11,2028,29.49,508.37,1158.9
11,2029,27.08,4318.95,2199.02
11,2030,26.61,1395.55,1282.45
11,2031,24.54,2894.58,1693.43
11,2032,24.87,1441.14,1225.54
11,2033,23.15,2244.1,1458.93
11,2034,21.65,2184.27,1430.36
11,2035,20.8,1838.81,1316.91
11,2036,20.06,1876.84,1255.37
11,2037,18.82,1884.07,1259.36
11,2038,16.31,2424.53,1110.31
11,2039,13.59,2495.95,932.57
11,2040,6.8,3642.37,1288.57
11,2041,3.32,1948.64,979.7
11,2042,3.35,988.83,701.07
11,2043,3.38,857.35,722.7
11,2044,3.27,798.61,709.27
11,2045,3.41,674.83,683.05
11,2046,3.4,630.92,672.03
11,2047,3.38,572.64,644.75
11,2048,3.22,447.56,626.7
11,2049,3.19,313.37,607.06
11,2050,3.23,163.2,587.36
12,2017,34.74,0.0,819.36
12,2018,36.82,0.0,882.93
12,2019,36.5,0.0,853.5
12,2020,39.68,0.0,848.89
12,2021,33.62,0.0,714.43
12,2022,37.48,243.03,909.86
12,2023,37.55,2040.33,1491.69
12,2024,33.52,1593.71,1302.74
12,2025,32.47,1484.43,1322.51
12,2026,30.72,1367.53,1319.42
12,2027,28.94,2928.76,1763.22
12,2028,28.19,2021.28,1482.5
12,2029,27.98,2310.21,1538.37
12,2030,26.66,2294.72,1512.67
12,2031,25.46,2499.43,1586.13
12,2032,25.61,2053.5,1445.64
12,2033,24.89,1977.33,1458.14
12,2034,22.86,3317.56,1762.92
12,2035,21.48,2728.09,1530.93
12,2036,20.36,2739.57,1542.15
12,2037,19.31,2386.42,1403.84
12,2038,17.74,2373.6,1421.78
12,2039,16.16,2134.46,1412.68
12,2040,9.28,4955.45,1777.45
12,2041,4.22,3842.29,1199.98
12,2042,4.39,1120.77,1029.28
12,2043,4.52,1092.9,1047.82
12,2044,4.61,904.05,1018.62
12,2045,4.77,883.68,1060.03
12,2046,4.89,790.7,1031.65
12,2047,5.21,536.47,1070.96
12,2048,4.91,730.14,1049.84
12,2049,5.2,344.48,1093.59
12,2050,5.29,229.85,1091.8
13,2017,34.74,0.0,819.36
13,2018,36.82,0.0,882.93
13,2019,36.49,0.0,853.13
13,2020,39.65,0.0,868.83
13,2021,33.58,0.0,731.47
13,2022,36.94,689.29,1034.52
13,2023,36.84,2298.29,1514.82
13,2024,33.01,1597.08,1262.59
13,2025,32.45,1282.92,1240.24
13,2026,31.35,670.25,1150.12
13,2027,28.93,3728.37,2014.66
13,2028,28.66,1702.58,1411.66
13,2029,27.88,2824.61,1685.55
13,2030,26.63,2593.41,1603.9
13,2031,25.12,3016.79,1688.03
13,2032,25.07,1915.85,1370.8
13,2033,24.36,2457.94,1526.46
13,2034,22.54,2995.26,1658.95
13,2035,21.37,2411.87,1487.85
13,2036,20.94,1982.44,1378.58
13,2037,19.72,2656.98,1460.06
13,2038,17.79,2591.12,1491.67
13,2039,16.27,2120.68,1318.8
13,2040,9.88,4220.97,1959.07
13,2041,5.49,2384.58,1553.81
13,2042,7.94,1701.54,1106.91
13,2043,8.02,1179.38,1223.3
13,2044,7.9,1116.52,1215.81
13,2045,8.12,905.59,1187.99
13,2046,8.31,842.73,1184.25
13,2047,8.38,725.09,1185.91
13,2048,7.59,925.19,1107.07
13,2049,7.69,415.56,1120.25
13,2050,7.66,241.06,1098.92
14,2017,34.74,0.0,819.45
14,2018,36.82,0.0,883.0
14,2019,36.17,0.0,846.24
14,2020,39.15,0.0,821.8
14,2021,32.66,0.0,686.28
14,2022,36.75,0.67,797.07
14,2023,36.85,2086.35,1404.34
14,2024,33.2,1276.01,1125.91
14,2025,32.31,1402.4,1199.17
14,2026,30.84,877.95,1098.34
14,2027,29.66,1524.83,1348.1
14,2028,30.1,292.25,1043.7
14,2029,30.04,1893.09,1486.75
14,2030,28.16,3409.25,1824.41
14,2031,27.02,2222.84,1487.83
14,2032,27.29,1512.68,1306.48
14,2033,26.79,1725.83,1399.85
14,2034,24.69,2797.28,1671.23
14,2035,23.59,2030.24,1478.49
14,2036,22.32,2218.78,1519.41
14,2037,21.0,2372.68,1510.22
14,2038,19.27,2279.63,1485.12
14,2039,17.8,1849.34,1366.26
14,2040,11.39,3515.52,1761.39
14,2041,6.97,2348.62,1497.98
14,2042,6.82,1561.32,1223.67
14,2043,6.6,1463.71,1206.6
14,2044,6.16,1493.88,1111.01
14,2045,6.13,968.49,1112.21
14,2046,6.29,684.09,1092.05
14,2047,6.26,722.85,1090.99
14,2048,5.71,756.94,992.55
14,2049,5.8,406.24,909.81
14,2050,6.02,180.69,933.71
15,2017,34.74,0.0,819.36
15,2018,36.82,0.0,882.93
15,2019,35.88,0.0,839.38
15,2020,38.55,0.0,892.98
15,2021,31.72,0.0,737.43
15,2022,35.48,0.0,842.92
15,2023,36.61,1151.47,1236.39
15,2024,31.6,1848.09,1345.52
15,2025,30.86,1104.78,1149.99
15,2026,29.67,628.0,1034.51
15,2027,28.77,595.79,1096.31
15,2028,29.1,181.34,1011.63
15,2029,27.49,2992.14,1835.15
15,2030,26.38,1602.31,1350.89
15,2031,24.41,2322.82,1547.44
15,2032,24.57,1003.87,1117.4
15,2033,22.79,1956.89,1387.01
15,2034,20.94,2132.8,1427.19
15,2035,20.29,1576.73,1239.24
15,2036,19.81,1397.0,1173.6
15,2037,19.03,1303.73,1153.21
15,2038,17.25,1651.34,1243.78
15,2039,15.95,1293.77,1110.1
15,2040,9.49,2722.41,1482.96
15,2041,5.15,1439.68,1195.77
15,2042,5.27,620.2,933.11
15,2043,5.3,647.16,945.55
15,2044,5.25,622.39,919.66
15,2045,5.26,595.04,908.19
15,2046,5.24,491.34,884.73
15,2047,5.31,356.43,859.87
15,2048,5.39,249.03,852.5
15,2049,5.65,187.39,858.82
15,2050,5.72,115.86,850.65
16,2017,34.74,0.0,819.36
16,2018,36.82,0.0,882.93
16,2019,36.07,0.0,843.22
16,2020,38.63,0.0,1077.3
16,2021,32.26,0.0,893.6
16,2022,34.27,1125.05,1330.47
16,2023,34.59,1661.32,1526.83
16,2024,30.48,1536.25,1389.36
16,2025,29.64,1212.68,1321.18
16,2026,28.64,609.37,1163.79
16,2027,27.28,1472.95,1454.33
16,2028,26.78,1552.03,1453.95
16,2029,25.22,2944.53,1783.21
16,2030,23.89,2100.84,1504.75
16,2031,21.17,3293.2,1763.57
16,2032,21.29,1312.36,1186.86
16,2033,20.43,1932.98,1360.63
16,2034,19.32,2122.43,1338.86
16,2035,18.51,1985.12,1251.84
16,2036,17.92,1748.98,1219.33
16,2037,17.39,1610.48,1207.87
16,2038,15.17,2458.3,1117.41
16,2039,12.68,2585.84,982.09
16,2040,6.19,3791.1,1293.34
