GEI,agno,offset
offset_mejora_tech_camiones   ,2042        ,        0.00
offset_mejora_tech_camiones   ,2043        ,        0.00
offset_mejora_tech_camiones   ,2044        ,        0.00
offset_mejora_tech_camiones   ,2045        ,        0.00
offset_mejora_tech_camiones   ,2046        ,        0.00
offset_mejora_tech_camiones   ,2047        ,        0.00
offset_mejora_tech_camiones   ,2048        ,        0.00
offset_mejora_tech_camiones   ,2049        ,        0.00
offset_mejora_tech_camiones   ,2050        ,        0.00
offset_subvencion_bici_elec   ,2017        ,        0.00
offset_subvencion_bici_elec   ,2018        ,        0.00
offset_subvencion_bici_elec   ,2019        ,        0.00
offset_subvencion_bici_elec   ,2020        ,        0.00
offset_subvencion_bici_elec   ,2021        ,        0.00
offset_subvencion_bici_elec   ,2022        ,        0.00
offset_subvencion_bici_elec   ,2023        ,        0.00
offset_subvencion_bici_elec   ,2024        ,        0.00
offset_subvencion_bici_elec   ,2025        ,        0.00
offset_subvencion_bici_elec   ,2026        ,        0.00
offset_subvencion_bici_elec   ,2027        ,        0.00
offset_subvencion_bici_elec   ,2028        ,        0.00
offset_subvencion_bici_elec   ,2029        ,        0.00
offset_subvencion_bici_elec   ,2030        ,        0.00
offset_subvencion_bici_elec   ,2031        ,        0.00
offset_subvencion_bici_elec   ,2032        ,        0.00
offset_subvencion_bici_elec   ,2033        ,        0.00
offset_subvencion_bici_elec   ,2034        ,        0.00
offset_subvencion_bici_elec   ,2035        ,        0.00
offset_subvencion_bici_elec   ,2036        ,        0.00
offset_subvencion_bici_elec   ,2037        ,        0.00
offset_subvencion_bici_elec   ,2038        ,        0.00
offset_subvencion_bici_elec   ,2039        ,        0.00
offset_subvencion_bici_elec   ,2040        ,        0.00
offset_subvencion_bici_elec   ,2041        ,        0.00
offset_subvencion_bici_elec   ,2042        ,        0.00
offset_subvencion_bici_elec   ,2043        ,        0.00
offset_subvencion_bici_elec   ,2044        ,        0.00
offset_subvencion_bici_elec   ,2045        ,        0.00
offset_subvencion_bici_elec   ,2046        ,        0.00
offset_subvencion_bici_elec   ,2047        ,        0.00
offset_subvencion_bici_elec   ,2048        ,        0.00
offset_subvencion_bici_elec   ,2049        ,        0.00
offset_subvencion_bici_elec   ,2050        ,        0.00
offset_renovacion_camiones    ,2017        ,        0.00
offset_renovacion_camiones    ,2018        ,        0.00
offset_renovacion_camiones    ,2019        ,        0.00
offset_renovacion_camiones    ,2020        ,        0.00
offset_renovacion_camiones    ,2021        ,        0.00
offset_renovacion_camiones    ,2022        ,        0.00
offset_renovacion_camiones    ,2023        ,        0.00
offset_renovacion_camiones    ,2024        ,        0.00
offset_renovacion_camiones    ,2025        ,        0.00
offset_renovacion_camiones    ,2026        ,        0.00
offset_renovacion_camiones    ,2027        ,        0.00
offset_renovacion_camiones    ,2028        ,        0.00
offset_renovacion_camiones    ,2029        ,        0.00
offset_renovacion_camiones    ,2030        ,        0.00
offset_renovacion_camiones    ,2031        ,        0.00
offset_renovacion_camiones    ,2032        ,        0.00
offset_renovacion_camiones    ,2033        ,        0.00
offset_renovacion_camiones    ,2034        ,        0.00
offset_renovacion_camiones    ,2035        ,        0.00
offset_renovacion_camiones    ,2036        ,        0.00
offset_renovacion_camiones    ,2037        ,        0.00
offset_renovacion_camiones    ,2038        ,        0.00
offset_renovacion_camiones    ,2039        ,        0.00
offset_renovacion_camiones    ,2040        ,        0.00
offset_renovacion_camiones    ,2041        ,        0.00
offset_renovacion_camiones    ,2042        ,        0.00
offset_renovacion_camiones    ,2043        ,        0.00
offset_renovacion_camiones    ,2044        ,        0.00
offset_renovacion_camiones    ,2045        ,        0.00
offset_renovacion_camiones    ,2046        ,        0.00
offset_renovacion_camiones    ,2047        ,        0.00
offset_renovacion_camiones    ,2048        ,        0.00
offset_renovacion_camiones    ,2049        ,        0.00
offset_renovacion_camiones    ,2050        ,        0.00
offset_programa_bici_publica  ,2017        ,        0.00
offset_programa_bici_publica  ,2018        ,        0.00
offset_programa_bici_publica  ,2019        ,        0.00
offset_programa_bici_publica  ,2020        ,        0.00
offset_programa_bici_publica  ,2021        ,        0.00
offset_programa_bici_publica  ,2022        ,        0.00
offset_programa_bici_publica  ,2023        ,        0.00
offset_programa_bici_publica  ,2024        ,        0.00
offset_programa_bici_publica  ,2025        ,        0.00
offset_programa_bici_publica  ,2026        ,        0.00
offset_programa_bici_publica  ,2027        ,        0.00
offset_programa_bici_publica  ,2028        ,        0.00
offset_programa_bici_publica  ,2029        ,        0.00
offset_programa_bici_publica  ,2030        ,        0.00
offset_programa_bici_publica  ,2031        ,        0.00
offset_programa_bici_publica  ,2032        ,        0.00
offset_programa_bici_publica  ,2033        ,        0.00
offset_programa_bici_publica  ,2034        ,        0.00
offset_programa_bici_publica  ,2035        ,        0.00
offset_programa_bici_publica  ,2036        ,        0.00
offset_programa_bici_publica  ,2037        ,        0.00
offset_programa_bici_publica  ,2038        ,        0.00
offset_programa_bici_publica  ,2039        ,        0.00
offset_programa_bici_publica  ,2040        ,        0.00
offset_programa_bici_publica  ,2041        ,        0.00
offset_programa_bici_publica  ,2042        ,        0.00
offset_programa_bici_publica  ,2043        ,        0.00
offset_programa_bici_publica  ,2044        ,        0.00
offset_programa_bici_publica  ,2045        ,        0.00
offset_programa_bici_publica  ,2046        ,        0.00
offset_programa_bici_publica  ,2047        ,        0.00
offset_programa_bici_publica  ,2048        ,        0.00
offset_programa_bici_publica  ,2049        ,        0.00
offset_programa_bici_publica  ,2050        ,        0.00
offset_conduccion_eficiente   ,2017        ,        0.00
offset_conduccion_eficiente   ,2018        ,        0.00
offset_conduccion_eficiente   ,2019        ,        0.00
offset_conduccion_eficiente   ,2020        ,        0.00
offset_conduccion_eficiente   ,2021        ,        0.00
offset_conduccion_eficiente   ,2022        ,        0.00
offset_conduccion_eficiente   ,2023        ,        0.00
offset_conduccion_eficiente   ,2024        ,        0.00
offset_conduccion_eficiente   ,2025        ,        0.00
offset_conduccion_eficiente   ,2026        ,        0.00
offset_conduccion_eficiente   ,2027        ,        0.00
offset_conduccion_eficiente   ,2028        ,        0.00
offset_conduccion_eficiente   ,2029        ,        0.00
offset_conduccion_eficiente   ,2030        ,        0.00
offset_conduccion_eficiente   ,2031        ,        0.00
offset_conduccion_eficiente   ,2032        ,        0.00
offset_conduccion_eficiente   ,2033        ,        0.00
offset_conduccion_eficiente   ,2034        ,        0.00
offset_conduccion_eficiente   ,2035        ,        0.00
offset_conduccion_eficiente   ,2036        ,        0.00
offset_conduccion_eficiente   ,2037        ,        0.00
offset_conduccion_eficiente   ,2038        ,        0.00
offset_conduccion_eficiente   ,2039        ,        0.00
offset_conduccion_eficiente   ,2040        ,        0.00
offset_conduccion_eficiente   ,2041        ,        0.00
offset_conduccion_eficiente   ,2042        ,        0.00
offset_conduccion_eficiente   ,2043        ,        0.00
offset_conduccion_eficiente   ,2044        ,        0.00
offset_conduccion_eficiente   ,2045        ,        0.00
offset_conduccion_eficiente   ,2046        ,        0.00
offset_conduccion_eficiente   ,2047        ,        0.00
offset_conduccion_eficiente   ,2048        ,        0.00
offset_conduccion_eficiente   ,2049        ,        0.00
offset_conduccion_eficiente   ,2050        ,        0.00
offset_calif_viv_existente    ,2017        ,        0.00
offset_calif_viv_existente    ,2018        ,        0.00
offset_calif_viv_existente    ,2019        ,        0.00
offset_calif_viv_existente    ,2020        ,        0.00
offset_calif_viv_existente    ,2021        ,        0.00
offset_calif_viv_existente    ,2022        ,        0.00
offset_calif_viv_existente    ,2023        ,        0.00
offset_calif_viv_existente    ,2024        ,        0.00
offset_calif_viv_existente    ,2025        ,        0.00
offset_calif_viv_existente    ,2026        ,        0.00
offset_calif_viv_existente    ,2027        ,        0.00
offset_calif_viv_existente    ,2028        ,        0.00
offset_calif_viv_existente    ,2029        ,        0.00
offset_calif_viv_existente    ,2030        ,        0.00
offset_calif_viv_existente    ,2031        ,        0.00
offset_calif_viv_existente    ,2032        ,        0.00
offset_calif_viv_existente    ,2033        ,        0.00
offset_calif_viv_existente    ,2034        ,        0.00
offset_calif_viv_existente    ,2035        ,        0.00
offset_calif_viv_existente    ,2036        ,        0.00
