barra,agno,etapa,bloque,potencia,energia
SING        ,2018        ,7           ,3           ,     1832.05,   567934.31
SING        ,2018        ,7           ,4           ,     1773.97,   109986.32
SING        ,2018        ,7           ,5           ,     1785.78,   110718.33
SING        ,2018        ,8           ,1           ,     1875.00,   404998.94
SING        ,2018        ,8           ,2           ,     1902.43,   176925.72
SING        ,2018        ,8           ,3           ,     1856.57,   575538.22
SING        ,2018        ,8           ,4           ,     1791.19,   111053.70
SING        ,2018        ,8           ,5           ,     1824.37,   113110.76
SING        ,2018        ,9           ,1           ,     1872.63,   393251.77
SING        ,2018        ,9           ,2           ,     1896.89,   170720.06
SING        ,2018        ,9           ,3           ,     1857.62,   557285.20
SING        ,2018        ,9           ,4           ,     1807.28,   108436.98
SING        ,2018        ,9           ,5           ,     1836.77,   110206.06
SING        ,2018        ,10          ,1           ,     1875.67,   407021.34
SING        ,2018        ,10          ,2           ,     1900.94,   176787.83
SING        ,2018        ,10          ,3           ,     1853.62,   574622.05
SING        ,2018        ,10          ,4           ,     1897.75,   117660.19
SING        ,2018        ,10          ,5           ,     1915.76,   118777.14
SING        ,2018        ,11          ,1           ,     1936.99,   406768.42
SING        ,2018        ,11          ,2           ,     1877.93,   169013.72
SING        ,2018        ,11          ,3           ,     1887.69,   566306.00
SING        ,2018        ,11          ,4           ,     1974.63,   118477.91
SING        ,2018        ,11          ,5           ,     1991.37,   119482.38
SING        ,2018        ,12          ,1           ,     1950.28,   423211.71
SING        ,2018        ,12          ,2           ,     1955.21,   181834.31
SING        ,2018        ,12          ,3           ,     1872.71,   580541.64
SING        ,2018        ,12          ,4           ,     1902.98,   117984.47
SING        ,2018        ,12          ,5           ,     1921.68,   119144.09
SING        ,2019        ,1           ,1           ,     1921.77,   417024.35
SING        ,2019        ,1           ,2           ,     1906.72,   177324.67
SING        ,2019        ,1           ,3           ,     1866.17,   578513.74
SING        ,2019        ,1           ,4           ,     1918.74,   118961.97
SING        ,2019        ,1           ,5           ,     1991.39,   123466.04
SING        ,2019        ,2           ,1           ,     1851.04,   362804.67
SING        ,2019        ,2           ,2           ,     1823.58,   153180.54
SING        ,2019        ,2           ,3           ,     1800.43,   504119.37
SING        ,2019        ,2           ,4           ,     1890.28,   105855.79
SING        ,2019        ,2           ,5           ,     1905.76,   106722.42
SING        ,2019        ,3           ,1           ,     1862.14,   404084.03
SING        ,2019        ,3           ,2           ,     1858.36,   172827.74
SING        ,2019        ,3           ,3           ,     1824.43,   565574.04
SING        ,2019        ,3           ,4           ,     1843.14,   114274.84
SING        ,2019        ,3           ,5           ,     1896.67,   117593.30
SING        ,2019        ,4           ,1           ,     2041.44,   428702.52
SING        ,2019        ,4           ,2           ,     1951.25,   175612.88
SING        ,2019        ,4           ,3           ,     1958.66,   587598.60
SING        ,2019        ,4           ,4           ,     1944.58,   116674.83
SING        ,2019        ,4           ,5           ,     1992.68,   119560.84
SING        ,2019        ,5           ,1           ,     2048.95,   446670.62
SING        ,2019        ,5           ,2           ,     2070.67,   192571.86
SING        ,2019        ,5           ,3           ,     1994.72,   618362.94
SING        ,2019        ,5           ,4           ,     1972.73,   122309.12
SING        ,2019        ,5           ,5           ,     2049.94,   127096.08
SING        ,2019        ,6           ,1           ,     2042.42,   428907.84
SING        ,2019        ,6           ,2           ,     2056.21,   185058.80
SING        ,2019        ,6           ,3           ,     2005.23,   601570.38
SING        ,2019        ,6           ,4           ,     1964.23,   117853.65
SING        ,2019        ,6           ,5           ,     2003.95,   120236.71
SING        ,2019        ,7           ,1           ,     2005.66,   435229.20
SING        ,2019        ,7           ,2           ,     2030.26,   188813.84
SING        ,2019        ,7           ,3           ,     1975.98,   612553.84
SING        ,2019        ,7           ,4           ,     1913.11,   118612.96
SING        ,2019        ,7           ,5           ,     1924.96,   119347.59
SING        ,2019        ,8           ,1           ,     2024.00,   437184.85
SING        ,2019        ,8           ,2           ,     2052.23,   190857.41
SING        ,2019        ,8           ,3           ,     2002.25,   620696.50
SING        ,2019        ,8           ,4           ,     1932.82,   119834.66
SING        ,2019        ,8           ,5           ,     1968.22,   122029.40
SING        ,2019        ,9           ,1           ,     2021.89,   424597.34
