linea,agno,fmax
EXP_VIII__X-XIV_01            ,2029        ,        0.00
EXP_VIII__X-XIV_01            ,2030        ,        0.00
EXP_VIII__X-XIV_01            ,2031        ,        0.00
EXP_VIII__X-XIV_01            ,2032        ,        0.00
EXP_VIII__X-XIV_01            ,2033        ,        0.00
EXP_VIII__X-XIV_01            ,2034        ,        0.00
EXP_VIII__X-XIV_01            ,2035        ,        0.00
EXP_VIII__X-XIV_01            ,2036        ,        0.00
EXP_VIII__X-XIV_01            ,2037        ,        0.00
EXP_VIII__X-XIV_01            ,2038        ,        0.00
EXP_VIII__X-XIV_01            ,2039        ,      133.00
EXP_VIII__X-XIV_01            ,2040        ,      133.00
EXP_VIII__X-XIV_01            ,2041        ,      133.00
EXP_VIII__X-XIV_01            ,2042        ,      133.00
EXP_VIII__X-XIV_01            ,2043        ,      133.00
EXP_VIII__X-XIV_01            ,2044        ,      133.00
EXP_VIII__X-XIV_01            ,2045        ,      133.00
EXP_VIII__X-XIV_01            ,2046        ,      133.00
EXP_VIII__X-XIV_01            ,2047        ,      133.00
EXP_VIII__X-XIV_01            ,2048        ,      133.00
EXP_VIII__X-XIV_01            ,2049        ,      133.00
EXP_VIII__X-XIV_01            ,2050        ,      133.00
EXP_IX__X-XIV_01              ,2017        ,        0.00
EXP_IX__X-XIV_01              ,2018        ,        0.00
EXP_IX__X-XIV_01              ,2019        ,        0.00
EXP_IX__X-XIV_01              ,2020        ,        0.00
EXP_IX__X-XIV_01              ,2021        ,        0.00
EXP_IX__X-XIV_01              ,2022        ,        0.00
EXP_IX__X-XIV_01              ,2023        ,        0.00
EXP_IX__X-XIV_01              ,2024        ,        0.00
EXP_IX__X-XIV_01              ,2025        ,        0.00
EXP_IX__X-XIV_01              ,2026        ,        0.00
EXP_IX__X-XIV_01              ,2027        ,        0.00
EXP_IX__X-XIV_01              ,2028        ,        0.00
EXP_IX__X-XIV_01              ,2029        ,        0.00
EXP_IX__X-XIV_01              ,2030        ,        0.00
EXP_IX__X-XIV_01              ,2031        ,        0.00
EXP_IX__X-XIV_01              ,2032        ,        0.00
EXP_IX__X-XIV_01              ,2033        ,        0.00
EXP_IX__X-XIV_01              ,2034        ,        0.00
EXP_IX__X-XIV_01              ,2035        ,        0.00
EXP_IX__X-XIV_01              ,2036        ,        0.00
EXP_IX__X-XIV_01              ,2037        ,        0.00
EXP_IX__X-XIV_01              ,2038        ,        0.00
EXP_IX__X-XIV_01              ,2039        ,        0.00
EXP_IX__X-XIV_01              ,2040        ,        0.00
EXP_IX__X-XIV_01              ,2041        ,       67.00
EXP_IX__X-XIV_01              ,2042        ,       67.00
EXP_IX__X-XIV_01              ,2043        ,       67.00
EXP_IX__X-XIV_01              ,2044        ,       67.00
EXP_IX__X-XIV_01              ,2045        ,       67.00
EXP_IX__X-XIV_01              ,2046        ,       67.00
EXP_IX__X-XIV_01              ,2047        ,       67.00
EXP_IX__X-XIV_01              ,2048        ,       67.00
EXP_IX__X-XIV_01              ,2049        ,       67.00
EXP_IX__X-XIV_01              ,2050        ,       67.00
EXP_II-III__SING_01           ,2017        ,        0.00
EXP_II-III__SING_01           ,2018        ,        0.00
EXP_II-III__SING_01           ,2019        ,        0.00
EXP_II-III__SING_01           ,2020        ,        0.00
EXP_II-III__SING_01           ,2021        ,        0.00
EXP_II-III__SING_01           ,2022        ,        0.00
EXP_II-III__SING_01           ,2023        ,        0.00
EXP_II-III__SING_01           ,2024        ,        0.00
EXP_II-III__SING_01           ,2025        ,        0.00
EXP_II-III__SING_01           ,2026        ,        0.00
EXP_II-III__SING_01           ,2027        ,        0.00
EXP_II-III__SING_01           ,2028        ,        0.00
EXP_II-III__SING_01           ,2029        ,        0.00
EXP_II-III__SING_01           ,2030        ,        0.00
EXP_II-III__SING_01           ,2031        ,        0.00
EXP_II-III__SING_01           ,2032        ,        0.00
EXP_II-III__SING_01           ,2033        ,        0.00
EXP_II-III__SING_01           ,2034        ,        0.00
EXP_II-III__SING_01           ,2035        ,        0.00
EXP_II-III__SING_01           ,2036        ,        0.00
EXP_II-III__SING_01           ,2037        ,        0.00
EXP_II-III__SING_01           ,2038        ,        0.00
EXP_II-III__SING_01           ,2039        ,        0.00
EXP_II-III__SING_01           ,2040        ,        0.00
EXP_II-III__SING_01           ,2041        ,        0.00
EXP_II-III__SING_01           ,2042        ,        0.00
EXP_II-III__SING_01           ,2043        ,        0.00
EXP_II-III__SING_01           ,2044        ,        0.00
EXP_II-III__SING_01           ,2045        ,        0.00
EXP_II-III__SING_01           ,2046        ,        0.00
EXP_II-III__SING_01           ,2047        ,        0.00
EXP_II-III__SING_01           ,2048        ,        0.00
EXP_II-III__SING_01           ,2049        ,        0.00
EXP_II-III__SING_01           ,2050        ,        0.00
EXP_IV__XIII_01               ,2017        ,        0.00
EXP_IV__XIII_01               ,2018        ,        0.00
EXP_IV__XIII_01               ,2019        ,        0.00
EXP_IV__XIII_01               ,2020        ,        0.00
EXP_IV__XIII_01               ,2021        ,        0.00
EXP_IV__XIII_01               ,2022        ,        0.00
EXP_IV__XIII_01               ,2023        ,        0.00
EXP_IV__XIII_01               ,2024        ,        0.00
EXP_IV__XIII_01               ,2025        ,        0.00
EXP_IV__XIII_01               ,2026        ,        0.00
EXP_IV__XIII_01               ,2027        ,        0.00
EXP_IV__XIII_01               ,2028        ,        0.00
EXP_IV__XIII_01               ,2029        ,        0.00
EXP_IV__XIII_01               ,2030        ,        0.00
EXP_IV__XIII_01               ,2031        ,        0.00
EXP_IV__XIII_01               ,2032        ,        0.00
EXP_IV__XIII_01               ,2033        ,        0.00
EXP_IV__XIII_01               ,2034        ,        0.00
EXP_IV__XIII_01               ,2035        ,        0.00
EXP_IV__XIII_01               ,2036        ,        0.00
EXP_IV__XIII_01               ,2037        ,        0.00
EXP_IV__XIII_01               ,2038        ,        0.00
EXP_IV__XIII_01               ,2039        ,        0.00
EXP_IV__XIII_01               ,2040        ,        0.00
EXP_IV__XIII_01               ,2041        ,        0.00
EXP_IV__XIII_01               ,2042        ,        0.00
EXP_IV__XIII_01               ,2043        ,        0.00
EXP_IV__XIII_01               ,2044        ,        0.00
EXP_IV__XIII_01               ,2045        ,        0.00
EXP_IV__XIII_01               ,2046        ,     1033.00
EXP_IV__XIII_01               ,2047        ,     1033.00
EXP_IV__XIII_01               ,2048        ,     1033.00
EXP_IV__XIII_01               ,2049        ,     1033.00
EXP_IV__XIII_01               ,2050        ,     1033.00
EXP_II-III__IV_02             ,2017        ,        0.00
EXP_II-III__IV_02             ,2018        ,        0.00
EXP_II-III__IV_02             ,2019        ,        0.00
EXP_II-III__IV_02             ,2020        ,        0.00
EXP_II-III__IV_02             ,2021        ,        0.00
EXP_II-III__IV_02             ,2022        ,        0.00
EXP_II-III__IV_02             ,2023        ,        0.00
EXP_II-III__IV_02             ,2024        ,        0.00
