agno,producto,demanda
2032        ,ACS_gas_licu,        0.00
2033        ,ACS_gas_licu,        0.00
2034        ,ACS_gas_licu,        0.00
2035        ,ACS_gas_licu,        0.00
2036        ,ACS_gas_licu,        0.00
2037        ,ACS_gas_licu,        0.00
2038        ,ACS_gas_licu,        0.00
2039        ,ACS_gas_licu,        0.00
2040        ,ACS_gas_licu,        0.00
2041        ,ACS_gas_licu,        0.00
2042        ,ACS_gas_licu,        0.00
2043        ,ACS_gas_licu,        0.00
2044        ,ACS_gas_licu,        0.00
2045        ,ACS_gas_licu,        0.00
2046        ,ACS_gas_licu,        0.00
2047        ,ACS_gas_licu,        0.00
2048        ,ACS_gas_licu,        0.00
2049        ,ACS_gas_licu,        0.00
2050        ,ACS_gas_licu,        0.00
2017        ,ACS_gas_natu,        0.00
2018        ,ACS_gas_natu,        0.00
2019        ,ACS_gas_natu,        0.00
2020        ,ACS_gas_natu,        0.00
2021        ,ACS_gas_natu,        0.00
2022        ,ACS_gas_natu,        0.00
2023        ,ACS_gas_natu,        0.00
2024        ,ACS_gas_natu,        0.00
2025        ,ACS_gas_natu,        0.00
2026        ,ACS_gas_natu,        0.00
2027        ,ACS_gas_natu,        0.00
2028        ,ACS_gas_natu,        0.00
2029        ,ACS_gas_natu,        0.00
2030        ,ACS_gas_natu,        0.00
2031        ,ACS_gas_natu,        0.00
2032        ,ACS_gas_natu,        0.00
2033        ,ACS_gas_natu,        0.00
2034        ,ACS_gas_natu,        0.00
2035        ,ACS_gas_natu,        0.00
2036        ,ACS_gas_natu,        0.00
2037        ,ACS_gas_natu,        0.00
2038        ,ACS_gas_natu,        0.00
2039        ,ACS_gas_natu,        0.00
2040        ,ACS_gas_natu,        0.00
2041        ,ACS_gas_natu,        0.00
2042        ,ACS_gas_natu,        0.00
2043        ,ACS_gas_natu,        0.00
2044        ,ACS_gas_natu,        0.00
2045        ,ACS_gas_natu,        0.00
2046        ,ACS_gas_natu,        0.00
2047        ,ACS_gas_natu,        0.00
2048        ,ACS_gas_natu,        0.00
2049        ,ACS_gas_natu,        0.00
2050        ,ACS_gas_natu,        0.00
2017        ,coccion_elec,        0.00
2018        ,coccion_elec,        0.00
2019        ,coccion_elec,        0.00
2020        ,coccion_elec,        0.00
2021        ,coccion_elec,        0.00
2022        ,coccion_elec,        0.00
2023        ,coccion_elec,        0.00
2024        ,coccion_elec,        0.00
2025        ,coccion_elec,        0.00
2026        ,coccion_elec,        0.00
2027        ,coccion_elec,        0.00
2028        ,coccion_elec,        0.00
2029        ,coccion_elec,        0.00
2030        ,coccion_elec,        0.00
2031        ,coccion_elec,        0.00
2032        ,coccion_elec,        0.00
2033        ,coccion_elec,        0.00
2034        ,coccion_elec,        0.00
2035        ,coccion_elec,        0.00
2036        ,coccion_elec,        0.00
2037        ,coccion_elec,        0.00
2038        ,coccion_elec,        0.00
2039        ,coccion_elec,        0.00
2040        ,coccion_elec,        0.00
2041        ,coccion_elec,        0.00
2042        ,coccion_elec,        0.00
2043        ,coccion_elec,        0.00
2044        ,coccion_elec,        0.00
2045        ,coccion_elec,        0.00
2046        ,coccion_elec,        0.00
2047        ,coccion_elec,        0.00
2048        ,coccion_elec,        0.00
2049        ,coccion_elec,        0.00
2050        ,coccion_elec,        0.00
2017        ,coccion_gas_,        0.00
2018        ,coccion_gas_,        0.00
2019        ,coccion_gas_,        0.00
2020        ,coccion_gas_,        0.00
2021        ,coccion_gas_,        0.00
2022        ,coccion_gas_,        0.00
2023        ,coccion_gas_,        0.00
2024        ,coccion_gas_,        0.00
2025        ,coccion_gas_,        0.00
2026        ,coccion_gas_,        0.00
2027        ,coccion_gas_,        0.00
2028        ,coccion_gas_,        0.00
2029        ,coccion_gas_,        0.00
2030        ,coccion_gas_,        0.00
2031        ,coccion_gas_,        0.00
2032        ,coccion_gas_,        0.00
2033        ,coccion_gas_,        0.00
2034        ,coccion_gas_,        0.00
2035        ,coccion_gas_,        0.00
2036        ,coccion_gas_,        0.00
2037        ,coccion_gas_,        0.00
2038        ,coccion_gas_,        0.00
2039        ,coccion_gas_,        0.00
2040        ,coccion_gas_,        0.00
2041        ,coccion_gas_,        0.00
2042        ,coccion_gas_,        0.00
2043        ,coccion_gas_,        0.00
2044        ,coccion_gas_,        0.00
2045        ,coccion_gas_,        0.00
2046        ,coccion_gas_,        0.00
2047        ,coccion_gas_,        0.00
2048        ,coccion_gas_,        0.00
2049        ,coccion_gas_,        0.00
2050        ,coccion_gas_,        0.00
2017        ,coccion_gas_,        0.00
2018        ,coccion_gas_,        0.00
2019        ,coccion_gas_,        0.00
2020        ,coccion_gas_,        0.00
2021        ,coccion_gas_,        0.00
2022        ,coccion_gas_,        0.00
2023        ,coccion_gas_,        0.00
2024        ,coccion_gas_,        0.00
2025        ,coccion_gas_,        0.00
2026        ,coccion_gas_,        0.00
2027        ,coccion_gas_,        0.00
2028        ,coccion_gas_,        0.00
