master_id,year,co-electricity_hydrogen-gwh,co-electricity_total_demand-gwh,co-emissions_total-mtco2e,im-electricity_cement_demand-gwh,im-electricity_copper_demand-gwh,im-electricity_fishing_demand-gwh,im-electricity_hydrogen-gwh,im-electricity_iron_demand-gwh,im-electricity_other_industries_demand-gwh,im-electricity_other_mining_demand-gwh,im-electricity_pulp_demand-gwh,im-electricity_saltpeter_demand-gwh,im-electricity_steel_demand-gwh,im-electricity_sugar_demand-gwh,im-electricity_total_demand-gwh,im-emissions_cement-mtco2e,im-emissions_copper-mtco2e,im-emissions_fishing-mtco2e,im-emissions_iron-mtco2e,im-emissions_other_industries-mtco2e,im-emissions_other_mining-mtco2e,im-emissions_pulp-mtco2e,im-emissions_saltpeter-mtco2e,im-emissions_steel-mtco2e,im-emissions_sugar-mtco2e,im-emissions_total-mtco2e,pu-electricity_total_demand-gwh,pu-emissions_total-mtco2e,re-electricity_total_demand-gwh,re-emissions_total-mtco2e,tx-electricity_hydrogen-gwh,tx-electricity_total_demand-gwh,tx-emissions_aviation-mtco2e,tx-emissions_bus-mtco2e,tx-emissions_maritime-mtco2e,tx-emissions_private-mtco2e,tx-emissions_taxi-mtco2e,tx-emissions_total-mtco2e,tx-emissions_train-mtco2e,tx-emissions_truck-mtco2e
0,2019,0.0,8850.468475900105,2.4644956108569986,2031.202894089645,26610.867261634114,156.0526607010608,33.33363483867335,809.2383616153746,11818.276114480457,1203.9898702570042,5641.500735897295,275.5754462857034,609.136672090426,25.59555974187814,49214.76921163163,0.3263547939351936,4.482696388441284,0.7521851126290843,0.45161071651136475,5.4304686361623835,1.4271779750347302,1.2167347037913494,0.29654106366961225,2.3012589396815835,0.34915775599563337,17.03418608585222,3066.4669585052156,0.13221236582622722,14503.245206173453,4.5777056659038315,0.0,679.4318659162822,1.6446434877917198,3.08784692881531,0.6611744381646332,14.20850507488974,0.6408298189991962,27.88942378882937,0.0928062372082582,7.553617802960514
1,2019,0.0,8850.468475900105,2.4644956108569986,2031.202894089645,26610.867261634114,156.0526607010608,33.33363483867335,809.2383616153746,11818.276114480457,1203.9898702570042,5641.500735897295,275.5754462857034,609.136672090426,25.59555974187814,49214.76921163163,0.3263547939351936,4.482696388441284,0.7521851126290843,0.45161071651136475,5.4304686361623835,1.4271779750347302,1.2167347037913494,0.29654106366961225,2.3012589396815835,0.34915775599563337,17.03418608585222,3066.4669585052156,0.13221236582622722,14503.245206173453,4.5777056659038315,0.0,679.4318659162822,1.6446434877917198,3.08784692881531,0.6611744381646332,14.20850507488974,0.6408298189991962,27.88942378882937,0.0928062372082582,7.553617802960514
2,2019,0.0,8850.468475900105,2.4644956108569986,2031.202894089645,26610.867261634114,156.0526607010608,33.33363483867335,809.2383616153746,11818.276114480457,1203.9898702570042,5641.500735897295,275.5754462857034,609.136672090426,25.59555974187814,49214.76921163163,0.3263547939351936,4.482696388441284,0.7521851126290843,0.45161071651136475,5.4304686361623835,1.4271779750347302,1.2167347037913494,0.29654106366961225,2.3012589396815835,0.34915775599563337,17.03418608585222,3066.4669585052156,0.13221236582622722,14503.245206173453,4.5777056659038315,0.0,679.4318659162822,1.6446434877917198,3.08784692881531,0.6611744381646332,14.20850507488974,0.6408298189991962,27.88942378882937,0.0928062372082582,7.553617802960514
3,2019,0.0,8850.468475900105,2.4644956108569986,2031.202894089645,26610.867261634114,156.0526607010608,33.33363483867335,809.2383616153746,11818.276114480457,1203.9898702570042,5641.500735897295,275.5754462857034,609.136672090426,25.59555974187814,49214.76921163163,0.3263547939351936,4.482696388441284,0.7521851126290843,0.45161071651136475,5.4304686361623835,1.4271779750347302,1.2167347037913494,0.29654106366961225,2.3012589396815835,0.34915775599563337,17.03418608585222,3066.4669585052156,0.13221236582622722,14503.245206173453,4.5777056659038315,0.0,679.4318659162822,1.6446434877917198,3.08784692881531,0.6611744381646332,14.20850507488974,0.6408298189991962,27.88942378882937,0.0928062372082582,7.553617802960514
4,2019,0.0,8850.468475900105,2.4644956108569986,2031.202894089645,26610.867261634114,156.0526607010608,33.33363483867335,809.2383616153746,11818.276114480457,1203.9898702570042,5641.500735897295,275.5754462857034,609.136672090426,25.59555974187814,49214.76921163163,0.3263547939351936,4.482696388441284,0.7521851126290843,0.45161071651136475,5.4304686361623835,1.4271779750347302,1.2167347037913494,0.29654106366961225,2.3012589396815835,0.34915775599563337,17.03418608585222,3066.4669585052156,0.13221236582622722,14503.245206173453,4.5777056659038315,0.0,679.4318659162822,1.6446434877917198,3.08784692881531,0.6611744381646332,14.20850507488974,0.6408298189991962,27.88942378882937,0.0928062372082582,7.553617802960514
5,2019,0.0,8850.468475900105,2.4644956108569986,2031.202894089645,26610.867261634114,156.0526607010608,33.33363483867335,809.2383616153746,11818.276114480457,1203.9898702570042,5641.500735897295,275.5754462857034,609.136672090426,25.59555974187814,49214.76921163163,0.3263547939351936,4.482696388441284,0.7521851126290843,0.45161071651136475,5.4304686361623835,1.4271779750347302,1.2167347037913494,0.29654106366961225,2.3012589396815835,0.34915775599563337,17.03418608585222,3066.4669585052156,0.13221236582622722,14503.245206173453,4.5777056659038315,0.0,679.4318659162822,1.6446434877917198,3.08784692881531,0.6611744381646332,14.20850507488974,0.6408298189991962,27.88942378882937,0.0928062372082582,7.553617802960514
6,2019,0.0,8850.468475900105,2.4644956108569986,2031.202894089645,26610.867261634114,156.0526607010608,33.33363483867335,809.2383616153746,11818.276114480457,1203.9898702570042,5641.500735897295,275.5754462857034,609.136672090426,25.59555974187814,49214.76921163163,0.3263547939351936,4.482696388441284,0.7521851126290843,0.45161071651136475,5.4304686361623835,1.4271779750347302,1.2167347037913494,0.29654106366961225,2.3012589396815835,0.34915775599563337,17.03418608585222,3066.4669585052156,0.13221236582622722,14503.245206173453,4.5777056659038315,0.0,679.4318659162822,1.6446434877917198,3.08784692881531,0.6611744381646332,14.20850507488974,0.6408298189991962,27.88942378882937,0.0928062372082582,7.553617802960514
7,2019,0.0,8850.468475900105,2.4644956108569986,2031.202894089645,26610.867261634114,156.0526607010608,33.33363483867335,809.2383616153746,11818.276114480457,1203.9898702570042,5641.500735897295,275.5754462857034,609.136672090426,25.59555974187814,49214.76921163163,0.3263547939351936,4.482696388441284,0.7521851126290843,0.45161071651136475,5.4304686361623835,1.4271779750347302,1.2167347037913494,0.29654106366961225,2.3012589396815835,0.34915775599563337,17.03418608585222,3066.4669585052156,0.13221236582622722,14503.245206173453,4.5777056659038315,0.0,679.4318659162822,1.6446434877917198,3.08784692881531,0.6611744381646332,14.20850507488974,0.6408298189991962,27.88942378882937,0.0928062372082582,7.553617802960514
8,2019,0.0,8850.468475900105,2.4644956108569986,2031.202894089645,26610.867261634114,156.0526607010608,33.33363483867335,809.2383616153746,11818.276114480457,1203.9898702570042,5641.500735897295,275.5754462857034,609.136672090426,25.59555974187814,49214.76921163163,0.3263547939351936,4.482696388441284,0.7521851126290843,0.45161071651136475,5.4304686361623835,1.4271779750347302,1.2167347037913494,0.29654106366961225,2.3012589396815835,0.34915775599563337,17.03418608585222,3066.4669585052156,0.13221236582622722,14503.245206173453,4.5777056659038315,0.0,679.4318659162822,1.6446434877917198,3.08784692881531,0.6611744381646332,14.20850507488974,0.6408298189991962,27.88942378882937,0.0928062372082582,7.553617802960514
9,2019,0.0,8850.468475900105,2.4644956108569986,2031.202894089645,26610.867261634114,156.0526607010608,33.33363483867335,809.2383616153746,11818.276114480457,1203.9898702570042,5641.500735897295,275.5754462857034,609.136672090426,25.59555974187814,49214.76921163163,0.3263547939351936,4.482696388441284,0.7521851126290843,0.45161071651136475,5.4304686361623835,1.4271779750347302,1.2167347037913494,0.29654106366961225,2.3012589396815835,0.34915775599563337,17.03418608585222,3066.4669585052156,0.13221236582622722,14503.245206173453,4.5777056659038315,0.0,679.4318659162822,1.6446434877917198,3.08784692881531,0.6611744381646332,14.20850507488974,0.6408298189991962,27.88942378882937,0.0928062372082582,7.553617802960514
