sector,time_series_id,strategy_id,type,parameter,normalize_group,min_2050,max_2050,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Analytica_agriculture,0,0,incertidumbre,precio_bovino,,0.8,1.2,4312.88,4312.88,4312.88,4312.88,4312.88,4068.680000000001,4015.99,3906.87,3799.29,3756.9400000000014,3737.47,3707.66,3682.8,3660.58,3594.4864442244298,3529.5862398071295,3465.8578402077824,3403.280087919355,3341.8322074439147,3281.493798395269,3222.2448287261377,3164.0656280776197,3106.936881248725,3050.8396217838344,2995.7552256759254,2941.665405183498,2888.5522027591387,2836.3979850877013,2785.1854372321404,2734.8975568850346,2685.517648723909,2637.0293188684727,2589.4164694379324,2542.6632932065763,2496.7542683558568,2451.6741533212257
Analytica_agriculture,0,3,incertidumbre,precio_bovino,,0.8,1.2,4312.88,4312.88,4312.88,4312.88,4312.88,4068.680000000001,4015.99,3906.87,3799.29,3756.9400000000014,3737.47,3707.66,3682.8,3660.58,3594.4864442244298,3529.5862398071295,3465.8578402077824,3403.280087919355,3341.8322074439147,3281.493798395269,3222.2448287261377,3164.0656280776197,3106.936881248725,3050.8396217838344,2995.7552256759254,2941.665405183498,2888.5522027591387,2836.3979850877013,2785.1854372321404,2734.8975568850346,2685.517648723909,2637.0293188684727,2589.4164694379324,2542.6632932065763,2496.7542683558568,2451.6741533212257
Analytica_agriculture,1,0,incertidumbre,precio_bovino,,0.8,1.2,4312.88,4312.88,4312.88,4312.88,4312.88,4068.680000000001,4015.99,3906.87,3799.29,3756.9400000000014,3737.47,3707.66,3682.8,3660.58,3594.4864442244298,3529.5862398071295,3465.8578402077824,3403.280087919355,3341.8322074439147,3281.493798395269,3222.2448287261377,3164.0656280776197,3106.936881248725,3050.8396217838344,2995.7552256759254,2941.665405183498,2888.5522027591387,2836.3979850877013,2785.1854372321404,2734.8975568850346,2685.517648723909,2637.0293188684727,2589.4164694379324,2542.6632932065763,2496.7542683558568,2451.6741533212257
Analytica_agriculture,1,3,incertidumbre,precio_bovino,,0.8,1.2,4312.88,4312.88,4312.88,4312.88,4312.88,4068.680000000001,4015.99,3906.87,3799.29,3756.9400000000014,3737.47,3707.66,3682.8,3660.58,3594.4864442244298,3529.5862398071295,3465.8578402077824,3403.280087919355,3341.8322074439147,3281.493798395269,3222.2448287261377,3164.0656280776197,3106.936881248725,3050.8396217838344,2995.7552256759254,2941.665405183498,2888.5522027591387,2836.3979850877013,2785.1854372321404,2734.8975568850346,2685.517648723909,2637.0293188684727,2589.4164694379324,2542.6632932065763,2496.7542683558568,2451.6741533212257
Analytica_agriculture,2,0,incertidumbre,precio_bovino,,0.8,1.2,4312.88,4312.88,4312.88,4312.88,4312.88,4068.680000000001,4015.99,3906.87,3799.29,3756.9400000000014,3737.47,3707.66,3682.8,3660.58,3594.4864442244298,3529.5862398071295,3465.8578402077824,3403.280087919355,3341.8322074439147,3281.493798395269,3222.2448287261377,3164.0656280776197,3106.936881248725,3050.8396217838344,2995.7552256759254,2941.665405183498,2888.5522027591387,2836.3979850877013,2785.1854372321404,2734.8975568850346,2685.517648723909,2637.0293188684727,2589.4164694379324,2542.6632932065763,2496.7542683558568,2451.6741533212257
Analytica_agriculture,2,3,incertidumbre,precio_bovino,,0.8,1.2,4312.88,4312.88,4312.88,4312.88,4312.88,4068.680000000001,4015.99,3906.87,3799.29,3756.9400000000014,3737.47,3707.66,3682.8,3660.58,3594.4864442244298,3529.5862398071295,3465.8578402077824,3403.280087919355,3341.8322074439147,3281.493798395269,3222.2448287261377,3164.0656280776197,3106.936881248725,3050.8396217838344,2995.7552256759254,2941.665405183498,2888.5522027591387,2836.3979850877013,2785.1854372321404,2734.8975568850346,2685.517648723909,2637.0293188684727,2589.4164694379324,2542.6632932065763,2496.7542683558568,2451.6741533212257
Analytica_agriculture,0,0,incertidumbre,precio_cerdo,,0.8,1.2,2362.580000000001,2362.580000000001,2362.580000000001,2362.580000000001,2362.580000000001,2234.32,2409.11,2480.9400000000005,2458.61,2433.42,2394.37,2324.74,2270.84,2224.9700000000007,2210.183546107792,2195.495358357916,2180.9047837043618,2166.4111734410585,2152.0138831730314,2137.7122727877536,2123.505706426686,2109.3935524570056,2095.375183443523,2081.449976120788,2067.617311365376,2053.8765741683637,2040.227153607984,2026.6684428224646,2013.1998389830471,1999.820743267184,1986.5305608319131,1973.3287007874164,1960.2145761707407,1947.1876039197064,1934.2472048469824,1921.3928036143348
Analytica_agriculture,0,3,incertidumbre,precio_cerdo,,0.8,1.2,2362.580000000001,2362.580000000001,2362.580000000001,2362.580000000001,2362.580000000001,2234.32,2409.11,2480.9400000000005,2458.61,2433.42,2394.37,2324.74,2270.84,2224.9700000000007,2210.183546107792,2195.495358357916,2180.9047837043618,2166.4111734410585,2152.0138831730314,2137.7122727877536,2123.505706426686,2109.3935524570056,2095.375183443523,2081.449976120788,2067.617311365376,2053.8765741683637,2040.227153607984,2026.6684428224646,2013.1998389830471,1999.820743267184,1986.5305608319131,1973.3287007874164,1960.2145761707407,1947.1876039197064,1934.2472048469824,1921.3928036143348
Analytica_agriculture,1,0,incertidumbre,precio_cerdo,,0.8,1.2,2362.580000000001,2362.580000000001,2362.580000000001,2362.580000000001,2362.580000000001,2234.32,2409.11,2480.9400000000005,2458.61,2433.42,2394.37,2324.74,2270.84,2224.9700000000007,2210.183546107792,2195.495358357916,2180.9047837043618,2166.4111734410585,2152.0138831730314,2137.7122727877536,2123.505706426686,2109.3935524570056,2095.375183443523,2081.449976120788,2067.617311365376,2053.8765741683637,2040.227153607984,2026.6684428224646,2013.1998389830471,1999.820743267184,1986.5305608319131,1973.3287007874164,1960.2145761707407,1947.1876039197064,1934.2472048469824,1921.3928036143348
Analytica_agriculture,1,3,incertidumbre,precio_cerdo,,0.8,1.2,2362.580000000001,2362.580000000001,2362.580000000001,2362.580000000001,2362.580000000001,2234.32,2409.11,2480.9400000000005,2458.61,2433.42,2394.37,2324.74,2270.84,2224.9700000000007,2210.183546107792,2195.495358357916,2180.9047837043618,2166.4111734410585,2152.0138831730314,2137.7122727877536,2123.505706426686,2109.3935524570056,2095.375183443523,2081.449976120788,2067.617311365376,2053.8765741683637,2040.227153607984,2026.6684428224646,2013.1998389830471,1999.820743267184,1986.5305608319131,1973.3287007874164,1960.2145761707407,1947.1876039197064,1934.2472048469824,1921.3928036143348
