sector,parameter,parameter_constant_q,min_2050,max_2050,2050_BAU,2050_NDP
Analytica_agriculture,medida_biodigestores,1,0.8,1.2,0.0,1.0
Analytica_agriculture,medida_captura_c_suelos,1,0.8,1.2,0.0,1.0
Analytica_agriculture,medida_uso_eficiente_fertilizante,1,0.8,1.2,0.0,1.0
Analytica_agriculture,medida_cambio_dieta_bovina,1,0.8,1.2,0.0,1.0
Analytica_agriculture,precio_bovino,0,0.8,1.2,2451.674153,2451.674153
Analytica_agriculture,precio_cerdo,0,0.8,1.2,1921.3928039999998,1921.3928039999998
Analytica_agriculture,precio_leche,0,0.8,1.2,3331.987457,3331.987457
Analytica_agriculture,precio_maiz,0,0.8,1.2,157.8074746,157.8074746
Analytica_agriculture,precio_pollo,0,0.8,1.2,1440.987114,1440.987114
Analytica_all,pib,0,0.8,1.2,510.48442479999994,510.48442479999994
Analytica_all,poblacion,0,0.8,1.2,21626079.0,21626079.0
Analytica_all,poblacion_rural,0,0.8,1.2,0.0,0.0
Analytica_all,poblacion_urbana,0,0.8,1.2,0.0,0.0
Analytica_forestry,incendio_bosque_nativo,1,0.8,1.2,0.0,1.0
Analytica_forestry,incendio_plantaciones_forestales,1,0.8,1.2,0.0,1.0
Analytica_forestry,recuperacion_bn,1,0.8,1.2,0.0,1.0
Analytica_forestry,sustitucion_degradacion,1,0.8,1.2,0.0,1.0
Analytica_forestry,tierras_convertidas_a_bn,1,0.8,1.2,0.0,1.0
Analytica_forestry,tierras_convertidas_a_plantaciones,1,0.8,1.2,0.0,1.0
Analytica_forestry,especies_exoticas,0,0.8,1.2,6604014.747,6604014.747
Analytica_forestry,especies_nativas,0,0.8,1.2,6593289.488,6593289.488
Analytica_ippu,nueva_cap_recuperacion,0,1.0,1.0,0.0,1050.0
Analytica_ippu,pqe_vehicular,0,0.8,1.2,9306403.859,9306403.859
Analytica_waste,cumplimiento_metas,1,0.8,1.05,1.0,1.0
Analytica_waste,ptas_antofa,1,1.0,1.0,0.0,1.0
Analytica_waste,ptas_biobio,1,1.0,1.0,0.0,1.0
Analytica_waste,ptas_valpo,1,1.0,1.0,0.0,1.0
Analytica_waste,ptasls_coq,1,1.0,1.0,0.0,1.0
Analytica_waste,rs_arauc,1,1.0,1.0,0.0,0.0
Analytica_waste,rs_aysen,1,1.0,1.0,0.0,0.0
Analytica_waste,rs_coq,1,1.0,1.0,0.0,0.0
Analytica_waste,rs_magallanes,1,1.0,1.0,0.0,0.0
Analytica_waste,rs_tarapaca,1,1.0,1.0,0.0,0.0
Analytica_waste,rs_valpo,1,1.0,1.0,0.0,0.0
commercial,commercial_emission_fact_diesel,0,1.0,1.0,74100.0,74100.0
commercial,commercial_emission_fact_natural_gas,0,1.0,1.0,64200.0,64200.0
commercial,commercial_emission_fact_pliqgas,0,1.0,1.0,63100.0,63100.0
commercial,commercial_frac_biomass,0,1.0,1.0,0.005843338000000001,0.005843338000000001
commercial,commercial_frac_diesel,0,1.0,1.0,0.169608481,0.169608481
commercial,commercial_frac_electric,0,1.0,1.0,0.7039682509999999,0.7039682509999999
commercial,commercial_frac_hydrogen,0,0.95,1.05,0.0,0.0
commercial,commercial_frac_natural_gas,0,1.0,1.0,0.04853207,0.04853207
commercial,commercial_frac_pliqgas,0,1.0,1.0,0.07078782,0.07078782
commercial,commercial_frac_solar,0,0.95,1.05,0.0,0.0
industry_and_mining,cement_emission_fact_coal,0,1.0,1.0,94600.0,94600.0
