sector,parameter,parameter_constant_q,min_2050,max_2050,2050_BAU,2050_NDP
industry_and_mining,cement_emission_fact_diesel,0,1.0,1.0,74100.0,74100.0
industry_and_mining,cement_emission_fact_kerosene,0,1.0,1.0,71900.0,71900.0
industry_and_mining,cement_emission_fact_natural_gas,0,1.0,1.0,64200.0,64200.0
industry_and_mining,cement_frac_biomass,0,1.0,1.0,1.1400000000000001e-05,1.1400000000000001e-05
industry_and_mining,cement_frac_coal,0,1.0,1.0,0.167187027,0.167187027
industry_and_mining,cement_frac_diesel,0,1.0,1.0,0.01984285,0.01984285
industry_and_mining,cement_frac_electric,0,1.0,1.0,0.5407824960000001,0.5407824960000001
industry_and_mining,cement_frac_hydrogen,0,1.0,1.0,0.158,0.158
industry_and_mining,cement_frac_kerosene,0,1.0,1.0,0.00022356900000000001,0.00022356900000000001
industry_and_mining,cement_frac_natural_gas,0,1.0,1.0,0.034367665,0.034367665
industry_and_mining,cement_frac_solar,0,1.0,1.0,0.0,0.0
industry_and_mining,cement_frac_thermal_solar,0,1.0,1.0,0.07943325799999999,0.07943325799999999
industry_and_mining,cement_intensity,0,1.0,1.0,0.511828478,0.511828478
industry_and_mining,cement_production,0,0.9,1.1,4956.645407,4956.645407
industry_and_mining,copper_emission_fact_diesel,0,1.0,1.0,74100.0,74100.0
industry_and_mining,copper_emission_fact_natural_gas,0,1.0,1.0,64200.0,64200.0
industry_and_mining,copper_frac_diesel,0,1.0,1.0,0.213408295,0.213408295
industry_and_mining,copper_frac_electric,0,1.0,1.0,0.6679999999999999,0.6679999999999999
industry_and_mining,copper_frac_hydrogen,0,1.0,1.0,0.09828004900000001,0.09828004900000001
industry_and_mining,copper_frac_natural_gas,0,1.0,1.0,0.007791019000000001,0.007791019000000001
industry_and_mining,copper_frac_solar,0,1.0,1.0,0.0,0.0
industry_and_mining,copper_frac_thermal_solar,0,1.0,1.0,0.006711432,0.006711432
industry_and_mining,copper_intensity,0,1.0,1.0,7.04300541,7.04300541
industry_and_mining,copper_production,0,0.8,1.4,9940.92261,9940.92261
industry_and_mining,fishing_emission_fact_coal,0,1.0,1.0,94600.0,94600.0
industry_and_mining,fishing_emission_fact_diesel,0,1.0,1.0,74100.0,74100.0
industry_and_mining,fishing_emission_fact_natural_gas,0,1.0,1.0,64200.0,64200.0
industry_and_mining,fishing_frac_biomass,0,1.0,1.0,0.000105109,0.000105109
industry_and_mining,fishing_frac_coal,0,1.0,1.0,0.003608495,0.003608495
industry_and_mining,fishing_frac_diesel,0,1.0,1.0,0.92304106,0.92304106
industry_and_mining,fishing_frac_electric,0,1.0,1.0,0.051175110999999995,0.051175110999999995
industry_and_mining,fishing_frac_hydrogen,0,1.0,1.0,0.005404374,0.005404374
industry_and_mining,fishing_frac_natural_gas,0,1.0,1.0,0.013709803000000001,0.013709803000000001
industry_and_mining,fishing_frac_solar,0,1.0,1.0,0.0,0.0
industry_and_mining,fishing_frac_thermal_solar,0,1.0,1.0,0.0027144,0.0027144
industry_and_mining,fishing_intensity,0,1.0,1.0,0.534212956,0.534212956
industry_and_mining,fishing_production,0,0.9,1.1,4752.855,4752.855
industry_and_mining,iron_emission_fact_coal,0,1.0,1.0,94600.0,94600.0
industry_and_mining,iron_emission_fact_diesel,0,1.0,1.0,74100.0,74100.0
industry_and_mining,iron_emission_fact_natural_gas,0,1.0,1.0,64200.0,64200.0
industry_and_mining,iron_frac_biomass,0,0.95,1.05,0.0,0.0
industry_and_mining,iron_frac_coal,0,1.0,1.0,0.14724894,0.14724894
industry_and_mining,iron_frac_diesel,0,1.0,1.0,0.346378881,0.346378881
industry_and_mining,iron_frac_electric,0,1.0,1.0,0.44393594,0.44393594
industry_and_mining,iron_frac_hydrogen,0,1.0,1.0,0.041561544,0.041561544
industry_and_mining,iron_frac_natural_gas,0,0.95,1.05,0.0,0.0
industry_and_mining,iron_frac_solar,0,1.0,1.0,0.0,0.0
industry_and_mining,iron_frac_thermal_solar,0,1.0,1.0,0.020874695,0.020874695
industry_and_mining,iron_intensity,0,1.0,1.0,0.155380151,0.155380151
industry_and_mining,iron_production,0,0.9,1.1,16000.0,16000.0
industry_and_mining,other_industries_emission_fact_coal,0,1.0,1.0,94600.0,94600.0
industry_and_mining,other_industries_emission_fact_diesel,0,1.0,1.0,74100.0,74100.0
industry_and_mining,other_industries_emission_fact_natural_gas,0,1.0,1.0,64200.0,64200.0
industry_and_mining,other_industries_frac_biomass,0,1.0,1.0,0.11692858,0.11692858
industry_and_mining,other_industries_frac_coal,0,1.0,1.0,0.016068753999999998,0.016068753999999998
industry_and_mining,other_industries_frac_diesel,0,1.0,1.0,0.18884134100000002,0.18884134100000002
industry_and_mining,other_industries_frac_electric,0,1.0,1.0,0.274833612,0.274833612
industry_and_mining,other_industries_frac_hydrogen,0,1.0,1.0,0.174208587,0.174208587
industry_and_mining,other_industries_frac_natural_gas,0,1.0,1.0,0.154267279,0.154267279
industry_and_mining,other_industries_frac_solar,0,1.0,1.0,0.0,0.0
industry_and_mining,other_industries_frac_thermal_solar,0,1.0,1.0,0.071804344,0.071804344
industry_and_mining,other_industries_intensity,0,1.0,1.0,0.125018475,0.125018475
industry_and_mining,other_mining_emission_fact_coal,0,1.0,1.0,94600.0,94600.0
industry_and_mining,other_mining_emission_fact_diesel,0,1.0,1.0,74100.0,74100.0
industry_and_mining,other_mining_emission_fact_natural_gas,0,1.0,1.0,64200.0,64200.0
industry_and_mining,other_mining_frac_biomass,0,0.95,1.05,0.0,0.0
industry_and_mining,other_mining_frac_coal,0,0.95,1.05,0.0,0.0
industry_and_mining,other_mining_frac_diesel,0,1.0,1.0,0.722794663,0.722794663
industry_and_mining,other_mining_frac_electric,0,1.0,1.0,0.18199008600000002,0.18199008600000002
industry_and_mining,other_mining_frac_hydrogen,0,1.0,1.0,0.033169212000000003,0.033169212000000003
industry_and_mining,other_mining_frac_natural_gas,0,1.0,1.0,0.044398969,0.044398969
industry_and_mining,other_mining_frac_solar,0,1.0,1.0,0.0,0.0
industry_and_mining,other_mining_frac_thermal_solar,0,1.0,1.0,0.016659563,0.016659563
industry_and_mining,other_mining_intensity,0,1.0,1.0,0.249564383,0.249564383
industry_and_mining,other_mining_production,0,1.0,1.0,31388.87442,31388.87442
industry_and_mining,pulp_emission_fact_diesel,0,1.0,1.0,74100.0,74100.0
industry_and_mining,pulp_emission_fact_natural_gas,0,1.0,1.0,64200.0,64200.0
industry_and_mining,pulp_frac_biomass,0,0.95,1.05,0.621354611,0.621354611
industry_and_mining,pulp_frac_diesel,0,1.0,1.0,0.09310812,0.09310812
industry_and_mining,pulp_frac_electric,0,0.95,1.05,0.20303991899999999,0.20303991899999999
industry_and_mining,pulp_frac_hydrogen,0,0.95,1.05,0.0,0.0
industry_and_mining,pulp_frac_natural_gas,0,1.0,1.0,0.08212510599999999,0.08212510599999999
industry_and_mining,pulp_frac_solar,0,1.0,1.0,0.0,0.0
industry_and_mining,pulp_frac_thermal_solar,0,1.0,1.0,0.001578983,0.001578983
industry_and_mining,pulp_intensity,0,0.95,1.05,4.453744221,4.453744221
industry_and_mining,pulp_production,0,0.8,1.4,6424.329897,6424.329897
industry_and_mining,saltpeter_emission_fact_coal,0,1.0,1.0,94600.0,94600.0
industry_and_mining,saltpeter_emission_fact_diesel,0,1.0,1.0,74100.0,74100.0
industry_and_mining,saltpeter_emission_fact_natural_gas,0,1.0,1.0,64200.0,64200.0
industry_and_mining,saltpeter_frac_biomass,0,0.95,1.05,0.0,0.0
industry_and_mining,saltpeter_frac_coal,0,0.95,1.05,0.0,0.0
industry_and_mining,saltpeter_frac_diesel,0,1.0,1.0,0.59549582,0.59549582
industry_and_mining,saltpeter_frac_electric,0,1.0,1.0,0.17197985100000002,0.17197985100000002
industry_and_mining,saltpeter_frac_hydrogen,0,1.0,1.0,0.069907491,0.069907491
industry_and_mining,saltpeter_frac_natural_gas,0,1.0,1.0,0.013183413,0.013183413
industry_and_mining,saltpeter_frac_solar,0,1.0,1.0,0.0,0.0
industry_and_mining,saltpeter_frac_thermal_solar,0,1.0,1.0,0.035111725,0.035111725
industry_and_mining,saltpeter_intensity,0,1.0,1.0,0.46603817399999997,0.46603817399999997
industry_and_mining,saltpeter_production,0,0.9,1.1,3253.135641,3253.135641
industry_and_mining,steel_emission_fact_coal,0,1.0,1.0,94600.0,94600.0
industry_and_mining,steel_emission_fact_diesel,0,1.0,1.0,74100.0,74100.0
industry_and_mining,steel_emission_fact_kerosene,0,1.0,1.0,71900.0,71900.0
industry_and_mining,steel_emission_fact_natural_gas,0,1.0,1.0,64200.0,64200.0
industry_and_mining,steel_frac_biomass,0,0.95,1.05,0.0,0.0
industry_and_mining,steel_frac_coal,0,1.0,1.0,0.609318523,0.609318523
industry_and_mining,steel_frac_diesel,0,1.0,1.0,0.01568592,0.01568592
industry_and_mining,steel_frac_electric,0,1.0,1.0,0.099354129,0.099354129
industry_and_mining,steel_frac_hydrogen,0,1.0,1.0,0.177429697,0.177429697
industry_and_mining,steel_frac_kerosene,0,1.0,1.0,0.000131054,0.000131054
industry_and_mining,steel_frac_natural_gas,0,1.0,1.0,0.008964867,0.008964867
industry_and_mining,steel_frac_solar,0,1.0,1.0,0.0,0.0
industry_and_mining,steel_frac_thermal_solar,0,1.0,1.0,0.089115811,0.089115811
industry_and_mining,steel_intensity,0,1.0,1.0,3.764929228,3.764929228
industry_and_mining,steel_production,0,0.9,1.1,1253.0,1253.0
industry_and_mining,sugar_emission_fact_coal,0,1.0,1.0,94600.0,94600.0
industry_and_mining,sugar_emission_fact_diesel,0,1.0,1.0,74100.0,74100.0
industry_and_mining,sugar_emission_fact_natural_gas,0,1.0,1.0,64200.0,64200.0
industry_and_mining,sugar_frac_biomass,0,1.0,1.0,0.002041144,0.002041144
industry_and_mining,sugar_frac_coal,0,1.0,1.0,0.65861512,0.65861512
industry_and_mining,sugar_frac_diesel,0,1.0,1.0,0.008142537,0.008142537
industry_and_mining,sugar_frac_electric,0,1.0,1.0,0.030876189,0.030876189
industry_and_mining,sugar_frac_hydrogen,0,1.0,1.0,0.191481242,0.191481242
industry_and_mining,sugar_frac_natural_gas,0,1.0,1.0,0.01267043,0.01267043
industry_and_mining,sugar_frac_solar,0,1.0,1.0,0.0,0.0
industry_and_mining,sugar_frac_thermal_solar,0,1.0,1.0,0.09617333800000001,0.09617333800000001
industry_and_mining,sugar_intensity,0,1.0,1.0,0.49196246200000004,0.49196246200000004
industry_and_mining,sugar_production,0,0.9,1.1,1703.7500899999998,1703.7500899999998
public,public_emission_fact_kerosene,0,1.0,1.0,71900.0,71900.0
public,public_emission_fact_natural_gas,0,1.0,1.0,64200.0,64200.0
public,public_emission_fact_pliqgas,0,1.0,1.0,63100.0,63100.0
public,public_frac_biomass,0,0.95,1.05,0.02,0.02
public,public_frac_diesel,0,1.0,1.0,0.07,0.07
public,public_frac_electric,0,0.95,1.05,0.69,0.69
public,public_frac_kerosene,0,0.95,1.05,0.0,0.0
public,public_frac_natural_gas,0,0.95,1.05,0.06,0.06
public,public_frac_pliqgas,0,0.95,1.05,0.07,0.07
public,public_frac_solar,0,0.95,1.05,0.0,0.0
public,public_intensity,0,0.9,1.1,0.2,0.2
residential,residential_emission_fact_kerosene,0,1.0,1.0,71900.0,71900.0
residential,residential_emission_fact_natural_gas,0,1.0,1.0,64200.0,64200.0
residential,residential_emission_fact_pliqgas,0,1.0,1.0,63100.0,63100.0
residential,residential_frac_biomass,0,1.0,1.0,0.175476517,0.175476517
residential,residential_frac_electric,0,1.0,1.0,0.5103827679999999,0.5103827679999999
residential,residential_frac_kerosene,0,1.0,1.0,0.040853917999999996,0.040853917999999996
residential,residential_frac_natural_gas,0,1.0,1.0,0.09712624800000001,0.09712624800000001
residential,residential_frac_pliqgas,0,1.0,1.0,0.162808139,0.162808139
residential,residential_frac_solar,0,1.0,1.0,0.013352408999999999,0.013352408999999999
residential,residential_intensity,0,1.0,1.0,8.075247725,8.075247725
residential,residential_occ_rate,0,1.0,1.0,2.30133392,2.30133392
transport,transport_bus_veh_km,0,0.9,1.1,2139421604.0,2139421604.0
transport,transport_emission_fact_diesel,0,1.0,1.0,74100.0,74100.0
transport,transport_emission_fact_fueloil,0,1.0,1.0,77400.0,77400.0
transport,transport_emission_fact_gasoline,0,1.0,1.0,69300.0,69300.0
transport,transport_emission_fact_kerosene_aviation,0,1.0,1.0,71500.0,71500.0
transport,transport_frac_bus_diesel,0,1.0,1.0,0.0,0.0
transport,transport_frac_bus_electric,0,1.0,1.0,1.0,1.0
transport,transport_frac_private_diesel,0,1.0,1.0,0.0,0.0
transport,transport_frac_private_electric,0,1.0,1.0,0.6,0.6
transport,transport_frac_private_gasoline,0,1.0,1.0,0.4,0.4
transport,transport_frac_taxi_electric,0,1.0,1.0,1.0,1.0
transport,transport_frac_taxi_gasoline,0,1.0,1.0,0.0,0.0
transport,transport_frac_truck_diesel,0,1.0,1.0,0.39504533399999997,0.39504533399999997
transport,transport_frac_truck_hydrogen,0,1.0,1.0,0.604954666,0.604954666
transport,transport_intensity_aviation_kerosene,0,0.9,1.1,0.37521394399999997,0.37521394399999997
transport,transport_intensity_bus_diesel,0,0.95,1.05,1.79,1.79
transport,transport_intensity_bus_electric,0,0.95,1.05,0.6,0.6
transport,transport_intensity_maritime,0,1.0,1.0,0.139,0.139
transport,transport_intensity_pkm_train,0,0.95,1.05,0.064949909,0.064949909
transport,transport_intensity_private_diesel,0,0.95,1.05,9.2,9.2
transport,transport_intensity_private_electric,0,0.95,1.05,6.21,6.21
transport,transport_intensity_private_gasoline,0,0.95,1.05,9.2,9.2
transport,transport_intensity_taxi_electric,0,0.95,1.05,6.21,6.21
transport,transport_intensity_taxi_gasoline,0,0.95,1.05,9.2,9.2
transport,transport_intensity_train_electric,0,0.95,1.05,0.37,0.37
transport,transport_intensity_train_freight_diesel,0,1.0,1.0,0.045,0.045
transport,transport_intensity_truck_diesel,0,1.0,1.0,2.7,2.7
transport,transport_intensity_truck_hydrogen,0,1.0,1.0,12.0,12.0
transport,transport_load_average_freight_train,0,1.0,1.0,2625.0,2625.0
transport,transport_load_average_truck,0,1.0,1.0,9.5,9.5
transport,transport_maritime_frac_diesel,0,1.0,1.0,0.54,0.54
transport,transport_maritime_frac_fueloil,0,1.0,1.0,0.46,0.46
transport,transport_modal_split_private_to_bus,0,1.0,1.0,0.0,0.0
transport,transport_modal_split_private_to_cycling,0,1.0,1.0,0.0,0.0
transport,transport_modal_split_private_to_taxi,0,1.0,1.0,0.026856901000000002,0.026856901000000002
transport,transport_modal_split_private_to_telework,0,1.0,1.0,0.0,0.0
transport,transport_modal_split_private_to_train,0,1.0,1.0,0.0,0.0
transport,transport_modal_split_truck,0,1.0,1.0,1.0,1.0
transport,transport_modal_split_truck_to_train,0,1.0,1.0,0.0,0.0
transport,transport_occupancy_rate_bus,0,0.95,1.05,30.0,30.0
transport,transport_occupancy_rate_private,0,0.95,1.05,1.1,1.1
transport,transport_occupancy_rate_taxi,0,0.95,1.05,1.0,1.0
transport,transport_occupancy_rate_train,0,0.95,1.05,100.0,100.0
transport,transport_pkm_aviation,0,0.9,1.1,74049630.79,74049630.79
transport,transport_share_diesel_private,0,1.0,1.0,0.32,0.32
transport,transport_share_diesel_truck,0,1.0,1.0,0.68,0.68
transport,transport_tkm_freight_train,0,0.9,1.1,3861920403.0,3861920403.0
transport,transport_tkm_maritime,0,1.0,1.0,27359279.36,27359279.36
transport,transport_train13_pkm,0,0.95,1.05,10321713448.0,10321713448.0
transport,transport_train5_pkm,0,0.95,1.05,1928812635.0,1928812635.0
transport,transport_train8_pkm,0,0.95,1.05,86537415.78,86537415.78
transport,transport_trip_distance_private,0,0.9,1.1,7.0,7.0
