time_series_id,anho,poblacion_milliones,pib_mm_usd
0,2015,4.83223,27.7364605
0,2016,4.886786130144796,29.077727316802935
0,2017,4.941958201860332,30.48385448858363
0,2018,4.997753169159246,31.957978502128416
0,2019,5.054178064565345,33.50338751698835
0,2020,5.11124,35.12352870000001
0,2021,5.154798056760385,36.58924262919268
0,2022,5.1987273158725955,38.11612117941699
0,2023,5.243030940728119,39.70671676611462
0,2024,5.2877121216769085,41.36368831768319
0,2025,5.332774076257124,43.08980572028951
0,2026,5.378220049426829,44.88795444816589
0,2027,5.424053313797661,46.76114038713002
0,2028,5.470277169870504,48.712494859391526
0,2029,5.516894946273149,50.74527985804505
0,2030,5.563910000000004,52.86289350000003
0,2031,5.595924597542633,54.718538771306626
0,2032,5.628123406270529,56.63932272770852
0,2033,5.6605074861301965,58.62753193138521
0,2034,5.693077903167046,60.68553320967035
0,2035,5.725835729560487,62.815776472598145
0,2036,5.75878204365922,65.02079762935395
0,2037,5.791917930016741,67.3032216071011
0,2038,5.825244479427034,69.66576547577746
0,2039,5.858762788960488,72.11124168258178
0,2040,5.892473962000005,74.6425614
0,2041,5.910068511505562,76.76806120718962
0,2042,5.927715597208021,78.95408612693737
0,2043,5.945415375977096,81.20235965469492
0,2044,5.963168005150909,83.5146543636677
0,2045,5.980973642537378,85.89279330233873
0,2046,5.998832446415628,88.3386514317879
0,2047,6.0167445755373965,90.85415710393993
0,2048,6.034710189128441,93.44129358190649
0,2049,6.052729446889959,96.1021006036212
0,2050,6.0708025090000035,98.83867599000007
1,2015,4.83223,27.7364605
1,2016,4.886786130144796,29.077727316802935
1,2017,4.941958201860332,30.48385448858363
1,2018,4.997753169159246,31.957978502128416
1,2019,5.054178064565345,33.50338751698835
1,2020,5.11124,35.12352870000001
1,2021,5.151443947027894,36.11295850347901
1,2022,5.187798421863468,37.20212533194392
1,2023,5.22229207075897,38.36171557854062
1,2024,5.254241203672523,39.6418460273965
1,2025,5.282158051621688,41.04397812138552
1,2026,5.3052905555604,42.49570362753892
1,2027,5.32588300236526,43.99877666484496
1,2028,5.342431273944135,45.55501339548052
1,2029,5.355659189971796,47.16629421927866
1,2030,5.3668360358738205,48.83456604581452
1,2031,5.376627666299689,50.561844646854986
1,2032,5.386429700704457,52.35021709201426
1,2033,5.395169042978912,54.20184427055878
1,2034,5.40304188243942,56.118963502408484
1,2035,5.410381146410723,58.10389124148864
1,2036,5.417200211437117,60.1590258747001
1,2037,5.426345308888601,62.286850619888234
1,2038,5.435639034610059,64.48993652631363
1,2039,5.443623345273048,66.77094558124938
1,2040,5.448285814102124,69.13263392645818
1,2041,5.448265006144327,71.57785518843697
1,2042,5.447325675478093,74.10956392645198
1,2043,5.442536872619539,76.7308192025306
1,2044,5.43376483212569,79.44478827772406
1,2045,5.420868357140069,82.25475043910718
1,2046,5.403499657510938,85.16410096213839
1,2047,5.386053671181422,88.1763552131692
1,2048,5.3653021921276896,91.29515289705901
1,2049,5.340950936375194,94.52426245502798
1,2050,5.312933021202446,97.8675856180623
2,2015,4.83223,27.7364605
2,2016,4.886786130144796,29.077727316802935
2,2017,4.941958201860332,30.48385448858363
2,2018,4.997753169159246,31.957978502128416
2,2019,5.054178064565345,33.50338751698835
2,2020,5.11124,35.12352870000001
2,2021,5.151443947027894,35.82599927400001
2,2022,5.187798421863468,36.54251925948
2,2023,5.22229207075897,37.2733696446696
2,2024,5.254241203672523,38.01883703756301
2,2025,5.282158051621688,38.779213778314265
2,2026,5.3052905555604,39.55479805388055
2,2027,5.32588300236526,40.34589401495816
2,2028,5.342431273944135,41.152811895257315
2,2029,5.355659189971796,41.97586813316248
2,2030,5.3668360358738205,42.81538549582571
2,2031,5.376627666299689,43.67169320574222
2,2032,5.386429700704457,44.54512706985708
2,2033,5.395169042978912,45.43602961125422
2,2034,5.40304188243942,46.34475020347929
2,2035,5.410381146410723,47.27164520754888
2,2036,5.417200211437117,48.21707811169985
2,2037,5.426345308888601,49.18141967393387
2,2038,5.435639034610059,50.165048067412535
2,2039,5.443623345273048,51.16834902876079
2,2040,5.448285814102124,52.19171600933601
2,2041,5.448265006144327,53.235550329522724
2,2042,5.447325675478093,54.30026133611318
2,2043,5.442536872619539,55.386266562835424
2,2044,5.43376483212569,56.493991894092154
2,2045,5.420868357140069,57.623871731974
2,2046,5.403499657510938,58.77634916661348
2,2047,5.386053671181422,59.95187614994576
2,2048,5.3653021921276896,61.15091367294469
2,2049,5.340950936375194,62.37393194640357
2,2050,5.312933021202446,63.62141058533163
3,2015,4.83223,27.7364605
3,2016,4.886786130144796,29.077727316802935
3,2017,4.941958201860332,30.48385448858363
3,2018,4.997753169159246,31.957978502128416
3,2019,5.054178064565345,33.50338751698835
3,2020,5.11124,35.12352870000001
3,2021,5.151443947027894,36.528469848000015
3,2022,5.187798421863468,37.98960864192002
3,2023,5.22229207075897,39.50919298759681
3,2024,5.254241203672523,41.089560707100695
3,2025,5.282158051621688,42.73314313538471
3,2026,5.3052905555604,44.44246886080012
3,2027,5.32588300236526,46.220167615232135
3,2028,5.342431273944135,48.0689743198414
3,2029,5.355659189971796,49.99173329263504
3,2030,5.3668360358738205,51.991402624340466
3,2031,5.376627666299689,54.07105872931409
3,2032,5.386429700704457,56.23390107848665
3,2033,5.395169042978912,58.483257121626124
3,2034,5.40304188243942,60.822587406491174
3,2035,5.410381146410723,63.25549090275079
3,2036,5.417200211437117,65.78571053886085
3,2037,5.426345308888601,68.41713896041531
3,2038,5.435639034610059,71.1538245188319
3,2039,5.443623345273048,73.99997749958517
