field,include_all_file,include_diff_file
mules_fermentation_ef_c1_gg_co2e_head,,
mules_manure_ef_c1_gg_co2e_head,,
mules_val_per_head_2016_usd,,
occ_rate,1,
other_ef_c1_gg_co2e_ha,,
others_kg_co2e_ha,,
others_value_2016_million_usd,1,
others_yield_tonnes_ha,,
palm_oil_kg_co2e_ha,,
palm_oil_value_2016_million_usd,1,
palm_oil_yield_tonnes_ha,,
palm_primary_forest_conv_to_cropland_area_ha,,
palm_primary_forest_conv_to_grassland_area_ha,,
palm_primary_forest_ef_c1_gg_co2e_ha,,
palm_primary_forest_to_cropland_ef_conversion_c1_gg_co2e_ha,,
palm_primary_forest_to_grassland_ef_conversion_c1_gg_co2e_ha,,
palm_secondary_forest_conv_to_cropland_area_ha,,
palm_secondary_forest_conv_to_grassland_area_ha,,
palm_secondary_forest_ef_c1_gg_co2e_ha,,
palm_secondary_forest_to_cropland_ef_conversion_c1_gg_co2e_ha,,
palm_secondary_forest_to_grassland_ef_conversion_c1_gg_co2e_ha,,
pigs,,
pigs_fermentation_ef_c1_gg_co2e_head,,
pigs_manure_ef_c1_gg_co2e_head,,
pigs_val_per_head_2016_usd,,
pina_kg_co2e_ha,,
pina_value_2016_million_usd,1,
pina_yield_tonnes_ha,,
poultry,,
poultry_fermentation_ef_c1_gg_co2e_head,,
poultry_manure_ef_c1_gg_co2e_head,,
poultry_val_per_head_2016_usd,,
residential_df_pj_per_hh,,
residential_ef_kt_co2e_per_pj,,
residential_frac_electric,,
residuos_per_capita_per_anho_kg,,
rice_kg_co2e_ha,,
rice_value_2016_million_usd,1,
rice_yield_tonnes_ha,,
rso_doc_alimiento,,
rso_doc_industrial,,
rso_doc_jardin,,
rso_doc_madera,,
rso_doc_panhales,,
rso_doc_papel,,
rso_doc_plastico_otros,,
rso_doc_textil,,
rso_k_alimiento,,
rso_k_industrial,,
rso_k_jardin,,
rso_k_madera,,
rso_k_panhales,,
rso_k_papel,,
rso_k_plastico_otros,,
rso_k_textil,,
sdrd_frac_alimiento,,
sdrd_frac_jardin,,
sdrd_frac_madera,,
sdrd_frac_panhales,,
sdrd_frac_papel,,
sdrd_frac_plastico_otros,,
sdrd_frac_textil,,
settlements_ef_c1_gg_co2e_ha,,
sheep,,
sheep_fermentation_ef_c1_gg_co2e_head,,
sheep_manure_ef_c1_gg_co2e_head,,
sheep_val_per_head_2016_usd,,
sugar_cane_kg_co2e_ha,,
sugar_cane_value_2016_million_usd,1,
sugar_cane_yield_tonnes_ha,,
tonne_rq_gg_em_co2,,
tonne_rq_gg_em_n2o,,
total_population,,
va_agriculture,,
va_ccv_ind,,
va_commercial,1,
va_industry,,
va_livestock,,
va_manufacturing,,
vegetables_kg_co2e_ha,,
vegetables_value_2016_million_usd,1,
vegetables_yield_tonnes_ha,,
vidrio_kt_co2e_per_million_usd,,
water_buffalo,,
water_buffalo_fermentation_ef_c1_gg_co2e_head,,
water_buffalo_manure_ef_c1_gg_co2e_head,,
water_buffalo_val_per_head_2016_usd,,
wet_primary_forest_conv_to_cropland_area_ha,,
wet_primary_forest_conv_to_grassland_area_ha,,
wet_primary_forest_ef_c1_gg_co2e_ha,,
wet_primary_forest_to_cropland_ef_conversion_c1_gg_co2e_ha,,
wet_primary_forest_to_grassland_ef_conversion_c1_gg_co2e_ha,,
wet_secondary_forest_conv_to_cropland_area_ha,,
wet_secondary_forest_conv_to_grassland_area_ha,,
wet_secondary_forest_ef_c1_gg_co2e_ha,,
wet_secondary_forest_to_cropland_ef_conversion_c1_gg_co2e_ha,,
wet_secondary_forest_to_grassland_ef_conversion_c1_gg_co2e_ha,,
wetlands_ef_c1_gg_co2e_ha,,
without_information_ef_c1_gg_co2e_ha,,
