master_id,design_id,time_series_id,run_id,strategy_id,future_id,year,cement_frac_biomass,cement_frac_coal,cement_frac_diesel,cement_frac_electric,cement_frac_hydrogen,cement_frac_kerosene,cement_frac_natural_gas,cement_frac_thermal_solar,cement_intensity,cement_production,commercial_frac_biomass,commercial_frac_diesel,commercial_frac_electric,commercial_frac_natural_gas,commercial_frac_pliqgas,copper_frac_diesel,copper_frac_electric,copper_frac_hydrogen,copper_frac_natural_gas,copper_frac_thermal_solar,copper_intensity,copper_production,cumplimiento_metas,especies_exoticas,especies_nativas,fishing_frac_biomass,fishing_frac_coal,fishing_frac_diesel,fishing_frac_electric,fishing_frac_hydrogen,fishing_frac_natural_gas,fishing_frac_thermal_solar,fishing_intensity,fishing_production,incendio_bosque_nativo,incendio_plantaciones_forestales,iron_frac_coal,iron_frac_diesel,iron_frac_electric,iron_frac_hydrogen,iron_frac_thermal_solar,iron_intensity,iron_production,medida_biodigestores,medida_cambio_dieta_bovina,medida_captura_c_suelos,medida_uso_eficiente_fertilizante,nueva_cap_recuperacion,other_industries_frac_biomass,other_industries_frac_coal,other_industries_frac_diesel,other_industries_frac_electric,other_industries_frac_hydrogen,other_industries_frac_natural_gas,other_industries_frac_thermal_solar,other_industries_intensity,other_mining_frac_diesel,other_mining_frac_electric,other_mining_frac_hydrogen,other_mining_frac_natural_gas,other_mining_frac_thermal_solar,other_mining_intensity,other_mining_production,pib,poblacion,poblacion_rural,poblacion_urbana,pqe_vehicular,precio_bovino,precio_cerdo,precio_leche,precio_maiz,precio_pollo,ptas_antofa,ptas_biobio,ptas_valpo,ptasls_coq,public_frac_biomass,public_frac_electric,public_frac_natural_gas,public_frac_pliqgas,public_intensity,pulp_frac_biomass,pulp_frac_electric,pulp_frac_thermal_solar,pulp_intensity,pulp_production,recuperacion_bn,residential_frac_biomass,residential_frac_electric,residential_frac_kerosene,residential_frac_natural_gas,residential_frac_pliqgas,residential_frac_solar,residential_intensity,residential_occ_rate,saltpeter_frac_diesel,saltpeter_frac_electric,saltpeter_frac_hydrogen,saltpeter_frac_natural_gas,saltpeter_frac_thermal_solar,saltpeter_intensity,saltpeter_production,steel_frac_coal,steel_frac_diesel,steel_frac_electric,steel_frac_hydrogen,steel_frac_kerosene,steel_frac_natural_gas,steel_frac_thermal_solar,steel_intensity,steel_production,sugar_frac_biomass,sugar_frac_coal,sugar_frac_diesel,sugar_frac_electric,sugar_frac_hydrogen,sugar_frac_natural_gas,sugar_frac_thermal_solar,sugar_intensity,sugar_production,sustitucion_degradacion,tierras_convertidas_a_bn,tierras_convertidas_a_plantaciones,transport_bus_veh_km,transport_frac_bus_diesel,transport_frac_bus_electric,transport_frac_private_electric,transport_frac_private_gasoline,transport_frac_taxi_electric,transport_frac_taxi_gasoline,transport_frac_truck_diesel,transport_frac_truck_hydrogen,transport_intensity_aviation_kerosene,transport_intensity_bus_diesel,transport_intensity_bus_electric,transport_intensity_pkm_train,transport_intensity_private_diesel,transport_intensity_private_electric,transport_intensity_private_gasoline,transport_intensity_taxi_electric,transport_intensity_taxi_gasoline,transport_intensity_train_electric,transport_modal_split_private_to_taxi,transport_occupancy_rate_bus,transport_occupancy_rate_private,transport_occupancy_rate_taxi,transport_occupancy_rate_train,transport_pkm_aviation,transport_tkm_freight_train,transport_tkm_maritime,transport_train13_pkm,transport_train5_pkm,transport_train8_pkm,transport_trip_distance_private
41,1,0,19,1,8,2048,1.15e-05,0.167835469,0.019797533,0.5412242429999999,0.157,0.00022443099999999998,0.034496332000000005,0.07923598700000001,0.514287382,4737.000071126053,0.005979186,0.178195498,0.688780825,0.051367191,0.074338079,0.226320747,0.6659999999999999,0.08751397699999999,0.008129631,0.006290485,6.949018558,10558.34132369736,0.8898784729837073,6758142.046989411,7580693.930299113,0.000106015,0.003639639,0.9228856540000001,0.051179819,0.00539656,0.013828027,0.0027205529999999997,0.534302913,5118.680990318527,1.0,0.9791490681797831,0.148353087,0.34593140299999997,0.44336243,0.041454655,0.020898425,0.155581142,14757.898358279615,1.0,0.8135211941423746,1.0,1.0,991.9022306543615,0.117403257,0.016133995,0.189921232,0.273846621,0.173100995,0.15489345599999998,0.071640571,0.128256771,0.722630953,0.18184393399999998,0.033096335,0.044748725999999996,0.016684767,0.249791772,30740.09047,418.9220130258608,24603771.17219798,0.0,0.0,10675306.008305147,2651.4663061323936,2233.36473191523,3771.320620617395,134.46014825117734,1218.6908306024995,1.0,1.0,1.0,1.0,0.019361793252637566,0.6761816077676754,0.06028403009646651,0.0695311106053737,0.183062372532582,0.6168777882704358,0.20811277644418502,0.001578705,4.295984344639166,5379.976757257702,1.0,0.175388701,0.49875619600000004,0.040855621,0.10235606,0.168915989,0.013727433,7.4735845460000006,2.328263225,0.595259,0.171606888,0.069666012,0.013270518,0.035120541,0.467051042,3177.220199182057,0.6113058720000001,0.015599778,0.098897789,0.17622911100000002,0.00013148,0.008994056,0.08884191300000001,3.785719235,1238.1131441188681,0.0020469,0.660476011,0.008125374,0.030706598999999998,0.19010289800000002,0.012706149,0.09583606800000001,0.494894248,1727.9736026923918,0.8399564858507436,0.9433822711910008,0.5307804821319551,1944889433.713193,0.0,1.0,0.49742443299999994,0.5025755670000001,1.0,0.0,0.445427994,0.554572006,0.3713969666158274,1.7660432996692128,0.5989386832894361,0.06709170639465532,9.080031284786942,6.404031223425945,8.951645141826337,5.947773204435427,8.838896886338167,0.36405850959700803,0.028004893,29.35027228341146,1.098627498262626,0.9636641086966055,102.58299728520548,71780945.1533709,3676020469.2251062,26290278.63,10663999529.169016,1980923231.4930913,88106031.99451505,6.789695723116943
41,1,0,19,1,8,2049,1.1400000000000001e-05,0.167472745,0.019819556000000002,0.540944014,0.158,0.000223957,0.034425204,0.07935563,0.513030592,4742.013636588191,0.005911262,0.17390199,0.6963745379999999,0.049949630999999994,0.072562949,0.219905808,0.667,0.09285162699999999,0.007958691,0.006502356999999999,6.995776212000001,10748.533823747332,0.8898784729837073,6763456.781471804,7614742.359343911,0.00010553799999999999,0.003623049,0.922964413,0.05117717,0.00540325,0.013765811999999999,0.002718131,0.534257319,5131.295679639856,1.0,0.9791490681797831,0.147761242,0.346161934,0.44365789,0.041528046,0.020890886,0.155477531,14715.067267185806,1.0,0.8135211941423746,1.0,1.0,991.9022306543615,0.117142522,0.016098076,0.18934259899999997,0.2743285,0.173742845,0.15455021800000002,0.07174214799999999,0.12662506,0.7227020140000001,0.181916981,0.033150088,0.044563434000000006,0.016676313999999998,0.24967737899999998,31062.788660000002,424.77719564218114,24715807.707406193,0.0,0.0,10850884.06310406,2607.27687665704,2228.3250853594486,3793.7727920876678,133.29387945402473,1204.850988999059,1.0,1.0,1.0,1.0,0.01933978612341817,0.6757051114838022,0.060293824237723975,0.069514942005559,0.18247831641301587,0.6167234150728647,0.20828770256295,0.001578865,4.290544124824038,5343.964580025208,1.0,0.174284417,0.504099134,0.040895457999999996,0.10046209099999999,0.16656129,0.01369761,7.681670329,2.314758718,0.595356555,0.17179514699999998,0.069823999,0.013224139,0.035125303999999996,0.466539231,3182.597780646283,0.610188509,0.015644032,0.099130908,0.17692447600000002,0.000131249,0.008978103000000001,0.08900272199999999,3.7750101089999997,1237.599804260898,0.002043721,0.659415976,0.008133639,0.030793507999999997,0.19089563699999998,0.012686536000000002,0.09603098300000001,0.493383896,1742.9195774077564,0.8399564858507436,0.9433822711910008,0.5307804821319551,1938181427.8412342,0.0,1.0,0.546782648,0.453217352,1.0,0.0,0.41996574200000003,0.580034258,0.37126534670602834,1.765217206554358,0.5989020861614855,0.06716556147722966,9.075894432538217,6.410721955268221,8.943081181199657,5.938730901140096,8.826445054832588,0.3638536306175945,0.027422911,29.327867879391167,1.0985801706165097,0.9624111469275228,102.67206615710913,75130704.43293007,3669610126.681144,26809393.18,10675802497.485188,1982720148.6135426,88160122.20880869,6.782443851500286
41,1,0,19,1,8,2050,1.1400000000000001e-05,0.167187027,0.01984285,0.5407824960000001,0.158,0.00022356900000000001,0.034367665,0.07943325799999999,0.511828478,4750.008589169378,0.005843338000000001,0.169608481,0.7039682509999999,0.04853207,0.07078782,0.213408295,0.6679999999999999,0.09828004900000001,0.007791019000000001,0.006711432,7.04300541,10942.05647254979,0.8898784729837073,6768771.515954197,7648790.788388709,0.000105109,0.003608495,0.92304106,0.051175110999999995,0.005404374,0.013709803000000001,0.0027144,0.534212956,5143.910368961185,1.0,0.9791490681797831,0.14724894,0.346378881,0.44393594,0.041561544,0.020874695,0.155380151,14672.236176092001,1.0,0.8135211941423746,1.0,1.0,991.9022306543615,0.11692858,0.016068753999999998,0.18884134100000002,0.274833612,0.174208587,0.154267279,0.071804344,0.125018475,0.722794663,0.18199008600000002,0.033169212000000003,0.044398969,0.016659563,0.249564383,31388.87442,430.6990166907225,24823497.412103865,0.0,0.0,11025592.755520947,2563.818791069024,2223.2537859194013,3816.2941466794537,132.1325994313914,1191.1144985987896,1.0,1.0,1.0,1.0,0.019317778994198776,0.6752286151999289,0.06030361837898145,0.0694987734057443,0.18189426029344974,0.6165690418752935,0.208462628681715,0.001578983,4.285103961347743,5307.952402792716,1.0,0.175476517,0.5103827679999999,0.040853917999999996,0.09712624800000001,0.162808139,0.013352408999999999,8.075247725,2.30133392,0.59549582,0.17197985100000002,0.069907491,0.013183413,0.035111725,0.46603817399999997,3187.760328344556,0.609318523,0.01568592,0.099354129,0.177429697,0.000131054,0.008964867,0.089115811,3.764929228,1237.086464402928,0.002041144,0.65861512,0.008142537,0.030876189,0.191481242,0.01267043,0.09617333800000001,0.49196246200000004,1757.9938149307338,0.8399564858507436,0.9433822711910008,0.5307804821319551,1931473421.9692752,0.0,1.0,0.6,0.4,1.0,0.0,0.39504533399999997,0.604954666,0.3711337267962293,1.7643911134395034,0.5988654890335351,0.06723941655980398,9.071757580289491,6.417412687110494,8.93451722057298,5.929688597844765,8.813993223327007,0.363648751638181,0.026856901000000002,29.30546347537087,1.0985328429703933,0.9611581851584403,102.76113502901276,78583637.60933067,3663199784.137182,27359279.36,10687605465.801361,1984517065.733994,88214212.4231023,6.775191979883629
42,1,0,20,1,9,2015,1.64e-05,0.264203595,0.020069884,0.665441604,0.0,0.000322009,0.049946469,0.0,0.639486715,3995.3759999999997,0.007881053,0.298413738,0.476156865,0.091058889,0.12404169699999999,0.405227875,0.555,0.0,0.017434744,1.66e-05,6.831102003,5503.911505,0.0,6604014.747,6593289.488,0.000176889,0.006958816,0.917006399,0.052387189,0.0,0.023067888999999998,0.0,0.540061062,4752.855,0.8256461868675189,0.5413555507100887,0.37112525399999996,0.270917229,0.357957517,0.0,0.0,0.20347651600000002,9549.327,0.9091881898076992,1.0,0.9086033024323141,1.0,0.0,0.171810845,0.023903137999999997,0.285245428,0.290351486,0.0,0.224258177,0.0,0.224346341,0.741796275,0.18183915899999997,0.0,0.07472201099999999,0.0,0.25896043399999996,21509.01184,242.2156446,17971423.0,2176346.0,15795077.0,0.0,4312.88,2362.58,3149.52,172.92,1668.15,0.0,0.0,0.0,0.0,0.02,0.69,0.06,0.07,0.2,0.621354611,0.20303991899999999,0.0,4.457418361,5193.0,1.0,0.386068209,0.24376519300000002,0.026835714,0.11757941699999999,0.22575146699999998,0.0,6.997646865,2.8396050710000003,0.636794469,0.16232791400000002,0.0,0.020769776,0.0,0.505259076,2768.66,0.894142597,0.011825981999999999,0.082267391,0.0,0.000162199,0.011601832,0.0,5.1096500030000005,1253.0,0.0,0.948890473,0.008536119,0.024168132999999998,0.0,0.015801089,0.0,0.6836299159999999,1325.44554,1.0,1.0,0.6613201864748499,2073963484.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.37521394399999997,1.79,0.6,0.064949909,9.2,6.21,9.2,6.21,9.2,0.37,0.053800492000000005,30.0,1.1,1.0,100.0,11252433.1,4085725000.0,16269710.07,6024200000.0,373455400.0,21095000.0,7.0
42,1,0,20,1,9,2016,1.64e-05,0.264203595,0.020069884,0.665441604,0.0,0.000322009,0.049946469,0.0,0.639486715,3995.3759999999997,0.007881053,0.298413738,0.476156865,0.091058889,0.12404169699999999,0.405227875,0.555,0.0,0.017434744,1.66e-05,6.831102003,5503.911505,0.0,6604014.747,6593289.488,0.000176889,0.006958816,0.917006399,0.052387189,0.0,0.023067888999999998,0.0,0.540061062,4752.855,0.8256461868675189,0.5413555507100887,0.37112525399999996,0.270917229,0.357957517,0.0,0.0,0.20347651600000002,9549.327,0.9091881898076992,1.0,0.9086033024323141,1.0,0.0,0.171810845,0.023903137999999997,0.285245428,0.290351486,0.0,0.224258177,0.0,0.224346341,0.741796275,0.18183915899999997,0.0,0.07472201099999999,0.0,0.25896043399999996,21509.01184,246.36017059999998,18167147.0,2183598.0,15983549.0,0.0,4312.88,2362.58,3149.52,172.92,1668.15,0.0,0.0,0.0,0.0,0.02,0.69,0.06,0.07,0.2,0.621354611,0.20303991899999999,0.0,4.457418361,5193.0,1.0,0.386068209,0.24376519300000002,0.026835714,0.11757941699999999,0.22575146699999998,0.0,6.997646865,2.8396050710000003,0.636794469,0.16232791400000002,0.0,0.020769776,0.0,0.505259076,2768.66,0.894142597,0.011825981999999999,0.082267391,0.0,0.000162199,0.011601832,0.0,5.1096500030000005,1253.0,0.0,0.948890473,0.008536119,0.024168132999999998,0.0,0.015801089,0.0,0.6836299159999999,1325.44554,1.0,1.0,0.6613201864748499,2103794135.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.37521394399999997,1.79,0.6,0.064949909,9.2,6.21,9.2,6.21,9.2,0.37,0.050911038,30.0,1.1,1.0,100.0,11654757.39,4076749000.0,14406115.94,6115200000.0,322204400.0,55987000.0,7.0
42,1,0,20,1,9,2017,1.64e-05,0.264203595,0.020069884,0.665441604,0.0,0.000322009,0.049946469,0.0,0.639486715,3995.3759999999997,0.007881053,0.298413738,0.476156865,0.091058889,0.12404169699999999,0.405227875,0.555,0.0,0.017434744,1.66e-05,6.831102003,5503.911505,0.0,6604014.747,6593289.488,0.000176889,0.006958816,0.917006399,0.052387189,0.0,0.023067888999999998,0.0,0.540061062,4752.855,0.8256461868675189,0.5413555507100887,0.37112525399999996,0.270917229,0.357957517,0.0,0.0,0.20347651600000002,9549.327,0.9091881898076992,1.0,0.9086033024323141,1.0,0.0,0.171810845,0.023903137999999997,0.285245428,0.290351486,0.0,0.224258177,0.0,0.224346341,0.741796275,0.18183915899999997,0.0,0.07472201099999999,0.0,0.25896043399999996,21509.01184,249.28833999999998,18419192.0,2193732.0,16225460.0,4618261.0,4312.88,2362.58,3149.52,172.92,1668.15,0.0,0.0,0.0,0.0,0.02,0.69,0.06,0.07,0.2,0.621354611,0.20303991899999999,0.0,4.457418361,5193.0,1.0,0.386068209,0.24376519300000002,0.026835714,0.11757941699999999,0.22575146699999998,0.0,6.997646865,2.8396050710000003,0.636794469,0.16232791400000002,0.0,0.020769776,0.0,0.505259076,2768.66,0.894142597,0.011825981999999999,0.082267391,0.0,0.000162199,0.011601832,0.0,5.1096500030000005,1253.0,0.0,0.948890473,0.008536119,0.024168132999999998,0.0,0.015801089,0.0,0.6836299159999999,1325.44554,1.0,1.0,0.6613201864748499,2139421604.0,0.99375,0.00625,9.499999999999999e-05,0.9999049809999999,0.0,1.0,1.0,0.0,0.37521394399999997,1.79,0.6,0.064949909,9.2,6.21,9.2,6.21,9.2,0.37,0.051299877,30.0,1.1,1.0,100.0,12914607.89,3790427642.0,13900761.46,6242600000.0,376549800.0,68837000.0,7.0
42,1,0,20,1,9,2018,1.64e-05,0.263851867,0.020056189,0.6647235220000001,0.0011300000000000001,0.000321759,0.049903959000000005,0.0,0.638651773,4137.8396649999995,0.007881053,0.298413738,0.476156865,0.091058889,0.12404169699999999,0.40508455200000004,0.5539999999999999,0.0,0.017438773,2.1600000000000003e-05,6.579192537000001,5831.6,0.0,6604014.747,6593289.488,0.000176645,0.006943721999999999,0.9170462509999999,0.05235015,4.49e-05,0.023036052,0.0,0.539857287,4752.855,0.8256461868675189,0.5413555507100887,0.372964733,0.269800928,0.356729571,0.0005047680000000001,0.0,0.20372970899999998,9600.0,0.9091881898076992,1.0,0.9086033024323141,1.0,0.0,0.171711397,0.023887659,0.284943739,0.28955561,0.001331526,0.224141452,0.0,0.212496625,0.7418143620000001,0.181624407,0.000263991,0.074656028,0.0,0.25869660699999997,21952.94834,259.13353650000005,18751405.0,2207982.0,16543423.0,4823066.046,4312.88,2362.58,3149.52,172.92,1668.15,0.0,0.0,0.0,0.0,0.02,0.69,0.06,0.07,0.2,0.621354611,0.20303991899999999,0.0,4.4550758319999995,5200.0,1.0,0.377875774,0.242302902,0.029436717999999997,0.116843476,0.233381772,0.00015900000000000002,7.127348985,2.8090229239999998,0.636491674,0.162225835,0.0005277719999999999,0.020757069,0.0,0.5046694939999999,2882.8392120000003,0.8930309890000001,0.011821551000000001,0.08214606599999999,0.001243446,0.000162158,0.01159579,0.0,5.102304738,1253.0,0.002601762,0.947643762,0.008523537,0.024126072000000002,0.001317104,0.015787763,0.0,0.67988747,1335.558301,1.0,1.0,0.6613201864748499,2139421604.0,0.97515625,0.0125,9.14e-05,0.9999086070000001,0.0,1.0,1.0,0.0,0.37521394399999997,1.79,0.6,0.064949909,9.2,6.21,9.2,6.21,9.2,0.37,0.052195487,30.0,1.1,1.0,100.0,13913048.67,3861920403.0,15037440.46,6552000000.0,391920200.0,86537415.78,7.0
42,1,0,20,1,9,2019,1.64e-05,0.263820706,0.020044476000000002,0.664368114,0.0015199999999999999,0.00032178400000000003,0.049906467999999995,0.0,0.638136348,4119.734739,0.007881053,0.298413738,0.476156865,0.091058889,0.12404169699999999,0.39620481700000004,0.563,0.0,0.017221537,2.65e-05,6.403393886,6149.4,0.0,6604014.747,6593289.488,0.0001766,0.006940046,0.917074333,0.052315949,6.07e-05,0.02303023,0.0,0.5396606039999999,4752.855,0.8256461868675189,0.5413555507100887,0.373296366,0.269580599,0.35644030200000004,0.000682733,0.0,0.20335583399999999,9600.0,0.9091881898076992,1.0,0.9086033024323141,1.0,0.0,0.17176387699999998,0.023894383999999998,0.28493852199999997,0.288960824,0.001797792,0.224214542,0.0,0.209190259,0.7419125590000001,0.18140907,0.00035687,0.074679729,0.0,0.258441883,22082.03783,262.0306494,19107216.0,2223520.0,16883696.0,4995009.788,4312.88,2362.58,3149.52,172.92,1668.15,0.0,0.0,0.0,0.0,0.02,0.69,0.06,0.07,0.2,0.621354611,0.20303991899999999,0.0,4.4549581719999995,5200.0,1.0,0.368714404,0.245141965,0.029879474,0.11829894199999999,0.237743328,0.00022200000000000003,7.1236492789999994,2.8020698160000004,0.636338348,0.16210656199999998,0.000713522,0.020766048999999998,0.0,0.5041363170000001,2899.546981,0.8927726709999999,0.011807924,0.08198199,0.001679874,0.000162168,0.011595373,0.0,5.098981418999999,1253.0,0.002602155,0.9472471929999999,0.008512614,0.024067205,0.0017791679999999998,0.015791664,0.0,0.679537051,1345.74893,1.0,1.0,0.6613201864748499,2139421604.0,0.910116,0.046,0.000509755,0.999490245,0.0,1.0,1.0,0.0,0.37521394399999997,1.79,0.6,0.064949909,9.2,6.21,9.2,6.21,9.2,0.37,0.051813332999999996,30.0,1.1,1.0,100.0,14695659.42,3861920403.0,15034340.85,7387534348.0,394571566.7,86537415.78,7.0
42,1,0,20,1,9,2020,1.64e-05,0.263728539,0.020032405,0.663945505,0.00206,0.000321756,0.049900305,0.0,0.637563494,4127.007146980994,0.007881053,0.298413738,0.476156865,0.091058889,0.12404169699999999,0.39225348,0.57,0.0,0.01638554,3.06e-05,6.443998692999999,6507.446022335224,0.0,6626515.639015694,6616900.371350324,0.000176516,0.006934012,0.9171050470000001,0.052281304,8.190000000000001e-05,0.023019276,0.0,0.539462533,4752.7326483753895,0.8256461868675189,0.5413555507100887,0.37352644399999996,0.26937736,0.356173626,0.00092257,0.0,0.202971328,9584.827448451373,0.9091881898076992,1.0,0.9086033024323141,1.0,0.0,0.171787155,0.023896577000000002,0.284876827,0.28833608899999996,0.002424979,0.22424764,0.0,0.218441652,0.741994756,0.18119502199999998,0.000481996,0.07468625799999999,0.0,0.25818635,21373.1298,247.70909180117172,19559827.446988627,2251614.399186056,17157155.484882098,5137093.860154905,4094.1545247677846,2235.3090976309504,3137.352497081188,172.9438920897543,1673.4901942622341,0.0,0.0,0.0,0.0,0.019970391700081882,0.6904659802250052,0.06003103766395823,0.07001465516053401,0.19953629244437865,0.6219397898426408,0.20293104478275115,0.0,4.452150786839367,5226.405118803761,1.0,0.35868725,0.251346842,0.026744302,0.12267201800000001,0.240231262,0.00031832599999999996,6.983107523999999,2.852925514,0.636156709,0.161990944,0.000963807,0.020770905,0.0,0.503594653,2924.154905647925,0.8923541420000001,0.01179618,0.0818265,0.0022675489999999998,0.00016214299999999998,0.011593485,0.0,5.0948960969999995,1253.6498448956058,0.002601457,0.946695229,0.00850144,0.024011941000000002,0.002401311,0.015788622,0.0,0.679069797,1352.6518919003945,1.0,1.0,0.6613201864748499,2135120394.8316891,0.9428737640000001,0.055999999999999994,0.001237023,0.998762977,0.015449035,0.984550965,1.0,0.0,0.3755776034411342,1.7895612524438402,0.5990840882241901,0.06486616408382119,9.202458050129515,6.202706079622827,9.185338111633033,6.212062578829387,9.190782395798308,0.3704899795112347,0.05143735,30.03859039478304,1.1003922638676926,1.0001246129663195,99.9421292748457,15482826.063338343,3868249410.2928047,14799735.02,7380590466.17284,393975018.828332,86646902.44929896,7.0068841902708705
42,1,0,20,1,9,2021,1.64e-05,0.263338797,0.020065246999999998,0.663641512,0.00277,0.000321395,0.049847329,0.0,0.634357889,4227.349291413813,0.007813129,0.294120229,0.483750578,0.089641329,0.122266568,0.389548768,0.575,0.0,0.015831428,3.52e-05,6.415848071,6636.369501962168,0.0,6649016.531031389,6640511.254700647,0.000175539,0.0068922540000000004,0.9172886999999998,0.052242033,0.00010983,0.022891874,0.0,0.539174712,4752.61029675078,0.8256461868675189,0.5413555507100887,0.37246480200000004,0.269696423,0.356597546,0.001241228,0.0,0.202196739,9569.654896902746,0.9091881898076992,1.0,0.9086033024323141,1.0,0.0,0.17158351600000002,0.023867231000000003,0.28424153399999996,0.28862563399999996,0.003266507,0.22398994,0.0,0.20871586600000003,0.742234292,0.181119213,0.000647549,0.074363995,0.0,0.257709403,21874.50029,260.30683939095536,19883694.004868913,2272852.096411522,17305001.861999694,5293867.321532168,4066.279251905864,2411.242948721489,3154.212910956337,170.87720663535424,1719.545908155897,0.0,0.0,0.0,0.0,0.019940783400163763,0.6909319604500103,0.060062075327916485,0.07002931032106803,0.19907258488875734,0.6225249686852816,0.20282217056550234,0.0,4.449430057960543,5407.978501534936,1.0,0.352462415,0.253805778,0.028772269,0.122064367,0.241976954,0.0009182169999999999,7.037255687999999,2.8165163210000004,0.636233292,0.162194633,0.001296436,0.020707534,0.0,0.502065502,2948.4631491400446,0.891368155,0.011840653999999999,0.08198714,0.00305611,0.00016206399999999999,0.011585876,0.0,5.066690096,1254.299689791212,0.002600158,0.94580813,0.008505826999999999,0.02406688,0.0032369359999999997,0.015782071,0.0,0.675193875,1359.582550898889,1.0,1.0,0.6613201864748499,2130819185.6633782,0.932885695,0.066,0.002217592,0.997782408,0.030449035,0.969550965,1.0,0.0,0.37594126288226853,1.7891225048876804,0.5981681764483802,0.0647824191676424,9.204916100259029,6.195412159245653,9.170676223266069,6.214125157658774,9.181564791596616,0.37097995902246944,0.050657865,30.077180789566075,1.1007845277353847,1.000249225932639,99.88425854969141,16351501.675296031,3874578417.585609,14975267.34,7373646584.34568,633979721.7046266,86756389.1185979,7.013768380541741
42,1,0,20,1,9,2022,1.64e-05,0.262844953,0.020097171,0.66321504,0.00373,0.00032094299999999997,0.049779449,0.0,0.63108845,4286.950378086985,0.007745205,0.289826721,0.491344291,0.08822376800000001,0.120491438,0.39011436200000005,0.575,0.0,0.015502098,3.9899999999999994e-05,6.391548996,6954.609629329386,0.0,6671517.4230470825,6664122.138050971,0.000174508,0.006847301,0.91747404,0.052202164,0.000147116,0.022757432,0.0,0.538886165,4752.48794512617,0.8256461868675189,0.5413555507100887,0.37123808,0.27004037399999997,0.357054379,0.0016671670000000002,0.0,0.201408225,9554.482345354118,0.9091881898076992,1.0,0.9086033024323141,1.0,0.0,0.171329066,0.02383048,0.283513891,0.2888463,0.004392384,0.223668592,0.0,0.203166795,0.742445248,0.181043258,0.0008685969999999999,0.074015518,0.0,0.25723363,22242.70664,270.1885885828522,20138910.367250256,2290619.0883830376,17385695.86200303,5434707.000260851,3980.254235117666,2484.234817049298,3152.1603671908338,170.68071876184908,1728.1508110395434,0.0,0.0,0.0,0.0,0.019911175100245645,0.6913979406750153,0.06009311299187472,0.07004396548160204,0.19860887733313595,0.6231101475279223,0.20271329634825347,0.0,4.446711674445234,6522.196355172025,1.0,0.34648376200000003,0.257764249,0.030086655,0.12180660800000001,0.24233829999999998,0.001520426,7.067467818,2.790379207,0.63625848,0.162401762,0.001741168,0.020637531,0.0,0.500533186,2972.474937404399,0.890100887,0.011887951,0.082160268,0.004112602,0.000161967,0.011576325,0.0,5.037556511,1254.9495346868175,0.0025984479999999997,0.944635021,0.008509568,0.02412676,0.004356735,0.015773469,0.0,0.6711855720000001,1366.540921603081,1.0,1.0,0.6613201864748499,2126517976.495067,0.92377231,0.076,0.003382335,0.996617665,0.045449035,0.954550965,1.0,0.0,0.37630492232340274,1.7886837573315202,0.5972522646725703,0.06469867425146357,9.207374150388544,6.188118238868479,9.156014334899101,6.216187736488161,9.172347187394923,0.3714699385337041,0.04969005,30.115771184349107,1.101176791603077,1.0003738388989583,99.8263878245371,17283202.071307745,3880907424.8784127,15148356.36,7786669855.638169,790131077.7608473,86865875.78789684,7.020652570812612
